# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.381
metadata : {}


# id : NWRW1800000056.381.1.1
하성용 전 사장 구속기소…KAI 수사 일단락

하성용	하성용/NNP
전	전/MMD
사장	사장/NNG
구속기소…KAI	구속/NNG+기소/NNG+…/SE+KAI/SL
수사	수사/NNG
일단락	일단락/NNG


# id : NWRW1800000056.381.2.1
국내 최대 방산업체 회계분식·횡령·채용 비리 등 주도한 혐의

국내	국내/NNG
최대	최대/NNG
방산업체	방산업체/NNG
회계분식·횡령·채용	회계/NNG+분식/NNG+·/SP+횡령/NNG+·/SP+채용/NNG
비리	비리/NNG
등	등/NNB
주도한	주도/NNG+하/XSV+ㄴ/ETM
혐의	혐의/NNG


# id : NWRW1800000056.381.3.1
카이 전·현직 임직원 9명, 협력업체 대표 등 12명도 재판 넘겨

카이	카이/NNP
전·현직	전·현직/NNG
임직원	임직원/NNG
9명,	9/SN+명/NNB+,/SP
협력업체	협력/NNG+업체/NNG
대표	대표/NNG
등	등/NNB
12명도	12/SN+명/NNB+도/JX
재판	재판/NNG
넘겨	넘기/VV+어/EF


# id : NWRW1800000056.381.4.1
검찰 “방산업체의 비리는 국방력 약화 원인…앞으로도 엄단”

검찰	검찰/NNG
“방산업체의	“/SS+방산업체/NNG+의/JKG
비리는	비리/NNG+는/JX
국방력	국방력/NNG
약화	약화/NNG
원인…앞으로도	원인/NNG+…/SE+앞/NNG+으로/JKB+도/JX
엄단”	엄단/NNG+”/SS


# id : NWRW1800000056.381.5.1
검찰이 국내 최대 방산업체인 한국항공우주산업(KAI·카이)의 하성용(66) 전 사장을 11일 구속기소했다.

검찰이	검찰/NNG+이/JKS
국내	국내/NNG
최대	최대/NNG
방산업체인	방산업체/NNG+이/VCP+ㄴ/ETM
한국항공우주산업(KAI·카이)의	한국항공우주산업/NNP+(/SS+KAI/SL+·/SP+카이/NNP+)/SS+의/JKG
하성용(66)	하성용/NNP+(/SS+66/SN+)/SS
전	전/MMD
사장을	사장/NNG+을/JKO
11일	11/SN+일/NNB
구속기소했다.	구속/NNG+기소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.381.5.2
또 불법 행위에 연루된 전·현직 카이 임원과 지방자치단체 간부도 무더기로 재판에 넘겼다.

또	또/MAG
불법	불법/NNG
행위에	행위/NNG+에/JKB
연루된	연루/NNG+되/XSV+ㄴ/ETM
전·현직	전·현직/NNG
카이	카이/NNP
임원과	임원/NNG+과/JC
지방자치단체	지방/NNG+자치/NNG+단체/NNG
간부도	간부/NNG+도/JX
무더기로	무더기/NNG+로/JKB
재판에	재판/NNG+에/JKB
넘겼다.	넘기/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.381.5.3
이날 기소로 ‘문재인 정부 1호 방산비리 척결’을 내걸고 지난 7월부터 진행된 카이 수사가 3개월 만에 사실상 일단락됐다.

이날	이날/NNG
기소로	기소/NNG+로/JKB
‘문재인	‘/SS+문재인/NNP
정부	정부/NNG
1호	1/SN+호/NNB
방산비리	방산/NNG+비리/NNG
척결’을	척결/NNG+’/SS+을/JKO
내걸고	내걸/VV+고/EC
지난	지나/VV+ㄴ/ETM
7월부터	7/SN+월/NNB+부터/JX
진행된	진행/NNG+되/XSV+ㄴ/ETM
카이	카이/NNP
수사가	수사/NNG+가/JKS
3개월	3/SN+개월/NNB
만에	만/NNB+에/JKB
사실상	사실/NNG+상/XSN
일단락됐다.	일단락/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.381.6.1
서울중앙지검 방위사업수사부(부장 이용일)는 이날 하 전 대표를 횡령 및 분식회계 등의 혐의로 구속기소했다고 밝혔다.

서울중앙지검	서울중앙지검/NNP
방위사업수사부(부장	방위/NNG+사업/NNG+수사부/NNG+(/SS+부장/NNG
이용일)는	이용일/NNP+)/SS+는/JX
이날	이날/NNG
하	하/NNP
전	전/MMD
대표를	대표/NNG+를/JKO
횡령	횡령/NNG
및	및/MAG
분식회계	분식/NNG+회계/NNG
등의	등/NNB+의/JKG
혐의로	혐의/NNG+로/JKB
구속기소했다고	구속/NNG+기소/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.381.6.2
하 전 대표는 카이의 항공기 개발사업과 수출 과정에서 5358억원 규모의 매출과 당기순이익 465억원을 부풀리는 방식으로 회계 분식을 주도한 혐의(자본시장과 금융투자업법 위반 등)를 받고 있다.

하	하/NNP
전	전/MMD
대표는	대표/NNG+는/JX
카이의	카이/NNP+의/JKG
항공기	항공기/NNG
개발사업과	개발/NNG+사업/NNG+과/JC
수출	수출/NNG
과정에서	과정/NNG+에서/JKB
5358억원	5358/SN+억/NR+원/NNB
규모의	규모/NNG+의/JKG
매출과	매출/NNG+과/JC
당기순이익	당기/NNG+순이익/NNG
465억원을	465/SN+억/NR+원/NNB+을/JKO
부풀리는	부풀리/VV+는/ETM
방식으로	방식/NNG+으로/JKB
회계	회계/NNG
분식을	분식/NNG+을/JKO
주도한	주도/NNG+하/XSV+ㄴ/ETM
혐의(자본시장과	혐의/NNG+(/SS+자본/NNG+시장/NNG+과/JC
금융투자업법	금융/NNG+투자업/NNG+법/NNG
위반	위반/NNG
등)를	등/NNB+)/SS+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.381.6.3
하 전 대표 등 카이 경영진은 조작된 재무제표를 이용해 금융권에서 6500억원에 이르는 대출을 받았고, 2조5000억원대의 회사채와 기업어음도 불법 발행한 것으로 조사됐다.

하	하/NNP
전	전/MMD
대표	대표/NNG
등	등/NNB
카이	카이/NNP
경영진은	경영진/NNG+은/JX
