# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.202
metadata : {}


# id : NWRW1800000054.202.1.1
'사교육걱정없는세상' 간부, 자녀 대치동학원·영재고 보내

'사교육걱정없는세상'	'/SS+사교육걱정없는세상/NNP+'/SS
간부,	간부/NNG+,/SP
자녀	자녀/NNG
대치동학원·영재고	대치동/NNP+학원/NNG+·/SP+영재/NNG+고/NNG
보내	보내/VV+어/EF


# id : NWRW1800000054.202.2.1
"내로남불의 전형" 비판받아… 文정부 국민인수위서도 활동

"내로남불의	"/SS+내로남불/NNG+의/JKG
전형"	전형/NNG+"/SS
비판받아…	비판/NNG+받/XSV+아/EC+…/SE
文정부	文/SH+정부/NNG
국민인수위서도	국민/NNG+인수위/NNG+서/JKB+도/JX
활동	활동/NNG


# id : NWRW1800000054.202.3.1
특목고 폐지를 주장하는 대표적인 단체인 '사교육걱정없는세상(사걱세)'의 이사 A씨가 자녀를 강남 고액 학원에 보내고, 영재학교에도 보냈다는 사실이 알려지면서 논란이 일고 있다.

특목고	특목고/NNG
폐지를	폐지/NNG+를/JKO
주장하는	주장/NNG+하/XSV+는/ETM
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
단체인	단체/NNG+이/VCP+ㄴ/ETM
'사교육걱정없는세상(사걱세)'의	'/SS+사교육걱정없는세상/NNP+(/SS+사걱세/NNP+)/SS+'/SS+의/JKG
이사	이사/NNG
A씨가	A/SL+씨/NNB+가/JKS
자녀를	자녀/NNG+를/JKO
강남	강남/NNP
고액	고액/NNG
학원에	학원/NNG+에/JKB
보내고,	보내/VV+고/EC+,/SP
영재학교에도	영재/NNG+학교/NNG+에/JKB+도/JX
보냈다는	보내/VV+었/EP+다는/ETM
사실이	사실/NNG+이/JKS
알려지면서	알려지/VV+면서/EC
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.202.3.2
A씨는 이 사실을 일부 인정하면서도 "현 정부의 교육정책에 불만을 품은 분들이 저를 경계한 것 같다"고 주장했다.

A씨는	A/SL+씨/NNB+는/JX
이	이/MMD
사실을	사실/NNG+을/JKO
일부	일부/NNG
인정하면서도	인정/NNG+하/XSV+면서/EC+도/JX
"현	"/SS+현/MMD
정부의	정부/NNG+의/JKG
교육정책에	교육/NNG+정책/NNG+에/JKB
불만을	불만/NNG+을/JKO
품은	품/VV+은/ETM
분들이	분/NNB+들/XSN+이/JKS
저를	저/NP+를/JKO
경계한	경계/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.202.3.3
A씨는 문재인 정권 국민인수위 소통위원으로 활동했다.

A씨는	A/SL+씨/NNB+는/JX
문재인	문재인/NNP
정권	정권/NNG
국민인수위	국민/NNG+인수위/NNG
소통위원으로	소통/NNG+위원/NNG+으로/JKB
활동했다.	활동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.202.4.1
교육계에 따르면 사걱세 이사 A씨의 자녀는 중학교에 진학하자 집 근처 학원에서 수학을 배웠다.

교육계에	교육/NNG+계/XSN+에/JKB
따르면	따르/VV+면/EC
사걱세	사걱세/NNP
이사	이사/NNG
A씨의	A/SL+씨/NNB+의/JKG
자녀는	자녀/NNG+는/JX
중학교에	중학교/NNG+에/JKB
진학하자	진학/NNG+하/XSV+자/EC
집	집/NNG
근처	근처/NNG
학원에서	학원/NNG+에서/JKB
수학을	수학/NNG+을/JKO
배웠다.	배우/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.202.4.2
그런데 중학교 2학년이 된 자녀가 영재학교 진학을 희망하자 학원을 집 근처에서 고액 사교육 학원이 많은 대치동 쪽으로 옮겼다.

그런데	그런데/MAJ
중학교	중학교/NNG
2학년이	2/SN+학년/NNG+이/JKC
된	되/VV+ㄴ/ETM
자녀가	자녀/NNG+가/JKS
영재학교	영재/NNG+학교/NNG
진학을	진학/NNG+을/JKO
희망하자	희망/NNG+하/XSV+자/EC
학원을	학원/NNG+을/JKO
집	집/NNG
근처에서	근처/NNG+에서/JKB
고액	고액/NNG
사교육	사교육/NNG
학원이	학원/NNG+이/JKS
많은	많/VA+은/ETM
대치동	대치동/NNP
쪽으로	쪽/NNB+으로/JKB
옮겼다.	옮기/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.202.4.3
A씨 자녀는 1년 정도 학원을 다닌 끝에 올해 영재학교에 합격했다.

A씨	A/SL+씨/NNB
자녀는	자녀/NNG+는/JX
1년	1/SN+년/NNB
정도	정도/NNG
학원을	학원/NNG+을/JKO
다닌	다니/VV+ㄴ/ETM
끝에	끝/NNG+에/JKB
올해	올해/NNG
영재학교에	영재/NNG+학교/NNG+에/JKB
합격했다.	합격/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.202.4.4
A씨는 각종 강연 등에서 사교육 시스템에 비판적인 발언을 쏟아냈던 인물이다.

A씨는	A/SL+씨/NNB+는/JX
각종	각종/NNG
강연	강연/NNG
등에서	등/NNB+에서/JKB
사교육	사교육/NNG
시스템에	시스템/NNG+에/JKB
비판적인	비판/NNG+적/XSN+이/VCP+ㄴ/ETM
발언을	발언/NNG+을/JKO
쏟아냈던	쏟/VV+아/EC+내/VX+었/EP+던/ETM
인물이다.	인물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.202.5.1
이 같은 사실이 알려지자 사걱세 측은 일부 회원에게 "잘못된 제도를 비판하고 이를 바꾸는 것과, 그 제도 속에서 사는 시민들을 정죄(定罪)하는 것은 분리해야 할 일"이라면서 "부모가 다 큰 자식을 자기 마음대로 할 수 있다 어찌 말할 수 있겠는가"라고 밝혔다.

이	이/NP
같은	같/VA+은/ETM
사실이	사실/NNG+이/JKS
알려지자	알려지/VV+자/EC
사걱세	사걱세/NNP
측은	측/NNB+은/JX
일부	일부/NNG
회원에게	회원/NNG+에게/JKB
"잘못된	"/SS+잘못/MAG+되/XSV+ㄴ/ETM
제도를	제도/NNG+를/JKO
비판하고	비판/NNG+하/XSV+고/EC
이를	이/NP+를/JKO
바꾸는	바꾸/VV+는/ETM
것과,	것/NNB+과/JC+,/SP
그	그/MMD
제도	제도/NNG
속에서	속/NNG+에서/JKB
사는	살/VV+는/ETM
시민들을	시민/NNG+들/XSN+을/JKO
정죄(定罪)하는	정죄/NNG+(/SS+定罪/SH+)/SS+하/VV+는/ETM
것은	것/NNB+은/JX
분리해야	분리/NNG+하/XSV+아야/EC
할	하/VV+ㄹ/ETM
일"이라면서	일/NNG+"/SS+이/VCP+라면서/EC
"부모가	"/SS+부모/NNG+가/JKS
다	다/MAG
큰	크/VA+ㄴ/ETM
자식을	자식/NNG+을/JKO
자기	자기/NNG
마음대로	마음대로/MAG
수	수/NNB
있다	있/VA+다/EF
어찌	어찌/MAG
말할	말/NNG+하/XSV+ㄹ/ETM
있겠는가"라고	있/VA+겠/EP+는가/EF+"/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.202.6.1
A씨도 7월 31일과 1일 자신의 페이스북에 두 차례 올린 글에서 "저희 아이는 평균 잡아 월 80만원 안 되는 금액이 들었다"고 해명했다.

A씨도	A/SL+씨/NNB+도/JX
7월	7/SN+월/NNB
31일과	31/SN+일/NNB+과/JC
1일	1/SN+일/NNB
자신의	자신/NNG+의/JKG
페이스북에	페이스북/NNP+에/JKB
두	두/MMN
차례	차례/NNG
올린	올리/VV+ㄴ/ETM
글에서	글/NNG+에서/JKB
"저희	"/SS+저희/NP
아이는	아이/NNG+는/JX
평균	평균/NNG
잡아	잡/VV+아/EC
월	월/NNG
80만원	80/SN+만/NR+원/NNB
안	안/MAG
되는	되/VV+는/ETM
금액이	금액/NNG+이/JKS
들었다"고	들/VV+었/EP+다/EF+"/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.202.6.2
이어 "(자녀가 강남권 학원을 다닌) 덕분에 저도 대치동 교육 방식을 공부할 수 있었고 (고액 학원) 실체에 대해서도 많이 알게 됐다"고 말했다.

이어	이어/MAG
"(자녀가	"/SS+(/SS+자녀/NNG+가/JKS
강남권	강남/NNP+권/XSN
학원을	학원/NNG+을/JKO
다닌)	다니/VV+ㄴ/ETM+)/SS
덕분에	덕분/NNG+에/JKB
저도	저/NP+도/JX
대치동	대치동/NNP
교육	교육/NNG
방식을	방식/NNG+을/JKO
공부할	공부/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었고	있/VA+었/EP+고/EC
(고액	(/SS+고액/NNG
학원)	학원/NNG+)/SS
실체에	실체/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
많이	많이/MAG
알게	알/VV+게/EC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.202.7.1
하지만 학부모 회원이 많은 한 인터넷 커뮤니티에는 "앞에서는 사교육 하지 말라 해놓고는 자기 아이는 대치동까지 라이드(ride·학원 실어 나르기)하며 사교육의 하이라이트인 영재고를 보냈다" "결국 내가 하면 로맨스고 남이 하면 불륜인 건가" "자기 아이에게 실천하지 않는 내용을 다른 사람에게 강의한다는 건 모순" 같은 글이 올라왔다.

하지만	하지만/MAJ
학부모	학부모/NNG
회원이	회원/NNG+이/JKS
많은	많/VA+은/ETM
한	한/MMN
인터넷	인터넷/NNG
커뮤니티에는	커뮤니티/NNG+에/JKB+는/JX
"앞에서는	"/SS+앞/NNG+에서/JKB+는/JX
사교육	사교육/NNG
