# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.26
metadata : {}


# id : NWRW1800000028.26.1.1
도공, 김천 혁신도시 청사터 계약

도공,	도공/NNP+,/SP
김천	김천/NNP
혁신도시	혁신/NNG+도시/NNG
청사터	청사/NNG+터/NNG
계약	계약/NNG


# id : NWRW1800000028.26.2.1
경북 김천 혁신도시 이전기관 가운데 처음으로 한국도로공사가 20일 터 매입 계약을 체결했다.

경북	경북/NNP
김천	김천/NNP
혁신도시	혁신/NNG+도시/NNG
이전기관	이전/NNG+기관/NNG
가운데	가운데/NNG
처음으로	처음/NNG+으로/JKB
한국도로공사가	한국도로공사/NNP+가/JKS
20일	20/SN+일/NNB
터	터/NNG
매입	매입/NNG
계약을	계약/NNG+을/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.26.3.1
이날 혁신도시 건설 현장 상황실에서 이뤄진 계약 체결식에는 대구·경북을 방문한 정운찬 총리와 김관용 경북지사를 비롯해 한국도로공사 류철호 사장과 이지송 한국토지주택공사 사장 등이 입회했다.

이날	이날/NNG
혁신도시	혁신/NNG+도시/NNG
건설	건설/NNG
현장	현장/NNG
상황실에서	상황실/NNG+에서/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
계약	계약/NNG
체결식에는	체결식/NNG+에/JKB+는/JX
대구·경북을	대구/NNP+·/SP+경북/NNP+을/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
정운찬	정운찬/NNP
총리와	총리/NNG+와/JC
김관용	김관용/NNP
경북지사를	경북/NNP+지사/NNG+를/JKO
비롯해	비롯하/VV+아/EC
한국도로공사	한국도로공사/NNP
류철호	류철호/NNP
사장과	사장/NNG+과/JC
이지송	이지송/NNP
한국토지주택공사	한국토지주택공사/NNP
사장	사장/NNG
등이	등/NNB+이/JKS
입회했다.	입회/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.26.4.1
도로공사는 혁신도시 터 중 13만9000㎡를 조성원가인 655억원(㎡당 47만원)에 3년 동안 6회 균등 분할납부하는 조건으로 매입하기로 했다.

도로공사는	도로공사/NNP+는/JX
혁신도시	혁신/NNG+도시/NNG
터	터/NNG
중	중/NNB
13만9000㎡를	13/SN+만/NR+9000/SN+㎡/SW+를/JKO
조성원가인	조성/NNG+원가/NNG+이/VCP+ㄴ/ETM
655억원(㎡당	655/SN+억/NR+원/NNB+(/SS+㎡/SW+당/XSN
47만원)에	47/SN+만/NR+원/NNB+)/SS+에/JKB
3년	3/SN+년/NNB
동안	동안/NNG
6회	6/SN+회/NNB
균등	균등/NNG
분할납부하는	분할/NNG+납부/NNG+하/XSV+는/ETM
조건으로	조건/NNG+으로/JKB
매입하기로	매입/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.26.4.2
도로공사는 이번에 매입한 터에 세울 청사에 대한 설계를 8월 말까지 마치고, 9월에 신축공사를 발주해 2011년까지 입주를 마칠 계획이다.

도로공사는	도로공사/NNP+는/JX
이번에	이번/NNG+에/JKB
매입한	매입/NNG+하/XSV+ㄴ/ETM
터에	터/NNG+에/JKB
세울	세우/VV+ㄹ/ETM
청사에	청사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
설계를	설계/NNG+를/JKO
8월	8/SN+월/NNB
말까지	말/NNB+까지/JX
마치고,	마치/VV+고/EC+,/SP
9월에	9/SN+월/NNB+에/JKB
신축공사를	신축/NNG+공사/NNG+를/JKO
발주해	발주/NNG+하/XSV+아/EC
2011년까지	2011/SN+년/NNB+까지/JX
입주를	입주/NNG+를/JKO
마칠	마치/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.26.5.1
경북도 정병철 균형개발과장은 “현재 혁신도시로 이전할 공공기관 가운데 터 매입 예산을 확보한 기관은 11곳으로 이 가운데 5개 기관은 청사 실시설계를 진행하고 있는 것으로 알고 있다”고 밝혔다.

경북도	경북도/NNP
정병철	정병철/NNP
균형개발과장은	균형/NNG+개발과장/NNG+은/JX
“현재	“/SS+현재/MAG
혁신도시로	혁신/NNG+도시/NNG+로/JKB
이전할	이전/NNG+하/XSV+ㄹ/ETM
공공기관	공공/NNG+기관/NNG
가운데	가운데/NNG
터	터/NNG
매입	매입/NNG
예산을	예산/NNG+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
기관은	기관/NNG+은/JX
11곳으로	11/SN+곳/NNG+으로/JKB
이	이/MMD
5개	5/SN+개/NNB
청사	청사/NNG
실시설계를	실시/NNG+설계/NNG+를/JKO
진행하고	진행/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.26.6.1
김영민 김천와이엠시에이 사무총장은 “지역민들 사이에 법제화된 행정도시 건설도 뒤집는 마당에 총리 방문과 때맞춘 이벤트성 터 매입 계약만으로 혁신도시가 원안대로 추진된다고 믿을 수 없다는 얘기가 많다”며 “혁신도시 건설이 예정대로 진행되는지 지속적인 감시운동을 펼칠 것”이라고 말했다.

김영민	김영민/NNP
김천와이엠시에이	김천와이엠시에이/NNP
사무총장은	사무총장/NNG+은/JX
“지역민들	“/SS+지역민/NNG+들/XSN
사이에	사이/NNG+에/JKB
법제화된	법제/NNG+화/XSN+되/XSV+ㄴ/ETM
행정도시	행정/NNG+도시/NNG
건설도	건설/NNG+도/JX
뒤집는	뒤집/VV+는/ETM
마당에	마당/NNB+에/JKB
총리	총리/NNG
방문과	방문/NNG+과/JC
때맞춘	때맞추/VV+ㄴ/ETM
이벤트성	이벤트/NNG+성/XSN
터	터/NNG
매입	매입/NNG
계약만으로	계약/NNG+만/JX+으로/JKB
혁신도시가	혁신/NNG+도시/NNG+가/JKS
원안대로	원안/NNG+대로/JX
추진된다고	추진/NNG+되/XSV+ㄴ다고/EC
믿을	믿/VV+을/ETM
수	수/NNB
없다는	없/VA+다는/ETM
얘기가	얘기/NNG+가/JKS
많다”며	많/VA+다/EF+”/SS+며/EC
“혁신도시	“/SS+혁신/NNG+도시/NNG
건설이	건설/NNG+이/JKS
예정대로	예정/NNG+대로/JX
진행되는지	진행/NNG+되/XSV+는지/EC
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
감시운동을	감시/NNG+운동/NNG+을/JKO
펼칠	펼치/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


