# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.367
metadata : {}


# id : NWRW1800000054.367.1.1
[대선 팩트 체크] (2) MB·朴정부가 北지원 더 많이 했다는데…

[대선	[/SS+대선/NNG
팩트	팩트/NNG
체크]	체크/NNG+]/SS
(2)	(/SS+2/SN+)/SS
MB·朴정부가	MB/SL+·/SP+朴/SH+정부/NNG+가/JKS
北지원	北/SH+지원/NNG
더	더/MAG
많이	많이/MAG
했다는데…	하/VV+았/EP+다는데/EC+…/SE


# id : NWRW1800000054.367.2.1
송금·물자지원 총액, DJ·盧정부가 3배 규모

송금·물자지원	송금/NNG+·/SP+물자/NNG+지원/NNG
총액,	총액/NNG+,/SP
DJ·盧정부가	DJ/SL+·/SP+盧/SH+정부/NNG+가/JKS
3배	3/SN+배/NNG
규모	규모/NNG


# id : NWRW1800000054.367.3.1
더불어민주당 문재인 후보는 19일 KBS 대선 후보 TV 토론에서 "(북한에 준) 금액은 오히려 (노무현 정부보다) 이명박·박근혜 정부가 더 많았다"면서 "확인해 보시라"고 말했다.

더불어민주당	더불어민주당/NNP
문재인	문재인/NNP
후보는	후보/NNG+는/JX
19일	19/SN+일/NNB
KBS	KBS/SL
대선	대선/NNG
후보	후보/NNG
TV	TV/SL
토론에서	토론/NNG+에서/JKB
"(북한에	"/SS+(/SS+북한/NNP+에/JKB
준)	주/VV+ㄴ/ETM+)/SS
금액은	금액/NNG+은/JX
오히려	오히려/MAG
(노무현	(/SS+노무현/NNP
정부보다)	정부/NNG+보다/JKB+)/SS
이명박·박근혜	이명박/NNP+·/SP+박근혜/NNP
정부가	정부/NNG+가/JKS
더	더/MAG
많았다"면서	많/VA+았/EP+다/EF+"/SS+면서/EC
"확인해	"/SS+확인/NNG+하/XSV+아/EC
보시라"고	보/VX+시/EP+라/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.367.3.2
자유한국당 홍준표 후보가 "DJ 시절에 북에 넘어간 돈이 현물과 달러 등 22억달러, 노무현 대통령 시절에 현물하고 현금하고 넘어간 게 44억달러다. 그 돈이 핵무기가 돼서 돌아왔다"고 말한 데 대한 반박이었다.

자유한국당	자유한국당/NNP
홍준표	홍준표/NNP
후보가	후보/NNG+가/JKS
"DJ	"/SS+DJ/SL
시절에	시절/NNG+에/JKB
북에	북/NNP+에/JKB
넘어간	넘어가/VV+ㄴ/ETM
돈이	돈/NNG+이/JKS
현물과	현물/NNG+과/JC
달러	달러/NNG
등	등/NNB
22억달러,	22/SN+억/NR+달러/NNB+,/SP
노무현	노무현/NNP
대통령	대통령/NNG
현물하고	현물/NNG+하고/JC
현금하고	현금/NNG+하고/JC
게	거/NNB+이/JKS
44억달러다.	44/SN+억/NR+달러/NNB+이/VCP+다/EF+./SF
그	그/MMD
핵무기가	핵무기/NNG+가/JKC
돼서	되/VV+어서/EC
돌아왔다"고	돌아오/VV+았/EP+다/EF+"/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대한	대하/VV+ㄴ/ETM
반박이었다.	반박/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.367.4.1
통일부는 TV 토론 내용이 논란이 되자 20일 '정부별 대북 송금 및 현물 제공 내역'을 새롭게 계산해서 발표했다.

통일부는	통일부/NNG+는/JX
TV	TV/SL
토론	토론/NNG
내용이	내용/NNG+이/JKS
논란이	논란/NNG+이/JKC
되자	되/VV+자/EC
20일	20/SN+일/NNB
'정부별	'/SS+정부/NNG+별/XSN
대북	대북/NNG
송금	송금/NNG
및	및/MAG
현물	현물/NNG
제공	제공/NNG
내역'을	내역/NNG+'/SS+을/JKO
새롭게	새롭/VA+게/EC
계산해서	계산/NNG+하/XSV+아서/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.367.4.2
'송금'은 대부분이 기업 활동의 결과로 민간 차원에서 북한에 보낸 돈이다.

'송금'은	'/SS+송금/NNG+'/SS+은/JX
대부분이	대/XPN+부분/NNG+이/JKS
기업	기업/NNG
활동의	활동/NNG+의/JKG
결과로	결과/NNG+로/JKB
민간	민간/NNG
차원에서	차원/NNG+에서/JKB
북한에	북한/NNP+에/JKB
보낸	보내/VV+ㄴ/ETM
돈이다.	돈/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.367.4.3
개성공단의 임금·통신비, 금강산 관광, 남북 기업 간 교역이나 위탁 가공에서 오간 돈, 우리 기업이 북한의 시설을 이용하거나 사업권을 따낸 뒤 지불한 돈 등이 여기 속한다.

개성공단의	개성공단/NNP+의/JKG
임금·통신비,	임금/NNG+·/SP+통신비/NNG+,/SP
금강산	금강산/NNP
관광,	관광/NNG+,/SP
남북	남북/NNP
기업	기업/NNG
간	간/NNB
교역이나	교역/NNG+이나/JC
위탁	위탁/NNG
가공에서	가공/NNG+에서/JKB
오간	오가/VV+ㄴ/ETM
돈,	돈/NNG+,/SP
우리	우리/NP
기업이	기업/NNG+이/JKS
북한의	북한/NNP+의/JKG
시설을	시설/NNG+을/JKO
이용하거나	이용/NNG+하/XSV+거나/EC
사업권을	사업/NNG+권/XSN+을/JKO
따낸	따내/VV+ㄴ/ETM
뒤	뒤/NNG
지불한	지불/NNG+하/XSV+ㄴ/ETM
돈	돈/NNG
등이	등/NNB+이/JKS
여기	여기/NP
속한다.	속하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.367.4.4
'현물 제공'은 대가를 받지 않고 북한에 제공한 무상 원조와 식량 차관을 뜻하며, 정부의 예산이 투입된다.

'현물	'/SS+현물/NNG
제공'은	제공/NNG+'/SS+은/JX
대가를	대가/NNG+를/JKO
받지	받/VV+지/EC
않고	않/VX+고/EC
북한에	북한/NNP+에/JKB
제공한	제공/NNG+하/XSV+ㄴ/ETM
무상	무상/NNG
원조와	원조/NNG+와/JC
식량	식량/NNG
차관을	차관/NNG+을/JKO
뜻하며,	뜻/NNG+하/XSV+며/EC+,/SP
정부의	정부/NNG+의/JKG
예산이	예산/NNG+이/JKS
투입된다.	투입/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.367.5.1
통일부에 따르면 '대북 송금액'은 김영삼 정부 시절 9억3619만달러, 김대중 정부 시절 17억455만달러, 노무현 정부 시절 22억938만달러, 이명박 정부 시절 16억7942만달러, 박근혜 정부 시절 2억5494만달러였다.

통일부에	통일부/NNG+에/JKB
따르면	따르/VV+면/EC
'대북	'/SS+대북/NNG
송금액'은	송금액/NNG+'/SS+은/JX
김영삼	김영삼/NNP
정부	정부/NNG
시절	시절/NNG
9억3619만달러,	9/SN+억/NR+3619/SN+만/NR+달러/NNB+,/SP
김대중	김대중/NNP
17억455만달러,	17/SN+억/NR+455/SN+만/NR+달러/NNB+,/SP
노무현	노무현/NNP
22억938만달러,	22/SN+억/NR+938/SN+만/NR+달러/NNB+,/SP
이명박	이명박/NNP
16억7942만달러,	16/SN+억/NR+7942/SN+만/NR+달러/NNB+,/SP
박근혜	박근혜/NNP
2억5494만달러였다.	2/SN+억/NR+5494/SN+만/NR+달러/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.367.5.2
또 '현물 제공 내역'을 보면 김영삼 정부 시절 2억8408만달러, 김대중 정부 시절 7억6610만달러, 노무현 정부 시절 21억4694만달러, 이명박 정부 시절 2억9703만달러, 박근혜 정부 시절 8233만달러였다.

또	또/MAG
'현물	'/SS+현물/NNG
제공	제공/NNG
내역'을	내역/NNG+'/SS+을/JKO
보면	보/VV+면/EC
김영삼	김영삼/NNP
정부	정부/NNG
시절	시절/NNG
2억8408만달러,	2/SN+억/NR+8408/SN+만/NR+달러/NNB+,/SP
김대중	김대중/NNP
7억6610만달러,	7/SN+억/NR+6610/SN+만/NR+달러/NNB+,/SP
노무현	노무현/NNP
21억4694만달러,	21/SN+억/NR+4694/SN+만/NR+달러/NNB+,/SP
이명박	이명박/NNP
2억9703만달러,	2/SN+억/NR+9703/SN+만/NR+달러/NNB+,/SP
박근혜	박근혜/NNP
8233만달러였다.	8233/SN+만/NR+달러/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.367.5.3
대북 송금액과 현물 제공 모두 노무현 정부 시절에 가장 많아, 문 후보의 주장과 차이가 있다.

대북	대북/NNG
송금액과	송금액/NNG+과/JC
현물	현물/NNG
제공	제공/NNG
모두	모두/MAG
노무현	노무현/NNP
정부	정부/NNG
시절에	시절/NNG+에/JKB
가장	가장/MAG
많아,	많/VA+아/EC+,/SP
문	문/NNP
후보의	후보/NNG+의/JKG
주장과	주장/NNG+과/JKB
차이가	차이/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.367.5.4
또 대북 송금액과 현물의 가치를 합할 경우 김대중 정부 시절 24억7065만달러, 노무현 정부 시절 43억5632만달러로 홍 후보의 주장과 근사했다.

또	또/MAG
대북	대북/NNG
송금액과	송금액/NNG+과/JC
현물의	현물/NNG+의/JKG
가치를	가치/NNG+를/JKO
합할	합/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
김대중	김대중/NNP
정부	정부/NNG
시절	시절/NNG
24억7065만달러,	24/SN+억/NR+7065/SN+만/NR+달러/NNB+,/SP
노무현	노무현/NNP
43억5632만달러로	43/SN+억/NR+5632/SN+만/NR+달러/NNB+로/JKB
홍	홍/NNP
후보의	후보/NNG+의/JKG
주장과	주장/NNG+과/JKB
근사했다.	근사하/VA+았/EP+다/EF+./SF


# id : NWRW1800000054.367.6.1
하지만 통일부는 2010년 10월에는 다른 수치의 자료를 냈다.

하지만	하지만/MAJ
통일부는	통일부/NNG+는/JX
2010년	2010/SN+년/NNB
10월에는	10/SN+월/NNB+에/JKB+는/JX
다른	다른/MMD
수치의	수치/NNG+의/JKG
자료를	자료/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


