# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.305
metadata : {}


# id : NWRW1800000030.305.1.1
MB, 정운찬 달래는데… 참모들 보내 힘 실어줘… 與 일각선 "응석 심하다"

MB,	MB/SL+,/SP
정운찬	정운찬/NNP
달래는데…	달래/VV+는데/EC+…/SE
참모들	참모/NNG+들/XSN
보내	보내/VV+어/EC
힘	힘/NNG
실어줘…	싣/VV+어/EC+주/VX+어/EF+…/SE
與	與/SH
일각선	일각/NNG+서/JKB+ㄴ/JX
"응석	"/SS+응석/NNG
심하다"	심하/VA+다/EF+"/SS


# id : NWRW1800000030.305.2.1
청와대와 여권은 21일 동반성장위원장 사퇴 의사를 밝힌 정운찬 전 총리를 잡기 위해 막후 총력전을 폈다.

청와대와	청와대/NNP+와/JC
여권은	여권/NNG+은/JX
21일	21/SN+일/NNB
동반성장위원장	동반/NNG+성장/NNG+위원장/NNG
사퇴	사퇴/NNG
의사를	의사/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
정운찬	정운찬/NNP
전	전/MMD
총리를	총리/NNG+를/JKO
잡기	잡/VV+기/ETN
위해	위하/VV+아/EC
막후	막후/NNG
총력전을	총력전/NNG+을/JKO
폈다.	펴/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.305.3.1
박형준 대통령 특보와 곽승준 미래기획위원장 등이 정 전 총리를 접촉해 사퇴를 만류했고, 대통령의 메신저 역할을 맡은 다른 여권 인사도 정 전 총리를 설득한 것으로 알려졌다.

박형준	박형준/NNP
대통령	대통령/NNG
특보와	특보/NNG+와/JC
곽승준	곽승준/NNP
미래기획위원장	미래/NNG+기획/NNG+위원장/NNG
등이	등/NNB+이/JKS
정	정/NNP
전	전/MMD
총리를	총리/NNG+를/JKO
접촉해	접촉/NNG+하/XSV+아/EC
사퇴를	사퇴/NNG+를/JKO
만류했고,	만류/NNG+하/XSV+았/EP+고/EC+,/SP
대통령의	대통령/NNG+의/JKG
메신저	메신저/NNG
역할을	역할/NNG+을/JKO
맡은	맡/VV+은/ETM
다른	다른/MMD
여권	여권/NNG
인사도	인사/NNG+도/JX
설득한	설득/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.305.3.2
곽 위원장은 기자와의 통화에서 "정 전 총리가 제안한 초과이익공유제를 그대로 실행하기는 어렵지만 동반성장의 취지가 훼손돼선 안 되며, 삼성이 정 전 총리를 비판한 것은 아주 잘못된 것이라는 게 청와대의 입장"이라고 밝혔다.

곽	곽/NNP
위원장은	위원장/NNG+은/JX
기자와의	기자/NNG+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
"정	"/SS+정/NNP
전	전/MMD
총리가	총리/NNG+가/JKS
제안한	제안/NNG+하/XSV+ㄴ/ETM
초과이익공유제를	초과/NNG+이익/NNG+공유/NNG+제/XSN+를/JKO
그대로	그대로/MAG
실행하기는	실행/NNG+하/XSV+기/ETN+는/JX
어렵지만	어렵/VA+지만/EC
동반성장의	동반/NNG+성장/NNG+의/JKG
취지가	취지/NNG+가/JKS
훼손돼선	훼손/NNG+되/XSV+어서/EC+ㄴ/JX
안	안/MAG
되며,	되/VV+며/EC+,/SP
삼성이	삼성/NNP+이/JKS
정	정/NNP
총리를	총리/NNG+를/JKO
비판한	비판/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
아주	아주/MAG
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
게	거/NNB+이/JKS
청와대의	청와대/NNP+의/JKG
입장"이라고	입장/NNG+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.305.4.1
청와대 핵심관계자도 "이명박 대통령의 뜻은 정 위원장이 동반성장을 책임지고 이끌어 달라는 것"이라고 했다.

청와대	청와대/NNP
핵심관계자도	핵심/NNG+관계자/NNG+도/JX
"이명박	"/SS+이명박/NNP
대통령의	대통령/NNG+의/JKG
