# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.98
metadata : {}


# id : NWRW1800000048.98.1.1
자바 해저에서 에어아시아기 추정 동체 발견

자바	자바/NNP
해저에서	해저/NNG+에서/JKB
에어아시아기	에어아시아기/NNG
추정	추정/NNG
동체	동체/NNG
발견	발견/NNG


# id : NWRW1800000048.98.2.1
음파탐지기로 수심 30m서 찾아

음파탐지기로	음파/NNG+탐지기/NNG+로/JKB
수심	수심/NNG
30m서	30/SN+m/SW+서/JKB
찾아	찾/VV+아/EF


# id : NWRW1800000048.98.3.1
승무원 등 주검 4구 추가 수습

승무원	승무원/NNG
등	등/NNB
주검	주검/NNG
4구	4/SN+구/NNB
추가	추가/NNG
수습	수습/NNG


# id : NWRW1800000048.98.4.1
잠수부 배치 수색작업 속도 내

잠수부	잠수부/NNG
배치	배치/NNG
수색작업	수색/NNG+작업/NNG
속도	속도/NNG
내	내/VV+어/EF


# id : NWRW1800000048.98.5.1
추락 원인 ‘실속’ 가능성에 무게

추락	추락/NNG
원인	원인/NNG
‘실속’	‘/SS+실속/NNG+’/SS
가능성에	가능/NNG+성/XSN+에/JKB
무게	무게/NNG


# id : NWRW1800000048.98.6.1
한국인 일가족 3명을 포함한 승객과 승무원 162명을 태우고 인도네시아에서 싱가포르로 가다 추락한 에어아시아 QZ8501편의 동체로 보이는 물체가 31일 자바해 해저에서 발견됐다.

한국인	한국인/NNG
일가족	일가족/NNG
3명을	3/SN+명/NNB+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
승객과	승객/NNG+과/JC
승무원	승무원/NNG
162명을	162/SN+명/NNB+을/JKO
태우고	태우/VV+고/EC
인도네시아에서	인도네시아/NNP+에서/JKB
싱가포르로	싱가포르/NNP+로/JKB
가다	가/VV+다/EC
추락한	추락/NNG+하/XSV+ㄴ/ETM
에어아시아	에어아시아/NNP
QZ8501편의	QZ/SL+8501/SN+편/NNB+의/JKG
동체로	동체/NNG+로/JKB
보이는	보이/VV+는/ETM
물체가	물체/NNG+가/JKS
31일	31/SN+일/NNB
자바해	자바해/NNP
해저에서	해저/NNG+에서/JKB
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.98.7.1
인도네시아 수색구조청은 이날 자국 해군이 음파탐지기(소나)로 자바해의 수심 24~30m 해저에 에어아시아기로 추정되는 물체가 뒤집어진 채 있는 모습을 탐지했다고 밝혔다고 <월스트리트 저널> 등이 전했다.

인도네시아	인도네시아/NNP
수색구조청은	수색/NNG+구조청/NNG+은/JX
이날	이날/NNG
자국	자국/NNG
해군이	해군/NNG+이/JKS
음파탐지기(소나)로	음파/NNG+탐지기/NNG+(/SS+소나/NNG+)/SS+로/JKB
자바해의	자바해/NNP+의/JKG
수심	수심/NNG
24~30m	24/SN+~/SO+30/SN+m/SW
해저에	해저/NNG+에/JKB
에어아시아기로	에어아시아기/NNG+로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
물체가	물체/NNG+가/JKS
뒤집어진	뒤집어지/VV+ㄴ/ETM
채	채/NNB
있는	있/VA+는/ETM
모습을	모습/NNG+을/JKO
탐지했다고	탐지/NNG+하/XSV+았/EP+다고/EC
밝혔다고	밝히/VV+었/EP+다고/EC
<월스트리트	</SS+월스트리트/NNP
저널>	저널/NNG+>/SS
등이	등/NNB+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.98.7.2
탐지 지점은 전날 에어아시아기 잔해와 탑승자 추정 주검이 발견된 곳에서 3.2~3.5㎞ 떨어진 곳이다.

탐지	탐지/NNG
지점은	지점/NNG+은/JX
전날	전날/NNG
에어아시아기	에어아시아기/NNG
잔해와	잔해/NNG+와/JC
탑승자	탑승자/NNG
추정	추정/NNG
주검이	주검/NNG+이/JKS
발견된	발견/NNG+되/XSV+ㄴ/ETM
곳에서	곳/NNG+에서/JKB
3.2~3.5㎞	3/SN+./SP+2/SN+~/SO+3/SN+./SP+5/SN+㎞/SW
떨어진	떨어지/VV+ㄴ/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.98.7.3
잔해와 탑승자 추정 주검이 발견된 곳은 인도네시아 보르네오섬 팡칼란분 남서쪽 160㎞ 지점이었으며, 에어아시아기가 자바해에서 실종된 28일 레이더에 마지막으로 포착된 곳에서 10㎞ 정도 떨어진 지점이다.

잔해와	잔해/NNG+와/JC
탑승자	탑승자/NNG
추정	추정/NNG
주검이	주검/NNG+이/JKS
발견된	발견/NNG+되/XSV+ㄴ/ETM
곳은	곳/NNG+은/JX
인도네시아	인도네시아/NNP
보르네오섬	보르네오섬/NNP
팡칼란분	팡칼란분/NNP
남서쪽	남서쪽/NNG
