# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.4
metadata : {}


# id : NWRW1800000052.4.1.1
CJ대한통운, 아시아 최대 택배 터미널 건설

CJ대한통운,	CJ대한통운/NNP+,/SP
아시아	아시아/NNP
최대	최대/NNG
택배	택배/NNG
터미널	터미널/NNG
건설	건설/NNG


# id : NWRW1800000052.4.2.1
축구장 40개 크기…2018년 가동

축구장	축구장/NNG
40개	40/SN+개/NNB
크기…2018년	크기/NNG+…/SE+2018/SN+년/NNB
가동	가동/NNG


# id : NWRW1800000052.4.3.1
하루 162만상자 분류 처리 가능

하루	하루/NNG
162만상자	162/SN+만/NR+상자/NNG
분류	분류/NNG
처리	처리/NNG
가능	가능/NNG


# id : NWRW1800000052.4.4.1
씨제이(CJ)대한통운이 3800억원을 투자해 경기 광주시에 아시아 최대 규모의 택배 허브터미널을 건설한다.

씨제이(CJ)대한통운이	씨제이/NNP+(/SS+CJ/SL+)/SS+대한통운/NNP+이/JKS
3800억원을	3800/SN+억/NR+원/NNB+을/JKO
투자해	투자/NNG+하/XSV+아/EC
경기	경기/NNP
광주시에	광주시/NNP+에/JKB
아시아	아시아/NNP
최대	최대/NNG
규모의	규모/NNG+의/JKG
택배	택배/NNG
허브터미널을	허브/NNG+터미널/NNG+을/JKO
건설한다.	건설/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.4.5.1
27일 씨제이대한통운은 국내 택배물량이 지난해 18억 상자를 넘어선 데 이어 2017년 20억 상자 이상으로 포화상태에 이를 것으로 예상돼 택배 화물의 60%가 집중된 수도권 전담 허브터미널을 건설하기로 했다고 밝혔다.

27일	27/SN+일/NNB
씨제이대한통운은	씨제이대한통운/NNP+은/JX
국내	국내/NNG
택배물량이	택배/NNG+물량/NNG+이/JKS
지난해	지난해/NNG
18억	18/SN+억/NR
상자를	상자/NNG+를/JKO
넘어선	넘어서/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
2017년	2017/SN+년/NNB
20억	20/SN+억/NR
상자	상자/NNG
이상으로	이상/NNG+으로/JKB
포화상태에	포화/NNG+상태/NNG+에/JKB
이를	이르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상돼	예상/NNG+되/XSV+어/EC
택배	택배/NNG
화물의	화물/NNG+의/JKG
60%가	60/SN+%/SW+가/JKS
집중된	집중/NNG+되/XSV+ㄴ/ETM
수도권	수도/NNG+권/XSN
전담	전담/NNG
허브터미널을	허브/NNG+터미널/NNG+을/JKO
건설하기로	건설/NNG+하/XSV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.4.6.1
회사 쪽은 새로 지어질 택배 터미널이 축구장 40개 크기와 맞먹는 연면적 30만㎡(약 9만평) 규모로, 취급물량 기준으로 세계 3위권으로 올라설 것이라고 추정했다.

회사	회사/NNG
쪽은	쪽/NNB+은/JX
