# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.297
metadata : {}


# id : NWRW1800000054.297.1.1
[기자의 視角] '준비된 후보'의 부실 공약

[기자의	[/SS+기자/NNG+의/JKG
視角]	視角/SH+]/SS
'준비된	'/SS+준비/NNG+되/XSV+ㄴ/ETM
후보'의	후보/NNG+'/SS+의/JKG
부실	부실/NNG
공약	공약/NNG


# id : NWRW1800000054.297.2.1
지난 20일 문재인 더불어민주당 후보는 자신의 정책 제안 동영상 '주간 문재인'을 서울 마포의 한 스튜디오에서 촬영했다.

지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
문재인	문재인/NNP
더불어민주당	더불어민주당/NNP
후보는	후보/NNG+는/JX
자신의	자신/NNG+의/JKG
정책	정책/NNG
제안	제안/NNG
동영상	동영상/NNG
'주간	'/SS+주간/NNG
문재인'을	문재인/NNP+'/SS+을/JKO
서울	서울/NNP
마포의	마포/NNP+의/JKG
한	한/MMN
스튜디오에서	스튜디오/NNG+에서/JKB
촬영했다.	촬영/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.297.2.2
학습지 교사, 보험설계사, 택배기사, 오토바이 배달원 등 50개 직군 약 230만명에 달하는 '특수 형태 근로 종사자'의 노동 3권을 보장하고 고용·산재보험을 의무화하겠다는 내용이었다.

학습지	학습지/NNG
교사,	교사/NNG+,/SP
보험설계사,	보험/NNG+설계사/NNG+,/SP
택배기사,	택배/NNG+기사/NNG+,/SP
오토바이	오토바이/NNG
배달원	배달원/NNG
등	등/NNB
50개	50/SN+개/NNB
직군	직군/NNG
약	약/MMA
230만명에	230/SN+만/NR+명/NNB+에/JKB
달하는	달하/VV+는/ETM
'특수	'/SS+특수/NNG
형태	형태/NNG
근로	근로/NNG
종사자'의	종사자/NNG+'/SS+의/JKG
노동	노동/NNG
3권을	3권/NNG+을/JKO
보장하고	보장/NNG+하/XSV+고/EC
고용·산재보험을	고용/NNG+·/SP+산재/NNG+보험/NNG+을/JKO
의무화하겠다는	의무/NNG+화/XSN+하/XSV+겠/EP+다는/ETM
내용이었다.	내용/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.297.3.1
문재인 캠프에서는 이와 관련해 보도 자료를 내고 "문 후보가 특수고용 노동자들의 정규직 전환을 돕겠다고 약속했다"고 밝혔다.

문재인	문재인/NNP
캠프에서는	캠프/NNG+에서/JKB+는/JX
이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
보도	보도/NNG
자료를	자료/NNG+를/JKO
내고	내/VV+고/EC
"문	"/SS+문/NNP
후보가	후보/NNG+가/JKS
특수고용	특수/NNG+고용/NNG
노동자들의	노동자/NNG+들/XSN+의/JKG
정규직	정규직/NNG
전환을	전환/NNG+을/JKO
돕겠다고	돕/VV+겠/EP+다고/EC
약속했다"고	약속/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.297.3.2
230만명의 정규직 전환 공약은 재원 조달 방안부터 우리 경제·산업계에 미칠 영향이 간단치 않은 중대 사안이었지만 이날 문 후보는 이에 대해 구체적 설명을 하지 않았다.

230만명의	230/SN+만/NR+명/NNB+의/JKG
정규직	정규직/NNG
전환	전환/NNG
공약은	공약/NNG+은/JX
재원	재원/NNG
조달	조달/NNG
방안부터	방안/NNG+부터/JX
우리	우리/NP
경제·산업계에	경제/NNG+·/SP+산업/NNG+계/XSN+에/JKB
미칠	미치/VV+ㄹ/ETM
영향이	영향/NNG+이/JKS
간단치	간단하/VA+지/EC
않은	않/VX+은/ETM
중대	중대/NNG
사안이었지만	사안/NNG+이/VCP+었/EP+지만/EC
이날	이날/NNG
문	문/NNP
후보는	후보/NNG+는/JX
이에	이/NP+에/JKB
대해	대하/VV+아/EC
구체적	구체/NNG+적/XSN
설명을	설명/NNG+을/JKO
하지	하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.297.4.1
문 후보의 싱크탱크 '정책공간 국민성장'의 부소장인 조대엽 고려대 노동대학원장은 "처음 듣는 이야기다. 캠프에서 만든 정책 같다"고 했다.

문	문/NNP
후보의	후보/NNG+의/JKG
싱크탱크	싱크탱크/NNG
'정책공간	'/SS+정책/NNG+공간/NNG
국민성장'의	국민/NNG+성장/NNG+'/SS+의/JKG
부소장인	부소장/NNG+이/VCP+ㄴ/ETM
조대엽	조대엽/NNP
고려대	고려대/NNP
노동대학원장은	노동/NNG+대학원장/NNG+은/JX
"처음	"/SS+처음/NNG
듣는	듣/VV+는/ETM
이야기다.	이야기/NNG+이/VCP+다/EF+./SF
캠프에서	캠프/NNG+에서/JKB
만든	만들/VV+ㄴ/ETM
정책	정책/NNG
같다"고	같/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.297.4.2
