# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.9
metadata : {}


# id : NWRW1800000044.9.1.1
한은 기준금리 아홉달째 동결

한은	한은/NNP
기준금리	기준/NNG+금리/NNG
아홉달째	아홉/NR+달/NNB+째/XSN
동결	동결/NNG


# id : NWRW1800000044.9.2.1
[한겨레] “국내 경기 회복세 지속되지만

[한겨레]	[/SS+한겨레/NNP+]/SS
“국내	“/SS+국내/NNG
경기	경기/NNG
회복세	회복세/NNG
지속되지만	지속/NNG+되/XSV+지만/EC


# id : NWRW1800000044.9.3.1
신흥국 영향받을 가능성 상존”

신흥국	신흥국/NNG
영향받을	영향/NNG+받/XSV+을/ETM
가능성	가능/NNG+성/XSN
상존”	상존/NNG+”/SS


# id : NWRW1800000044.9.4.1
한국은행 금융통화위원회가 연 2.50%인 기준금리를 2월에도 유지하기로 했다.

한국은행	한국은행/NNP
금융통화위원회가	금융/NNG+통화/NNG+위원회/NNG+가/JKS
연	연/NNG
2.50%인	2/SN+./SP+50/SN+%/SW+이/VCP+ㄴ/ETM
기준금리를	기준/NNG+금리/NNG+를/JKO
2월에도	2/SN+월/NNB+에/JKB+도/JX
유지하기로	유지/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.9.4.2
현재 기준금리는 지난해 5월 0.25%포인트 인하된 뒤 아홉달째 묶여 있다.

현재	현재/MAG
기준금리는	기준/NNG+금리/NNG+는/JX
지난해	지난해/NNG
5월	5/SN+월/NNB
0.25%포인트	0/SN+./SP+25/SN+%포인트/NNG
인하된	인하/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
아홉달째	아홉/NR+달/NNB+째/XSN
묶여	묶이/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.9.5.1
한은은 13일 금융통화위원회를 열어 이달 기준금리를 현 수준에서 동결하기로 결정했다.

한은은	한은/NNP+은/JX
13일	13/SN+일/NNB
금융통화위원회를	금융/NNG+통화/NNG+위원회/NNG+를/JKO
열어	열/VV+어/EC
이달	이달/NNG
기준금리를	기준/NNG+금리/NNG+를/JKO
현	현/MMD
수준에서	수준/NNG+에서/JKB
동결하기로	동결/NNG+하/XSV+기/ETN+로/JKB
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.9.5.2
국내외 경기가 완만한 회복세를 지속할 것으로 보지만, 대외 위험 요인이 여전해 아직 금리를 올리거나 내릴 상황이 아니라고 판단한 것이다.

국내외	국내외/NNG
경기가	경기/NNG+가/JKS
완만한	완만하/VA+ㄴ/ETM
회복세를	회복세/NNG+를/JKO
지속할	지속/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보지만,	보/VV+지만/EC+,/SP
대외	대외/NNG
위험	위험/NNG
요인이	요인/NNG+이/JKS
여전해	여전하/VA+아/EC
아직	아직/MAG
금리를	금리/NNG+를/JKO
올리거나	올리/VV+거나/EC
내릴	내리/VV+ㄹ/ETM
상황이	상황/NNG+이/JKC
아니라고	아니/VCN+라고/EC
판단한	판단/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.9.6.1
김중수 총재는 금통위 회의 뒤 기자회견에서 “금통위원 만장일치로 다음 통화정책방향 결정 때까지 기준금리를 현 수준에서 유지해 통화정책을 운용하기로 했다”고 말했다.

김중수	김중수/NNP
총재는	총재/NNG+는/JX
금통위	금통위/NNG
회의	회의/NNG
뒤	뒤/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“금통위원	“/SS+금통위원/NNG
만장일치로	만장일치/NNG+로/JKB
다음	다음/NNG
통화정책방향	통화/NNG+정책/NNG+방향/NNG
결정	결정/NNG
때까지	때/NNG+까지/JX
기준금리를	기준/NNG+금리/NNG+를/JKO
현	현/MMD
수준에서	수준/NNG+에서/JKB
유지해	유지/NNG+하/XSV+아/EC
통화정책을	통화/NNG+정책/NNG+을/JKO
운용하기로	운용/NNG+하/XSV+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.9.6.2
금통위는 통화정책방향 결정문에서 “수출이 양호한 흐름을 이어가면서 국내 경기가 추세치를 따라 회복세를 지속했다”면서도 “세계경제는 미 연준의 양적완화 축소에 따른 글로벌 금융시장 여건 변화와 일부 신흥국의 성장세 약화 등에 영향받을 가능성이 상존하고 있다”고 진단했다.

금통위는	금통위/NNG+는/JX
통화정책방향	통화/NNG+정책/NNG+방향/NNG
결정문에서	결정문/NNG+에서/JKB
“수출이	“/SS+수출/NNG+이/JKS
양호한	양호/NNG+하/XSA+ㄴ/ETM
흐름을	흐름/NNG+을/JKO
이어가면서	잇/VV+어/EC+가/VX+면서/EC
국내	국내/NNG
경기가	경기/NNG+가/JKS
추세치를	추세/NNG+치/XSN+를/JKO
따라	따르/VV+아/EC
회복세를	회복세/NNG+를/JKO
지속했다”면서도	지속/NNG+하/XSV+았/EP+다/EF+”/SS+면서/EC+도/JX
“세계경제는	“/SS+세계/NNG+경제/NNG+는/JX
미	미/NNP
연준의	연준/NNP+의/JKG
양적완화	양/NNG+적/XSN+완화/NNG
축소에	축소/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
글로벌	글로벌/NNG
금융시장	금융/NNG+시장/NNG
여건	여건/NNG
변화와	변화/NNG+와/JC
일부	일부/NNG
신흥국의	신흥국/NNG+의/JKG
성장세	성장세/NNG
약화	약화/NNG
등에	등/NNB+에/JKB
영향받을	영향/NNG+받/XSV+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
상존하고	상존/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
진단했다.	진단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.9.6.3
기준금리를 조정하기에는 불안한 대외 여건을 좀더 지켜볼 필요가 있다는 인식으로 풀이된다.

기준금리를	기준/NNG+금리/NNG+를/JKO
조정하기에는	조정/NNG+하/XSV+기에/EC+는/JX
불안한	불안/NNG+하/XSA+ㄴ/ETM
대외	대외/NNG
여건을	여건/NNG+을/JKO
좀더	좀/MAG+더/MAG
지켜볼	지켜보/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다는	있/VA+다는/ETM
인식으로	인식/NNG+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.9.7.1
미 연준의 테이퍼링(자산매입 축소) 여파에 따른 신흥국 시장의 불안에 대해 김 총재는 “신흥국마다 동일하지 않겠지만 테이퍼링은 예견돼온 일이고 대처 능력도 과거와 달라 시간이 갈수록 변동폭이 줄어들 것”이라고 내다봤다.

미	미/NNP
연준의	연준/NNP+의/JKG
테이퍼링(자산매입	테이퍼링/NNG+(/SS+자산/NNG+매입/NNG
축소)	축소/NNG+)/SS
여파에	여파/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
신흥국	신흥국/NNG
시장의	시장/NNG+의/JKG
불안에	불안/NNG+에/JKB
대해	대하/VV+아/EC
김	김/NNP
총재는	총재/NNG+는/JX
“신흥국마다	“/SS+신흥국/NNG+마다/JX
동일하지	동일/NNG+하/XSA+지/EC
않겠지만	않/VX+겠/EP+지만/EC
테이퍼링은	테이퍼링/NNG+은/JX
예견돼온	예견/NNG+되/XSV+어/EC+오/VX+ㄴ/ETM
일이고	일/NNG+이/VCP+고/EC
대처	대처/NNG
능력도	능력/NNG+도/JX
과거와	과거/NNG+와/JKB
달라	다르/VA+아/EC
시간이	시간/NNG+이/JKS
갈수록	갈수록/MAG
변동폭이	변동/NNG+폭/NNG+이/JKS
줄어들	줄어들/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.9.8.1
한은은 이날 발표한 ‘최근 국내외 경제동향’에서도 국내 경기가 회복세를 지속하고 있는 것으로 평가했다.

한은은	한은/NNP+은/JX
이날	이날/NNG
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘최근	‘/SS+최근/NNG
국내외	국내외/NNG
경제동향’에서도	경제/NNG+동향/NNG+’/SS+에서/JKB+도/JX
국내	국내/NNG
경기가	경기/NNG+가/JKS
회복세를	회복세/NNG+를/JKO
지속하고	지속/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.9.8.2
