# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.402
metadata : {}


# id : NWRW1800000030.402.1.1
[강원] 평창, 국민 유치 열기 경쟁도시 압도

[강원]	[/SS+강원/NNP+]/SS
평창,	평창/NNP+,/SP
국민	국민/NNG
유치	유치/NNG
열기	열기/NNG
경쟁도시	경쟁/NNG+도시/NNG
압도	압도/NNG


# id : NWRW1800000030.402.2.1
2018동계올림픽 개최지를 결정하는 IOC(국제올림픽위원회) 남아공 더반 총회가 8일 앞으로 다가왔다.

2018동계올림픽	2018/SN+동계/NNG+올림픽/NNG
개최지를	개최지/NNG+를/JKO
결정하는	결정/NNG+하/XSV+는/ETM
IOC(국제올림픽위원회)	IOC/SL+(/SS+국제올림픽위원회/NNP+)/SS
남아공	남아공/NNP
더반	더반/NNP
총회가	총회/NNG+가/JKS
8일	8/SN+일/NNB
앞으로	앞/NNG+으로/JKB
다가왔다.	다가오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.402.3.1
평창을 비롯해 독일 뮌헨, 프랑스 안시 등 3개 도시가 치열한 경합을 벌이는 가운데, 두 번의 실패를 겪은 평창은 이번에 반드시 승리하기 위해 '동계올림픽 평창유치'를 국가 어젠다로 격상했다.

평창을	평창/NNP+을/JKO
비롯해	비롯하/VV+아/EC
독일	독일/NNP
뮌헨,	뮌헨/NNP+,/SP
프랑스	프랑스/NNP
안시	안시/NNP
등	등/NNB
3개	3/SN+개/NNB
도시가	도시/NNG+가/JKS
치열한	치열/NNG+하/XSA+ㄴ/ETM
경합을	경합/NNG+을/JKO
벌이는	벌이/VV+는/ETM
가운데,	가운데/NNG+,/SP
두	두/MMN
번의	번/NNB+의/JKG
실패를	실패/NNG+를/JKO
겪은	겪/VV+은/ETM
평창은	평창/NNP+은/JX
이번에	이번/NNG+에/JKB
반드시	반드시/MAG
승리하기	승리/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
'동계올림픽	'/SS+동계/NNG+올림픽/NNG
평창유치'를	평창/NNP+유치/NNG+'/SS+를/JKO
국가	국가/NNG
어젠다로	어젠다/NNG+로/JKB
격상했다.	격상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.402.4.1
올 2월 실시된 IOC의 현지실사에서 평창은 평가위원들에게 지난 두 번의 평가에서 보여주지 못했던 '알펜시아'라는 실물을 보여줬다.

올	올/NNG
2월	2/SN+월/NNB
실시된	실시/NNG+되/XSV+ㄴ/ETM
IOC의	IOC/SL+의/JKG
현지실사에서	현지/NNG+실사/NNG+에서/JKB
평창은	평창/NNP+은/JX
평가위원들에게	평가/NNG+위원/NNG+들/XSN+에게/JKB
지난	지나/VV+ㄴ/ETM
두	두/MMN
번의	번/NNB+의/JKG
평가에서	평가/NNG+에서/JKB
보여주지	보이/VV+어/EC+주/VX+지/EC
못했던	못하/VX+았/EP+던/ETM
'알펜시아'라는	'/SS+알펜시아/NNP+'/SS+이/VCP+라는/ETM
실물을	실물/NNG+을/JKO
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.402.4.2
또 동계올림픽에 필요한 13개 경기장 중 스키점프장 등 완공된 7개 시설을 공개했다.

또	또/MAG
동계올림픽에	동계/NNG+올림픽/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
13개	13/SN+개/NNB
경기장	경기장/NNG
중	중/NNB
스키점프장	스키/NNG+점프장/NNG
등	등/NNB
