# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.324
metadata : {}


# id : NWRW1800000054.324.1.1
[萬物相] 소득 주도 성장론

[萬物相]	[/SS+萬物相/SH+]/SS
소득	소득/NNG
주도	주도/NNG
성장론	성장/NNG+론/XSN


# id : NWRW1800000054.324.2.1
미국은 우리와 달리 약 10년에 한 번꼴로 최저임금을 손대는 나라다.

미국은	미국/NNP+은/JX
우리와	우리/NP+와/JKB
달리	달리/MAG
약	약/MMA
10년에	10/SN+년/NNB+에/JKB
한	한/MMN
번꼴로	번/NNB+꼴/XSN+로/JKB
최저임금을	최저/NNG+임금/NNG+을/JKO
손대는	손대/VV+는/ETM
나라다.	나라/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.324.2.2
그 압력이 쌓여 2014년 오바마 대통령이 최저임금을 한꺼번에 39% 올리는 행정명령을 내렸으나 공화당이 장악한 의회에서 부결됐다.

그	그/MMD
압력이	압력/NNG+이/JKS
쌓여	쌓이/VV+어/EC
2014년	2014/SN+년/NNB
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
최저임금을	최저/NNG+임금/NNG+을/JKO
한꺼번에	한꺼번에/MAG
39%	39/SN+%/SW
올리는	올리/VV+는/ETM
행정명령을	행정/NNG+명령/NNG+을/JKO
내렸으나	내리/VV+었/EP+으나/EC
공화당이	공화당/NNP+이/JKS
장악한	장악/NNG+하/XSV+ㄴ/ETM
의회에서	의회/NNG+에서/JKB
부결됐다.	부결/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.324.2.3
화가 난 오바마는 "연봉 1만5000달러로 가족을 부양할 수 있다고 믿느냐"고 했다.

화가	화/NNG+가/JKS
난	나/VV+ㄴ/ETM
오바마는	오바마/NNP+는/JX
"연봉	"/SS+연봉/NNG
1만5000달러로	1/SN+만/NR+5000/SN+달러/NNB+로/JKB
가족을	가족/NNG+을/JKO
부양할	부양/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
믿느냐"고	믿/VV+느냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.324.2.4
오바마는 최저임금 말고도 근로자 소득을 늘려주는 정책을 여럿 폈다.

오바마는	오바마/NNP+는/JX
최저임금	최저/NNG+임금/NNG
말고도	말/VV+고/EC+도/JX
근로자	근로자/NNG
소득을	소득/NNG+을/JKO
늘려주는	늘리/VV+어/EC+주/VX+는/ETM
정책을	정책/NNG+을/JKO
여럿	여럿/NNG
