# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.334
metadata : {}


# id : NWRW1800000040.334.1.1
[아침 햇발] 작전통제권 박탈의 추억 / 박창식

[아침	[/SS+아침/NNG
햇발]	햇발/NNG+]/SS
작전통제권	작전/NNG+통제/NNG+권/XSN
박탈의	박탈/NNG+의/JKG
추억	추억/NNG
/	//SP
박창식	박창식/NNP


# id : NWRW1800000040.334.2.1
한국군의 일그러진 군맥을 이야기할 때 빠지지 않는 인물로 유재흥이 있다.

한국군의	한국군/NNG+의/JKG
일그러진	일그러지/VV+ㄴ/ETM
군맥을	군맥/NNG+을/JKO
이야기할	이야기/NNG+하/XSV+ㄹ/ETM
때	때/NNG
빠지지	빠지/VV+지/EC
않는	않/VX+는/ETM
인물로	인물/NNG+로/JKB
유재흥이	유재흥/NNP+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.334.2.2
그는 ‘2대 친일 군인’으로 유명하다.

그는	그/NP+는/JX
‘2대	‘/SS+2/SN+대/NNB
친일	친일/NNG
군인’으로	군인/NNG+’/SS+으로/JKB
유명하다.	유명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000040.334.2.3
일본 육사 26기를 졸업한 아버지에 이어 일본 육사 55기를 나왔다.

일본	일본/NNP
육사	육사/NNP
26기를	26/SN+기/NNG+를/JKO
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
아버지에	아버지/NNG+에/JKB
이어	잇/VV+어/EC
55기를	55/SN+기/NNG+를/JKO
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.334.2.4
유재흥은 보병 대위 시절 이광수, 최남선 등과 함께 일본 메이지대학에서 조선인 학병 지원을 촉구하는 연설을 했다.

유재흥은	유재흥/NNP+은/JX
보병	보병/NNG
대위	대위/NNG
시절	시절/NNG
이광수,	이광수/NNP+,/SP
최남선	최남선/NNP
등과	등/NNB+과/JKB
함께	함께/MAG
일본	일본/NNP
메이지대학에서	메이지대학/NNP+에서/JKB
조선인	조선인/NNG
학병	학병/NNG
지원을	지원/NNG+을/JKO
촉구하는	촉구/NNG+하/XSV+는/ETM
연설을	연설/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.334.2.5
초기 한국군 지휘부에는 이런 친일 전력 인물들이 수두룩했다.

초기	초기/NNG
한국군	한국군/NNG
지휘부에는	지휘부/NNG+에/JKB+는/JX
이런	이런/MMD
친일	친일/NNG
전력	전력/NNG
인물들이	인물/NNG+들/XSN+이/JKS
수두룩했다.	수두룩하/VA+았/EP+다/EF+./SF


# id : NWRW1800000040.334.2.6
현재 국립묘지 장군묘역에 친일인명사전에 등재된 사람 46명이 묻혀 있을 정도다.

현재	현재/MAG
국립묘지	국립묘지/NNG
장군묘역에	장군/NNG+묘역/NNG+에/JKB
친일인명사전에	친일/NNG+인명사전/NNG+에/JKB
등재된	등재/NNG+되/XSV+ㄴ/ETM
사람	사람/NNG
46명이	46/SN+명/NNB+이/JKS
묻혀	묻히/VV+어/EC
있을	있/VX+을/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.334.3.1
유재흥은 한국전쟁에서 연전연패를 기록하여 더욱 유명해졌다.

유재흥은	유재흥/NNP+은/JX
한국전쟁에서	한국/NNP+전쟁/NNG+에서/JKB
연전연패를	연전연패/NNG+를/JKO
기록하여	기록/NNG+하/XSV+아/EC
더욱	더욱/MAG
유명해졌다.	유명/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000040.334.3.2
1950년 6월25일 당시 준장으로 의정부 방면에서 7사단을 지휘하던 유재흥은 밀고 내려오는 북한군한테 병력을 쪼개어 투입하는 어이없는 실책을 범했다.

1950년	1950/SN+년/NNB
6월25일	6/SN+월/NNB+25/SN+일/NNB
당시	당시/NNG
준장으로	준장/NNG+으로/JKB
의정부	의정부/NNP
방면에서	방면/NNG+에서/JKB
7사단을	7/SN+사단/NNG+을/JKO
지휘하던	지휘/NNG+하/XSV+던/ETM
유재흥은	유재흥/NNP+은/JX
밀고	밀/VV+고/EC
내려오는	내려오/VV+는/ETM
북한군한테	북한군/NNG+한테/JKB
병력을	병력/NNG+을/JKO
쪼개어	쪼개/VV+어/EC
투입하는	투입/NNG+하/XSV+는/ETM
어이없는	어이없/VA+는/ETM
실책을	실책/NNG+을/JKO
범했다.	범하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.334.3.3
2군단장으로 그는 1950년 11월 덕천 전투에서 또다시 ‘삽질’을 한다.

2군단장으로	2/SN+군단장/NNG+으로/JKB
그는	그/NP+는/JX
1950년	1950/SN+년/NNB
11월	11/SN+월/NNB
덕천	덕천/NNP
전투에서	전투/NNG+에서/JKB
또다시	또다시/MAG
‘삽질’을	‘/SS+삽/NNG+질/XSN+’/SS+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.334.3.4
휘하 6, 7, 8사단은 중국군이 공세로 나선 사실을 전혀 모르다가 포위 공격을 당하고, 부대 대오조차 유지하지 못한 채로 괴멸한다.

휘하	휘하/NNG
6,	6/SN+,/SP
7,	7/SN+,/SP
8사단은	8/SN+사단/NNG+은/JX
중국군이	중국군/NNG+이/JKS
공세로	공세/NNG+로/JKB
나선	나서/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
전혀	전혀/MAG
모르다가	모르/VV+다가/EC
포위	포위/NNG
공격을	공격/NNG+을/JKO
당하고,	당하/VV+고/EC+,/SP
부대	부대/NNG
대오조차	대오/NNG+조차/JX
