# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.199
metadata : {}


# id : NWRW1800000046.199.1.1
양띠 지소연 "올해는 나의 해"

양띠	양띠/NNG
지소연	지소연/NNP
"올해는	"/SS+올해/NNG+는/JX
나의	나/NP+의/JKG
해"	해/NNG+"/SS


# id : NWRW1800000046.199.2.1
첼시 레이디스와 재계약, 英리그 최고 수준 연봉… "6월 월드컵서 일낼 것"

첼시	첼시/NNP
레이디스와	레이디스/NNP+와/JC
재계약,	재/XPN+계약/NNG+,/SP
英리그	英/SH+리그/NNG
최고	최고/NNG
수준	수준/NNG
연봉…	연봉/NNG+…/SE
"6월	"/SS+6/SN+월/NNB
월드컵서	월드컵/NNG+서/JKB
일낼	일내/VV+ㄹ/ETM
것"	것/NNB+"/SS


# id : NWRW1800000046.199.3.1
한국 여자 축구의 '간판스타' 지소연(24·사진)이 잉글랜드 첼시 레이디스와 재계약했다.

한국	한국/NNP
여자	여자/NNG
축구의	축구/NNG+의/JKG
'간판스타'	'/SS+간판스타/NNG+'/SS
지소연(24·사진)이	지소연/NNP+(/SS+24/SN+·/SP+사진/NNG+)/SS+이/JKS
잉글랜드	잉글랜드/NNP
첼시	첼시/NNP
레이디스와	레이디스/NNP+와/JKB
재계약했다.	재/XPN+계약/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.199.3.2
첼시는 8일(한국 시각) 구단 홈페이지를 통해 "지소연과 재계약했다"고 밝혔다.

첼시는	첼시/NNP+는/JX
8일(한국	8/SN+일/NNB+(/SS+한국/NNP
시각)	시각/NNG+)/SS
구단	구단/NNG
홈페이지를	홈페이지/NNG+를/JKO
통해	통하/VV+아/EC
"지소연과	"/SS+지소연/NNP+과/JKB
재계약했다"고	재/XPN+계약/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.199.4.1
지난해 첼시에 입단한 지소연은 당초 구단과 2년 계약을 했는데 올 시즌 19경기에서 9골을 넣으며 팀을 2위로 이끈 활약 덕분에 지난해보다 높아진 연봉으로 새로 계약을 맺었다.

지난해	지난해/NNG
첼시에	첼시/NNP+에/JKB
입단한	입단/NNG+하/XSV+ㄴ/ETM
지소연은	지소연/NNP+은/JX
당초	당초/NNG
구단과	구단/NNG+과/JKB
2년	2/SN+년/NNB
계약을	계약/NNG+을/JKO
했는데	하/VV+았/EP+는데/EC
올	올/NNG
시즌	시즌/NNG
19경기에서	19/SN+경기/NNG+에서/JKB
9골을	9/SN+골/NNG+을/JKO
넣으며	넣/VV+으며/EC
팀을	팀/NNG+을/JKO
2위로	2/SN+위/NNB+로/JKB
이끈	이끌/VV+ㄴ/ETM
활약	활약/NNG
덕분에	덕분/NNG+에/JKB
지난해보다	지난해/NNG+보다/JKB
높아진	높아지/VV+ㄴ/ETM
연봉으로	연봉/NNG+으로/JKB
새로	새로/MAG
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.199.4.2
구체적인 계약 조건은 공개되지 않았지만 잉글랜드 여자 축구 리그 최고 수준인 것으로 알려졌다.

구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
계약	계약/NNG
조건은	조건/NNG+은/JX
공개되지	공개/NNG+되/XSV+지/EC
않았지만	않/VX+았/EP+지만/EC
잉글랜드	잉글랜드/NNP
여자	여자/NNG
축구	축구/NNG
리그	리그/NNG
최고	최고/NNG
수준인	수준/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.199.5.1
'양띠'인 지소연은 기분 좋게 한 해를 시작하며 2015년을 자신의 해로 만들겠다는 각오로 가득하다.

'양띠'인	'/SS+양띠/NNG+'/SS+이/VCP+ㄴ/ETM
지소연은	지소연/NNP+은/JX
기분	기분/NNG
좋게	좋/VA+게/EC
한	한/MMN
해를	해/NNB+를/JKO
시작하며	시작/NNG+하/XSV+며/EC
2015년을	2015/SN+년/NNB+을/JKO
자신의	자신/NNG+의/JKG
해로	해/NNG+로/JKB
만들겠다는	만들/VV+겠/EP+다는/ETM
각오로	각오/NNG+로/JKB
가득하다.	가득/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000046.199.5.2
뛰어난 드리블과 슈팅 능력으로 리오넬 메시(바르셀로나)에 빗대 '지메시(지소연+메시)'라 불리는 지소연은 오는 6월 캐나다에서 꿈에 그리던 FIFA(국제축구연맹) 여자 월드컵 무대를 밟는다.

뛰어난	뛰어나/VA+ㄴ/ETM
드리블과	드리블/NNG+과/JC
슈팅	슈팅/NNG
능력으로	능력/NNG+으로/JKB
리오넬	리오넬/NNP
메시(바르셀로나)에	메시/NNP+(/SS+바르셀로나/NNP+)/SS+에/JKB
빗대	빗대/VV+어/EC
'지메시(지소연+메시)'라	'/SS+지메시/NNP+(/SS+지소연/NNP++/SW+메시/NNP+)/SS+'/SS+이라/JKQ
불리는	불리/VV+는/ETM
지소연은	지소연/NNP+은/JX
오는	오/VV+는/ETM
6월	6/SN+월/NNB
캐나다에서	캐나다/NNP+에서/JKB
꿈에	꿈/NNG+에/JKB
그리던	그리/VV+던/ETM
FIFA(국제축구연맹)	FIFA/SL+(/SS+국제축구연맹/NNP+)/SS
여자	여자/NNG
월드컵	월드컵/NNG
무대를	무대/NNG+를/JKO
밟는다.	밟/VV+는다/EF+./SF


# id : NWRW1800000046.199.5.3
월드컵은 지소연이 초등학교 2학년 때부터 축구를 시작하며 품어온 꿈이다.

월드컵은	월드컵/NNG+은/JX
지소연이	지소연/NNP+이/JKS
초등학교	초등학교/NNG
2학년	2/SN+학년/NNG
때부터	때/NNG+부터/JX
축구를	축구/NNG+를/JKO
시작하며	시작/NNG+하/XSV+며/EC
품어온	품/VV+어/EC+오/VX+ㄴ/ETM
꿈이다.	꿈/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.199.5.4
지소연은 처음 출전하는 월드컵에서 16강 이상 성적을 거둬 지난해 인천 아시안게임 4강 탈락의 아쉬움도 달랠 작정이다.

지소연은	지소연/NNP+은/JX
처음	처음/NNG
출전하는	출전/NNG+하/XSV+는/ETM
월드컵에서	월드컵/NNG+에서/JKB
16강	16/SN+강/NNB
이상	이상/NNG
성적을	성적/NNG+을/JKO
거둬	거두/VV+어/EC
지난해	지난해/NNG
인천	인천/NNP
아시안게임	아시안/NNP+게임/NNG
4강	4/SN+강/NNB
탈락의	탈락/NNG+의/JKG
아쉬움도	아쉬움/NNG+도/JX
달랠	달래/VV+ㄹ/ETM
작정이다.	작정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.199.6.1
한국은 '천재 스트라이커' 지소연과 박은선(29·로시얀카)의 콤비 플레이에 큰 기대를 걸고 있다.

한국은	한국/NNP+은/JX
'천재	'/SS+천재/NNG
스트라이커'	스트라이커/NNG+'/SS
지소연과	지소연/NNP+과/JC
박은선(29·로시얀카)의	박은선/NNP+(/SS+29/SN+·/SP+로시얀카/NNP+)/SS+의/JKG
콤비	콤비/NNG
플레이에	플레이/NNG+에/JKB
큰	크/VA+ㄴ/ETM
기대를	기대/NNG+를/JKO
걸고	걸/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.199.6.2
박은선은 키가 180㎝로 크면서도 움직임이 빨라 지난해 아시안컵부터 지소연(161㎝)과 함께 '빅 앤드 스몰(big and small)' 조합으로 투톱을 이뤄왔다.

박은선은	박은선/NNP+은/JX
키가	키/NNG+가/JKS
180㎝로	180/SN+㎝/SW+로/JKB
크면서도	크/VA+면서/EC+도/JX
움직임이	움직임/NNG+이/JKS
빨라	빠르/VA+아/EC
지난해	지난해/NNG
아시안컵부터	아시안/NNP+컵/NNG+부터/JX
지소연(161㎝)과	지소연/NNP+(/SS+161/SN+㎝/SW+)/SS+과/JKB
함께	함께/MAG
'빅	'/SS+빅/NNG
앤드	앤드/NNG
스몰(big	스몰/NNG+(/SS+big/SL
and	and/SL
small)'	small/SL+)/SS+'/SS
조합으로	조합/NNG+으로/JKB
투톱을	투톱/NNG+을/JKO
이뤄왔다.	이루/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.199.6.3
박은선이 수비수를 몰고 다니며 헤딩으로 공을 떨어뜨리면 지소연이 빈틈을 파고들어 골을 넣는 식이다.

박은선이	박은선/NNP+이/JKS
수비수를	수비수/NNG+를/JKO
몰고	몰/VV+고/EC
다니며	다니/VV+며/EC
헤딩으로	헤딩/NNG+으로/JKB
공을	공/NNG+을/JKO
떨어뜨리면	떨어뜨리/VV+면/EC
지소연이	지소연/NNP+이/JKS
빈틈을	빈틈/NNG+을/JKO
파고들어	파고들/VV+어/EC
골을	골/NNG+을/JKO
넣는	넣/VV+는/ETM
식이다.	식/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.199.6.4
지소연은 오는 11일부터 중국에서 열리는 4개국 친선 대회를 위해 8개월 만에 박은선과 다시 호흡을 맞췄다.

지소연은	지소연/NNP+은/JX
오는	오/VV+는/ETM
11일부터	11/SN+일/NNB+부터/JX
중국에서	중국/NNP+에서/JKB
열리는	열리/VV+는/ETM
4개국	4/SN+개국/NNB
친선	친선/NNG
대회를	대회/NNG+를/JKO
위해	위하/VV+아/EC
8개월	8/SN+개월/NNB
만에	만/NNB+에/JKB
박은선과	박은선/NNP+과/JKB
다시	다시/MAG
호흡을	호흡/NNG+을/JKO
맞췄다.	맞추/VV+었/EP+다/EF+./SF


