# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.31
metadata : {}


# id : NWRW1800000052.31.1.1
7월부터 ‘보험다모아’에서 실제 자동차 보험료 비교 가능

7월부터	7/SN+월/NNB+부터/JX
‘보험다모아’에서	‘/SS+보험다모아/NNP+’/SS+에서/JKB
실제	실제/NNG
자동차	자동차/NNG
보험료	보험료/NNG
비교	비교/NNG
가능	가능/NNG


# id : NWRW1800000052.31.2.1
4일부터 연식·사고이력·세부모델 등 개인 특성 반영해 개편

4일부터	4/SN+일/NNB+부터/JX
연식·사고이력·세부모델	연식/NNG+·/SP+사고/NNG+이력/NNG+·/SP+세부/NNG+모델/NNG
등	등/NNB
개인	개인/NNG
특성	특성/NNG
반영해	반영/NNG+하/XSV+아/EC
개편	개편/NNG


# id : NWRW1800000052.31.3.1
모바일 버전도 운영…외제차·LPG·구형차 서비스 불가 한계도

모바일	모바일/NNG
버전도	버전/NNG+도/JX
운영…외제차·LPG·구형차	운영/NNG+…/SE+외제/NNG+차/NNG+·/SP+LPG/SL+·/SP+구형/NNG+차/NNG
서비스	서비스/NNG
불가	불가/NNG
한계도	한계/NNG+도/JX


# id : NWRW1800000052.31.4.1
4일부터 연식·사고이력·세부모델 등 개인 특성 반영해 개편

4일부터	4/SN+일/NNB+부터/JX
연식·사고이력·세부모델	연식/NNG+·/SP+사고/NNG+이력/NNG+·/SP+세부/NNG+모델/NNG
등	등/NNB
개인	개인/NNG
특성	특성/NNG
반영해	반영/NNG+하/XSV+아/EC
개편	개편/NNG


# id : NWRW1800000052.31.5.1
모바일 버전도 운영…외제차·LPG·구형차 서비스 불가 한계도

모바일	모바일/NNG
버전도	버전/NNG+도/JX
운영…외제차·LPG·구형차	운영/NNG+…/SE+외제/NNG+차/NNG+·/SP+LPG/SL+·/SP+구형/NNG+차/NNG
서비스	서비스/NNG
불가	불가/NNG
한계도	한계/NNG+도/JX


# id : NWRW1800000052.31.6.1
지난 4월 자동차보험 갱신을 앞두고 보험료를 조회하려 ‘보험다모아’ 사이트를 찾은 조아무개(39)씨는 고개를 갸우뚱 할 수밖에 없었다.

지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
자동차보험	자동차/NNG+보험/NNG
갱신을	갱신/NNG+을/JKO
앞두고	앞두/VV+고/EC
보험료를	보험료/NNG+를/JKO
조회하려	조회/NNG+하/XSV+려/EC
‘보험다모아’	‘/SS+보험다모아/NNP+’/SS
사이트를	사이트/NNG+를/JKO
찾은	찾/VV+은/ETM
조아무개(39)씨는	조/NNP+아무개/NP+(/SS+39/SN+)/SS+씨/NNB+는/JX
고개를	고개/NNG+를/JKO
갸우뚱	갸우뚱/MAG
할	하/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000052.31.6.2
차종 선택은 배기량 기준으로 5개 뿐인데다 가입 경력도 ‘최초 가입’과 ‘가입 경력 3년’ 등 두 가지가 전부였다.

차종	차종/NNG
선택은	선택/NNG+은/JX
배기량	배기량/NNG
기준으로	기준/NNG+으로/JKB
5개	5/SN+개/NNB
뿐인데다	뿐/JX+이/VCP+ㄴ/ETM+데/NNB+다/JX
가입	가입/NNG
경력도	경력/NNG+도/JX
‘최초	‘/SS+최초/NNG
가입’과	가입/NNG+’/SS+과/JC
‘가입	‘/SS+가입/NNG
경력	경력/NNG
3년’	3/SN+년/NNB+’/SS
등	등/NNB
두	두/MMN
가지가	가지/NNB+가/JKS
전부였다.	전부/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.31.6.3
사고 이력도 반영할 수 없었다.

사고	사고/NNG
이력도	이력/NNG+도/JX
반영할	반영/NNG+하/XSV+ㄹ/ETM
수	수/NNB
