# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.427
metadata : {}


# id : NWRW1800000024.427.1.1
‘해군기지 공유수면안’ 제주도의회 통과

‘해군기지	‘/SS+해군/NNG+기지/NNG
공유수면안’	공유/NNG+수면/NNG+안/NNG+’/SS
제주도의회	제주도의회/NNP
통과	통과/NNG


# id : NWRW1800000024.427.2.1
제주도의회가 해군기지 건설과 관련한 행정절차의 하나인 공유수면매립 기본계획안을 수립하는 데 동의했다.

제주도의회가	제주도의회/NNP+가/JKS
해군기지	해군/NNG+기지/NNG
건설과	건설/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
행정절차의	행정/NNG+절차/NNG+의/JKG
하나인	하나/NR+이/VCP+ㄴ/ETM
공유수면매립	공유/NNG+수면/NNG+매립/NNG
기본계획안을	기본/NNG+계획안/NNG+을/JKO
수립하는	수립/NNG+하/XSV+는/ETM
데	데/NNB
동의했다.	동의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.427.3.1
도의회는 16일 오후 열린 정례회에서 민주당 의원과 무소속 의원 등이 불참한 가운데 제주도가 제출한 ‘공유수면매립 기본계획에의 반영계획에 대한 의견 제시의 건’을 상정해 절대보전지역 해제 및 행정소송 우선 해결 등의 조건을 달고 재석의원 26명의 만장일치로 통과시켰다.

도의회는	도/NNG+의회/NNG+는/JX
16일	16/SN+일/NNB
오후	오후/NNG
열린	열리/VV+ㄴ/ETM
정례회에서	정례회/NNG+에서/JKB
민주당	민주당/NNP
의원과	의원/NNG+과/JC
무소속	무/XPN+소속/NNG
의원	의원/NNG
등이	등/NNB+이/JKS
불참한	불참/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
제주도가	제주도/NNP+가/JKS
제출한	제출/NNG+하/XSV+ㄴ/ETM
‘공유수면매립	‘/SS+공유/NNG+수면/NNG+매립/NNG
기본계획에의	기본/NNG+계획/NNG+에/JKB+의/JKG
반영계획에	반영/NNG+계획/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의견	의견/NNG
제시의	제시/NNG+의/JKG
건’을	건/NNG+’/SS+을/JKO
상정해	상정/NNG+하/XSV+아/EC
절대보전지역	절대/NNG+보전/NNG+지역/NNG
해제	해제/NNG
및	및/MAG
행정소송	행정/NNG+소송/NNG
우선	우선/MAG
해결	해결/NNG
등의	등/NNB+의/JKG
조건을	조건/NNG+을/JKO
달고	달/VV+고/EC
재석의원	재석/NNG+의원/NNG
26명의	26/SN+명/NNB+의/JKG
만장일치로	만장일치/NNG+로/JKB
통과시켰다.	통과/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.427.4.1
민주당 의원 9명과 무소속 의원 및 교육의원 등 15명은 “안건이 24시간 전에 보고돼야 한다는 의회규칙을 어기고 이날 오전 상정된 것은 문제가 있다”며 본회의에 불참했다.

민주당	민주당/NNP
의원	의원/NNG
9명과	9/SN+명/NNB+과/JC
무소속	무/XPN+소속/NNG
및	및/MAG
교육의원	교육/NNG+의원/NNG
등	등/NNB
15명은	15/SN+명/NNB+은/JX
“안건이	“/SS+안건/NNG+이/JKS
24시간	24/SN+시간/NNB
전에	전/NNG+에/JKB
보고돼야	보고/NNG+되/XSV+어야/EC
한다는	하/VX+ㄴ다는/ETM
의회규칙을	의회/NNG+규칙/NNG+을/JKO
어기고	어기/VV+고/EC
이날	이날/NNG
오전	오전/NNG
상정된	상정/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
문제가	문제/NNG+가/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
본회의에	본회의/NNG+에/JKB
불참했다.	불참/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.427.5.1
이에 앞서 도의회 농수축·지식산업위원회는 이날 오전 제주도가 제출한 공유수면매립 관련 의견제시의 건을 재심의해 절대보전지역 해제와 강정마을 주민들이 제기한 행정소송 결과를 본 뒤 공유수면매립 기본계획을 수립할 것 등 5가지 부대의견을 달아 통과시켰다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
도의회	도/NNG+의회/NNG
농수축·지식산업위원회는	농수축/NNG+·/SP+지식/NNG+산업/NNG+위원회/NNG+는/JX
이날	이날/NNG
오전	오전/NNG
제주도가	제주도/NNP+가/JKS
제출한	제출/NNG+하/XSV+ㄴ/ETM
공유수면매립	공유/NNG+수면/NNG+매립/NNG
관련	관련/NNG
의견제시의	의견/NNG+제시/NNG+의/JKG
건을	건/NNG+을/JKO
재심의해	재/XPN+심의/NNG+하/XSV+아/EC
절대보전지역	절대/NNG+보전/NNG+지역/NNG
해제와	해제/NNG+와/JC
강정마을	강정마을/NNP
주민들이	주민/NNG+들/XSN+이/JKS
제기한	제기/NNG+하/XSV+ㄴ/ETM
행정소송	행정/NNG+소송/NNG
결과를	결과/NNG+를/JKO
본	보/VV+ㄴ/ETM
뒤	뒤/NNG
기본계획을	기본/NNG+계획/NNG+을/JKO
수립할	수립/NNG+하/XSV+ㄹ/ETM
것	것/NNB
등	등/NNB
5가지	5/SN+가지/NNB
부대의견을	부대/NNG+의견/NNG+을/JKO
달아	달/VV+아/EC
통과시켰다.	통과/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.427.6.1
도의회는 공유수면매립 기본계획 수립에 앞서 절대보전지역 10만2000㎡를 해제하고, 1997년 유원지로 지정된 강정마을 일대 27만2700㎡에 대한 도시관리계획 결정 변경 등의 절차를 거치는 한편 지역주민들이 제기한 국방·군사시설사업 실시계획 승인처분 무효 확인 행정소송 등의 절차가 선행돼야 한다는 조건을 달았다.

도의회는	도/NNG+의회/NNG+는/JX
공유수면매립	공유/NNG+수면/NNG+매립/NNG
기본계획	기본/NNG+계획/NNG
수립에	수립/NNG+에/JKB
앞서	앞서/VV+어/EC
절대보전지역	절대/NNG+보전/NNG+지역/NNG
10만2000㎡를	10/SN+만/NR+2000/SN+㎡/SW+를/JKO
해제하고,	해제/NNG+하/XSV+고/EC+,/SP
1997년	1997/SN+년/NNB
유원지로	유원지/NNG+로/JKB
지정된	지정/NNG+되/XSV+ㄴ/ETM
강정마을	강정마을/NNP
일대	일대/NNG
