# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.368
metadata : {}


# id : NWRW1800000032.368.1.1
이명박-김정일 만남 전망은 /북, 정상회담 ‘떠보기’식 제안…말로만 끝날 가능성

이명박-김정일	이명박/NNP+-/SO+김정일/NNP
만남	만남/NNG
전망은	전망/NNG+은/JX
/북,	//SP+북/NNP+,/SP
정상회담	정상/NNG+회담/NNG
‘떠보기’식	‘/SS+떠보/VV+기/ETN+’/SS+식/NA
제안…말로만	제안/NNG+…/SE+말/NNG+로/JKB+만/JX
끝날	끝나/VV+ㄹ/ETM
가능성	가능/NNG+성/XSN


# id : NWRW1800000032.368.2.1
문서도 없이 구두 전달…관계개선 진정성 의구심

문서도	문서/NNG+도/JX
없이	없이/MAG
구두	구두/NNG
전달…관계개선	전달/NNG+…/SE+관계/NNG+개선/NNG
진정성	진정/NNG+성/XSN
의구심	의구심/NNG


# id : NWRW1800000032.368.3.1
조건없이 대화하자면서 천안함 사과 계속 거부

조건없이	조건/NNG+없이/MAG
대화하자면서	대화/NNG+하/XSV+자면서/EC
천안함	천안함/NNP
사과	사과/NNG
계속	계속/MAG
거부	거부/NNG


# id : NWRW1800000032.368.4.1
김정일 북한 국방위원장이 28일 방북을 마치고 서울에 도착한 지미 카터 전 대통령을 통해 “이명박 대통령과 언제든지 만나 모든 주제에 대해 논의할 준비가 돼 있다”는 메시지를 보내왔다.

김정일	김정일/NNP
북한	북한/NNP
국방위원장이	국방/NNG+위원장/NNG+이/JKS
28일	28/SN+일/NNB
방북을	방북/NNG+을/JKO
마치고	마치/VV+고/EC
서울에	서울/NNP+에/JKB
도착한	도착/NNG+하/XSV+ㄴ/ETM
지미	지미/NNP
카터	카터/NNP
전	전/MMD
대통령을	대통령/NNG+을/JKO
통해	통하/VV+아/EC
“이명박	“/SS+이명박/NNP
대통령과	대통령/NNG+과/JKB
언제든지	언제/NP+든지/JX
만나	만나/VV+아/EC
모든	모든/MMN
주제에	주제/NNG+에/JKB
대해	대하/VV+아/EC
논의할	논의/NNG+하/XSV+ㄹ/ETM
준비가	준비/NNG+가/JKC
돼	되/VV+어/EC
있다”는	있/VX+다/EF+”/SS+는/ETM
메시지를	메시지/NNG+를/JKO
보내왔다.	보내오/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.368.4.2
이용호 외무성 부상을 통해 친서로 보이는 서류를 읽어준 것이어서, 직접 얼굴을 맞대고 전달한 메시지는 아니지만, 사실상의 정상회담 제의다.

이용호	이용호/NNP
외무성	외무성/NNG
부상을	부상/NNG+을/JKO
통해	통하/VV+아/EC
친서로	친서/NNG+로/JKB
보이는	보이/VV+는/ETM
서류를	서류/NNG+를/JKO
읽어준	읽/VV+어/EC+주/VX+ㄴ/ETM
것이어서,	것/NNB+이/VCP+어서/EC+,/SP
직접	직접/MAG
얼굴을	얼굴/NNG+을/JKO
맞대고	맞대/VV+고/EC
전달한	전달/NNG+하/XSV+ㄴ/ETM
메시지는	메시지/NNG+는/JX
아니지만,	아니/VCN+지만/EC+,/SP
사실상의	사실/NNG+상/XSN+의/JKG
정상회담	정상/NNG+회담/NNG
제의다.	제의/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.368.5.1
그러나 정부 반응은 차갑다.

그러나	그러나/MAJ
정부	정부/NNG
반응은	반응/NNG+은/JX
차갑다.	차갑/VA+다/EF+./SF


# id : NWRW1800000032.368.5.2
진정성이 담긴 제의로 보기 어렵고, 그렇게 보지도 않는다는 것이다.

진정성이	진정/NNG+성/XSN+이/JKS
담긴	담기/VV+ㄴ/ETM
제의로	제의/NNG+로/JKB
보기	보/VV+기/ETN
어렵고,	어렵/VA+고/EC+,/SP
그렇게	그렇/VA+게/EC
보지도	보/VV+지/EC+도/JX
않는다는	않/VX+는다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.368.5.3
청와대 고위 당국자는 “일고의 가치도 없다”고 말했다.

청와대	청와대/NNP
고위	고위/NNG
당국자는	당국자/NNG+는/JX
“일고의	“/SS+일고/NNG+의/JKG
가치도	가치/NNG+도/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.368.6.1
정부 핵심 당국자는 “전혀 새로운 내용이 없다”며 “2년 전부터 해온 소리”라고 했다.

정부	정부/NNG
핵심	핵심/NNG
당국자는	당국자/NNG+는/JX
“전혀	“/SS+전혀/MAG
새로운	새롭/VA+ㄴ/ETM
내용이	내용/NNG+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
“2년	“/SS+2/SN+년/NNB
전부터	전/NNG+부터/JX
해온	하/VV+아/EC+오/VX+ㄴ/ETM
소리”라고	소리/NNG+”/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.368.6.2
남북은 2009년 하반기 임태희 당시 노동부 장관과 김양건 노동당 통일전선부장 사이에 남북정상회담을 협의한 바 있다.

남북은	남북/NNP+은/JX
2009년	2009/SN+년/NNB
하반기	하반기/NNG
임태희	임태희/NNP
당시	당시/NNG
노동부	노동부/NNG
장관과	장관/NNG+과/JC
김양건	김양건/NNP
노동당	노동당/NNP
통일전선부장	통일/NNG+전선부장/NNG
사이에	사이/NNG+에/JKB
남북정상회담을	남북/NNP+정상/NNG+회담/NNG+을/JKO
협의한	협의/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.368.6.3
당시 김 위원장은 김양건 부장을 통해 “이 대통령과 모든 문제를 논의할 수 있다”는 뜻을 전달한 것으로 알려졌다.

당시	당시/NNG
김	김/NNP
위원장은	위원장/NNG+은/JX
김양건	김양건/NNP
부장을	부장/NNG+을/JKO
통해	통하/VV+아/EC
“이	“/SS+이/NNP
대통령과	대통령/NNG+과/JC
모든	모든/MMN
문제를	문제/NNG+를/JKO
논의할	논의/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”는	있/VA+다/EF+”/SS+는/ETM
뜻을	뜻/NNG+을/JKO
전달한	전달/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.368.6.4
전달자가 김 부장에서 카터 전 대통령으로 달라진 점 외엔 김 위원장 메시지가 바뀐 게 없다는 얘기다.

전달자가	전달자/NNG+가/JKS
김	김/NNP
부장에서	부장/NNG+에서/JKB
카터	카터/NNP
전	전/MMD
대통령으로	대통령/NNG+으로/JKB
달라진	달라지/VV+ㄴ/ETM
점	점/NNG
외엔	외/NNB+에/JKB+ㄴ/JX
위원장	위원장/NNG
메시지가	메시지/NNG+가/JKS
바뀐	바뀌/VV+ㄴ/ETM
게	거/NNB+이/JKS
없다는	없/VA+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.368.7.1
반면에 그 뒤로 정부 태도는 더욱 완강해졌다.

반면에	반면/NNG+에/JKB
그	그/MMD
뒤로	뒤/NNG+로/JKB
정부	정부/NNG
태도는	태도/NNG+는/JX
더욱	더욱/MAG
완강해졌다.	완강하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000032.368.7.2
천안함·연평도 사건을 거치며 이에 대한 북한의 사과 등 책임있는 조처를 강하게 요구하고 있다.

천안함·연평도	천안함/NNP+·/SP+연평도/NNP
사건을	사건/NNG+을/JKO
거치며	거치/VV+며/EC
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
북한의	북한/NNP+의/JKG
사과	사과/NNG
등	등/NNB
책임있는	책임/NNG+있/VA+는/ETM
조처를	조처/NNG+를/JKO
강하게	강하/VA+게/EC
요구하고	요구/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.368.7.3
이 부분이 정리되지 않고선 정상회담은커녕 북한 핵문제를 다룰 6자회담으로 넘어갈 수도 없다는 태도다.

이	이/MMD
부분이	부분/NNG+이/JKS
정리되지	정리/NNG+되/XSV+지/EC
않고선	않/VX+고서/EC+ㄴ/JX
정상회담은커녕	정상/NNG+회담/NNG+은커녕/JX
북한	북한/NNP
핵문제를	핵/NNG+문제/NNG+를/JKO
다룰	다루/VV+ㄹ/ETM
6자회담으로	6/SN+자/NNB+회담/NNG+으로/JKB
넘어갈	넘어가/VV+ㄹ/ETM
수도	수/NNB+도/JX
없다는	없/VA+다는/ETM
태도다.	태도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.368.8.1
김 위원장의 이번 메시지에 천안함·연평도 사건에 대한 직접적인 언급은 없었다.

김	김/NNP
위원장의	위원장/NNG+의/JKG
이번	이번/NNG
메시지에	메시지/NNG+에/JKB
천안함·연평도	천안함/NNP+·/SP+연평도/NNP
사건에	사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
언급은	언급/NNG+은/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000032.368.8.2
카터 전 대통령과 함께 방북했던 메리 로빈슨 전 아일랜드 대통령은 “김 위원장의 메시지는 정상회담 제안뿐 아니라 모든 사항에 대해 사전 조건 없이 대화할 용의가 있다는 것이었다”고 말했다.

카터	카터/NNP
전	전/MMD
대통령과	대통령/NNG+과/JKB
함께	함께/MAG
방북했던	방북/NNG+하/XSV+았/EP+던/ETM
메리	메리/NNP
로빈슨	로빈슨/NNP
아일랜드	아일랜드/NNP
대통령은	대통령/NNG+은/JX
“김	“/SS+김/NNP
위원장의	위원장/NNG+의/JKG
메시지는	메시지/NNG+는/JX
정상회담	정상/NNG+회담/NNG
제안뿐	제안/NNG+뿐/JX
아니라	아니/VCN+라/EC
모든	모든/MMN
사항에	사항/NNG+에/JKB
대해	대하/VV+아/EC
사전	사전/NNG
조건	조건/NNG
없이	없이/MAG
대화할	대화/NNG+하/XSV+ㄹ/ETM
용의가	용의/NNG+가/JKS
있다는	있/VA+다는/ETM
것이었다”고	것/NNB+이/VCP+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.368.8.3
사전 조건이 없다는 건 남쪽 또한 천안함·연평도 사과라는 전제를 미리 달지 말고 정상끼리 만나서 천안함 사건이고 연평도 사건이고 같이 논의하자는 뜻으로도 해석될 수 있다.

사전	사전/NNG
조건이	조건/NNG+이/JKS
없다는	없/VA+다는/ETM
건	거/NNB+ㄴ/JX
남쪽	남쪽/NNG
또한	또한/MAG
천안함·연평도	천안함/NNP+·/SP+연평도/NNP
사과라는	사과/NNG+이/VCP+라는/ETM
전제를	전제/NNG+를/JKO
미리	미리/MAG
달지	달/VV+지/EC
말고	말/VX+고/EC
정상끼리	정상/NNG+끼리/XSN
만나서	만나/VV+아서/EC
천안함	천안함/NNP
사건이고	사건/NNG+이/VCP+고/EC
연평도	연평도/NNP
같이	같이/MAG
논의하자는	논의/NNG+하/XSV+자는/ETM
뜻으로도	뜻/NNG+으로/JKB+도/JX
해석될	해석/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.368.8.4
정부 당국자는 “상황은 달라졌는데 북한은 아무 일도 없는 듯이 넘어가자며 예전과 똑같은 소리를 하고 있다”고 말했다.

정부	정부/NNG
당국자는	당국자/NNG+는/JX
“상황은	“/SS+상황/NNG+은/JX
달라졌는데	달라지/VV+었/EP+는데/EC
북한은	북한/NNP+은/JX
아무	아무/MMD
일도	일/NNG+도/JX
없는	없/VA+는/ETM
듯이	듯이/NNB
넘어가자며	넘어가/VV+자며/EC
예전과	예전/NNG+과/JKB
똑같은	똑같/VA+은/ETM
소리를	소리/NNG+를/JKO
하고	하/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.368.9.1
정부의 이런 태도는 이미 예고된 바 있다.

정부의	정부/NNG+의/JKG
이런	이런/MMD
태도는	태도/NNG+는/JX
이미	이미/MAG
예고된	예고/NNG+되/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.368.9.2
김성환 외교통상부 장관은 26일 카터 전 대통령 방북 직후 이뤄진 브리핑에서 “북한과 우리가 제3자를 통해 얘기해야 될 이유가 없다”고 말했다.

김성환	김성환/NNP
외교통상부	외교/NNG+통상부/NNG
장관은	장관/NNG+은/JX
26일	26/SN+일/NNB
카터	카터/NNP
전	전/MMD
대통령	대통령/NNG
방북	방북/NNG
직후	직후/NNG
이뤄진	이뤄지/VV+ㄴ/ETM
브리핑에서	브리핑/NNG+에서/JKB
“북한과	“/SS+북한/NNP+과/JC
우리가	우리/NP+가/JKS
제3자를	제3자/NNG+를/JKO
통해	통하/VV+아/EC
얘기해야	얘기/NNG+하/XSV+아야/EC
될	되/VV+ㄹ/ETM
이유가	이유/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.368.9.3
카터 전 대통령을 통한 북한의 간접적인 남북대화 제의를 공식 제의로 인정하지 않을 뜻임을 분명히 한 것이다.

카터	카터/NNP
전	전/MMD
대통령을	대통령/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
북한의	북한/NNP+의/JKG
간접적인	간접/NNG+적/XSN+이/VCP+ㄴ/ETM
남북대화	남북/NNP+대화/NNG
제의를	제의/NNG+를/JKO
공식	공식/NNG
제의로	제의/NNG+로/JKB
인정하지	인정/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
뜻임을	뜻/NNG+이/VCP+ㅁ/ETN+을/JKO
분명히	분명히/MAG
한	하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.368.10.1
북한의 메시지 전달 방식 또한 진지한 정상회담 제의로 받아들이기엔 문제투성이라는 지적도 나온다.

북한의	북한/NNP+의/JKG
메시지	메시지/NNG
전달	전달/NNG
방식	방식/NNG
또한	또한/MAG
진지한	진지하/VA+ㄴ/ETM
정상회담	정상/NNG+회담/NNG
제의로	제의/NNG+로/JKB
받아들이기엔	받아들이/VV+기/ETN+에/JKB+ㄴ/JX
문제투성이라는	문제/NNG+투성이/XSN+이/VCP+라는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.368.10.2
전직 국가수반을 4명이나 초청하고도 김 위원장의 직접 면담 대신 길을 떠난 이들을 다시 불러들인 뒤 서한을 읽어주는 결례를 저질러 스스로 메시지의 격을 떨어뜨렸다는 것이다.

전직	전직/NNG
국가수반을	국가수반/NNG+을/JKO
4명이나	4/SN+명/NNB+이나/JX
초청하고도	초청/NNG+하/XSV+고/EC+도/JX
김	김/NNP
위원장의	위원장/NNG+의/JKG
직접	직접/NNG
면담	면담/NNG
대신	대신/NNG
길을	길/NNG+을/JKO
