# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.295
metadata : {}


# id : NWRW1800000038.295.1.1
[최재천의 자연과 문화] (216) 압구정 벌레

[최재천의	[/SS+최재천/NNP+의/JKG
자연과	자연/NNG+과/JC
문화]	문화/NNG+]/SS
(216)	(/SS+216/SN+)/SS
압구정	압구정/NNP
벌레	벌레/NNG


# id : NWRW1800000038.295.2.1
나는 요즘 몹시 황망하다.

나는	나/NP+는/JX
요즘	요즘/NNG
몹시	몹시/MAG
황망하다.	황망/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000038.295.2.2
압구정동 번화가에 밤마다 동양하루살이가 떼로 날아들어 시민들이 고통을 호소한단다.

압구정동	압구정동/NNP
번화가에	번화가/NNG+에/JKB
밤마다	밤/NNG+마다/JX
동양하루살이가	동양/NNG+하루살이/NNG+가/JKS
떼로	떼/NNG+로/JKB
날아들어	날아들/VV+어/EC
시민들이	시민/NNG+들/XSN+이/JKS
고통을	고통/NNG+을/JKO
호소한단다.	호소/NNG+하/XSV+ㄴ단다/EF+./SF


# id : NWRW1800000038.295.2.3
다짜고짜 "박멸해야 할 해충"으로 낙인을 찍는 것은 물론, "혐오스러운 생김새에 보기만 해도 끔찍하다"며 몸에 달라붙자 비명을 지르며 울음을 터뜨린 여성도 있단다.

다짜고짜	다짜고짜/MAG
"박멸해야	"/SS+박멸/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
해충"으로	해충/NNG+"/SS+으로/JKB
낙인을	낙인/NNG+을/JKO
찍는	찍/VV+는/ETM
것은	것/NNB+은/JX
물론,	물론/MAG+,/SP
"혐오스러운	"/SS+혐오/NNG+스럽/XSA+ㄴ/ETM
생김새에	생김새/NNG+에/JKB
보기만	보/VV+기/ETN+만/JX
해도	하/VX+아도/EC
끔찍하다"며	끔찍하/VA+다/EF+"/SS+며/EC
몸에	몸/NNG+에/JKB
달라붙자	달라붙/VV+자/EC
비명을	비명/NNG+을/JKO
지르며	지르/VV+며/EC
울음을	울음/NNG+을/JKO
터뜨린	터뜨리/VV+ㄴ/ETM
여성도	여성/NNG+도/JX
있단다.	있/VA+단다/EF+./SF


# id : NWRW1800000038.295.2.4
