# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.1
metadata : {}


# id : NWRW1800000041.1.1.1
[김지현 기자의 2014 CES 현장]두근두근 家電 비밀병기… 올해의 주인공도 삼성-LG

[김지현	[/SS+김지현/NNP
기자의	기자/NNG+의/JKG
2014	2014/SN
CES	CES/SL
현장]두근두근	현장/NNG+]/SS+두근두근/MAG
家電	家電/SH
비밀병기…	비밀/NNG+병기/NNG+…/SE
올해의	올해/NNG+의/JKG
주인공도	주인공/NNG+도/JX
삼성-LG	삼성/NNP+-/SO+LG/SL


# id : NWRW1800000041.1.2.1
150개국 3200여개 업체 참가… 8일 美 라스베이거스서 개막 삼성 ‘커브드 TV’-LG ‘웹 OS TV’… 모바일 기기 연동 스마트카 관심

150개국	150/SN+개국/NNB
3200여개	3200/SN+여/XSN+개/NNB
업체	업체/NNG
참가…	참가/NNG+…/SE
8일	8/SN+일/NNB
美	美/SH
라스베이거스서	라스베이거스/NNP+서/JKB
개막	개막/NNG
삼성	삼성/NNP
‘커브드	‘/SS+커브드/NNG
TV’-LG	TV/SL+’/SS+-/SO+LG/SL
‘웹	‘/SS+웹/NNG
OS	OS/SL
TV’…	TV/SL+’/SS+…/SE
모바일	모바일/NNG
기기	기기/NNG
연동	연동/NNG
스마트카	스마트카/NNG
관심	관심/NNG


# id : NWRW1800000041.1.3.1
7일(현지 시간) 미국 라스베이거스에서 공식 개막하는 소비자 가전전시회(CES)의 삼성전자 전시관에서 모델들이 ‘커브드 초고화질(UHD) TV’를 소개하고 있다(위쪽 사진).

7일(현지	7/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
미국	미국/NNP
라스베이거스에서	라스베이거스/NNP+에서/JKB
공식	공식/NNG
개막하는	개막/NNG+하/XSV+는/ETM
소비자	소비자/NNG
가전전시회(CES)의	가전/NNG+전시회/NNG+(/SS+CES/SL+)/SS+의/JKG
삼성전자	삼성전자/NNP
전시관에서	전시관/NNG+에서/JKB
