# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.227
metadata : {}


# id : NWRW1800000041.227.1.1
“문희상, 조양호 회장에 2004년 처남 취업 청탁”

“문희상,	“/SS+문희상/NNP+,/SP
조양호	조양호/NNP
회장에	회장/NNG+에/JKB
2004년	2004/SN+년/NNB
처남	처남/NNG
취업	취업/NNG
청탁”	청탁/NNG+”/SS


# id : NWRW1800000041.227.2.1
처남 ‘文상대 손배소’ 판결서 드러나 재판부 “한진이 세운 美 회사서 8년간 일 안하고도 8억원 받아” 文 “사적으로 부탁한 적 없다”

처남	처남/NNG
‘文상대	‘/SS+文/SH+상대/NNG
손배소’	손배소/NNG+’/SS
판결서	판결/NNG+서/JKB
드러나	드러나/VV+아/EC
재판부	재판부/NNG
“한진이	“/SS+한진/NNP+이/JKS
세운	세우/VV+ㄴ/ETM
美	美/SH
회사서	회사/NNG+서/JKB
8년간	8/SN+년/NNB+간/XSN
일	일/NNG
안하고도	안/MAG+하/VV+고/EC+도/JX
8억원	8/SN+억/NR+원/NNB
받아”	받/VV+아/EF+”/SS
文	文/SH
“사적으로	“/SS+사/NNG+적/XSN+으로/JKB
부탁한	부탁/NNG+하/XSV+ㄴ/ETM
적	적/NNB
없다”	없/VA+다/EF+”/SS


# id : NWRW1800000041.227.3.1
문희상 새정치민주연합 비상대책위원장(사진)이 10년 전 조양호 대한항공 회장에게 처남의 취업을 부탁했다는 것이 재판 과정에서 사실로 인정됐다.

문희상	문희상/NNP
새정치민주연합	새정치민주연합/NNP
비상대책위원장(사진)이	비상/NNG+대책/NNG+위원장/NNG+(/SS+사진/NNG+)/SS+이/JKS
10년	10/SN+년/NNB
전	전/NNG
조양호	조양호/NNP
대한항공	대한항공/NNP
회장에게	회장/NNG+에게/JKB
처남의	처남/NNG+의/JKG
취업을	취업/NNG+을/JKO
부탁했다는	부탁/NNG+하/XSV+았/EP+다는/ETM
것이	것/NNB+이/JKS
재판	재판/NNG
과정에서	과정/NNG+에서/JKB
사실로	사실/NNG+로/JKB
인정됐다.	인정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.227.3.2
그러나 문 위원장은 이를 부인했다.

그러나	그러나/MAJ
문	문/NNP
위원장은	위원장/NNG+은/JX
이를	이/NP+를/JKO
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.227.4.1
서울중앙지법 민사합의35부(부장판사 이성구)는 문 위원장의 처남 김모 씨가 문 위원장과 부인 A 씨를 상대로 낸 12억 원대 손해배상 청구소송에서 “A 씨는 김 씨에게 2억8800만 원을 지급하라”며 원고 일부승소 판결했다고 16일 밝혔다.

서울중앙지법	서울중앙지법/NNP
민사합의35부(부장판사	민사/NNG+합의/NNG+35/SN+부/NNG+(/SS+부장/NNG+판사/NNG
이성구)는	이성구/NNP+)/SS+는/JX
문	문/NNP
위원장의	위원장/NNG+의/JKG
처남	처남/NNG
김모	김/NNP+모/NP
씨가	씨/NNB+가/JKS
위원장과	위원장/NNG+과/JC
