# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.359
metadata : {}


# id : NWRW1800000040.359.1.1
청 ‘국가안보실’ 신설, 정책실·기획관 폐지

청	청/NNP
‘국가안보실’	‘/SS+국가/NNG+안보실/NNG+’/SS
신설,	신설/NNG+,/SP
정책실·기획관	정책실/NNG+·/SP+기획관/NNG
폐지	폐지/NNG


# id : NWRW1800000040.359.2.1
비서실장 아래 인사위 설치키로

비서실장	비서실장/NNG
아래	아래/NNG
인사위	인사위/NNG
설치키로	설치/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000040.359.3.1
제18대 대통령직인수위원회는 21일 청와대 정책실을 없애는 대신 국가안보실을 신설해 현행과 같은 ‘2실 9수석 체제’의 청와대 조직개편안을 발표했다.

제18대	제/XPN+18/SN+대/NNB
대통령직인수위원회는	대통령직/NNG+인수/NNG+위원회/NNG+는/JX
21일	21/SN+일/NNB
청와대	청와대/NNP
정책실을	정책실/NNG+을/JKO
없애는	없애/VV+는/ETM
대신	대신/NNG
국가안보실을	국가/NNG+안보실/NNG+을/JKO
신설해	신설/NNG+하/XSV+아/EC
현행과	현행/NNG+과/JKB
같은	같/VA+은/ETM
‘2실	‘/SS+2/SN+실/NNB
9수석	9/SN+수석/NNG
체제’의	체제/NNG+’/SS+의/JKG
조직개편안을	조직/NNG+개편안/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.359.4.1
개편안을 보면, 현행 대통령실과 정책실로 나뉘어 있던 대통령 보좌 기구는 대통령비서실(장관급)로 일원화되며 그 아래에 정무, 민정, 홍보, 국정기획, 경제, 미래전략, 교육문화, 고용복지, 외교안보 등 9개 수석이 위치한다.

개편안을	개편안/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
현행	현행/NNG
대통령실과	대통령실/NNG+과/JC
정책실로	정책실/NNG+로/JKB
나뉘어	나뉘/VV+어/EC
있던	있/VX+던/ETM
대통령	대통령/NNG
보좌	보좌/NNG
기구는	기구/NNG+는/JX
대통령비서실(장관급)로	대통령/NNG+비서실/NNG+(/SS+장관급/NNG+)/SS+로/JKB
일원화되며	일원/NNG+화/XSN+되/XSV+며/EC
그	그/MMD
아래에	아래/NNG+에/JKB
정무,	정무/NNG+,/SP
민정,	민정/NNG+,/SP
홍보,	홍보/NNG+,/SP
국정기획,	국정/NNG+기획/NNG+,/SP
경제,	경제/NNG+,/SP
미래전략,	미래/NNG+전략/NNG+,/SP
교육문화,	교육/NNG+문화/NNG+,/SP
고용복지,	고용/NNG+복지/NNG+,/SP
외교안보	외교/NNG+안보/NNG
등	등/NNB
9개	9/SN+개/NNB
수석이	수석/NNG+이/JKS
위치한다.	위치/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.359.4.2
현재 9개의 수석 가운데 사회통합과 국가위기관리실 등 2개의 수석을 폐지하는 대신, 국정기획과 미래전략 등 두 수석을 신설한다.

현재	현재/MAG
9개의	9/SN+개/NNB+의/JKG
수석	수석/NNG
가운데	가운데/NNG
사회통합과	사회/NNG+통합/NNG+과/JC
국가위기관리실	국가/NNG+위기/NNG+관리실/NNG
등	등/NNB
2개의	2/SN+개/NNB+의/JKG
수석을	수석/NNG+을/JKO
폐지하는	폐지/NNG+하/XSV+는/ETM
대신,	대신/NNG+,/SP
국정기획과	국정/NNG+기획/NNG+과/JC
미래전략	미래/NNG+전략/NNG
두	두/MMN
신설한다.	신설/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.359.4.3
국정기획 수석은 대통령의 국정 어젠다를 관리하며, 미래전략 수석은 미래 성장동력을 찾고 기후변화에 선제 대응하는 기능을 맡는다.

국정기획	국정/NNG+기획/NNG
수석은	수석/NNG+은/JX
대통령의	대통령/NNG+의/JKG
국정	국정/NNG
어젠다를	어젠다/NNG+를/JKO
관리하며,	관리/NNG+하/XSV+며/EC+,/SP
미래전략	미래/NNG+전략/NNG
미래	미래/NNG
성장동력을	성장/NNG+동력/NNG+을/JKO
찾고	찾/VV+고/EC
기후변화에	기후/NNG+변화/NNG+에/JKB
선제	선제/NNG
대응하는	대응/NNG+하/XSV+는/ETM
기능을	기능/NNG+을/JKO
맡는다.	맡/VV+는다/EF+./SF


# id : NWRW1800000040.359.5.1
인사기획관과 총무기획관 등 6개 기획관은 모두 폐지된다.

인사기획관과	인사/NNG+기획관/NNG+과/JC
총무기획관	총무/NNG+기획관/NNG
등	등/NNB
6개	6/SN+개/NNB
기획관은	기획관/NNG+은/JX
모두	모두/MAG
폐지된다.	폐지/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.359.5.2
45명 수준인 비서관(1급) 자리도 34명으로 축소된다.

45명	45/SN+명/NNB
수준인	수준/NNG+이/VCP+ㄴ/ETM
비서관(1급)	비서관/NNG+(/SS+1/SN+급/NNG+)/SS
자리도	자리/NNG+도/JX
34명으로	34/SN+명/NNB+으로/JKB
축소된다.	축소/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.359.5.3
이에 따라 청와대 전체 보좌 인력 규모도 현재보다 다소 줄어들 것으로 보인다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
청와대	청와대/NNP
전체	전체/NNG
보좌	보좌/NNG
인력	인력/NNG
규모도	규모/NNG+도/JX
현재보다	현재/NNG+보다/JKB
다소	다소/MAG
줄어들	줄어들/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.359.6.1
국가안보실은 노무현 정부의 국가안전보장회의(NSC) 사무처와 비슷한 기능을 하게 될 것으로 보인다.

국가안보실은	국가/NNG+안보실/NNG+은/JX
노무현	노무현/NNP
정부의	정부/NNG+의/JKG
국가안전보장회의(NSC)	국가안전보장회의/NNP+(/SS+NSC/SL+)/SS
사무처와	사무처/NNG+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
기능을	기능/NNG+을/JKO
하게	하/VV+게/EC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.359.6.2
유민봉 인수위 국정기획조정분과 간사는 브리핑에서 “외교안보 수석은 담당 부처의 현안 문제를 다루게 되는 반면에 국가안보실은 장기적인 안보 전략 수립과 종합적인 정보분석, 통합 대처 등 전략적인 업무를 할 것”이라고 밝혔다.

유민봉	유민봉/NNP
인수위	인수위/NNG
국정기획조정분과	국정/NNG+기획/NNG+조정/NNG+분과/NNG
간사는	간사/NNG+는/JX
브리핑에서	브리핑/NNG+에서/JKB
“외교안보	“/SS+외교/NNG+안보/NNG
수석은	수석/NNG+은/JX
담당	담당/NNG
부처의	부처/NNG+의/JKG
현안	현안/NNG
문제를	문제/NNG+를/JKO
다루게	다루/VV+게/EC
되는	되/VV+는/ETM
반면에	반면/NNG+에/JKB
국가안보실은	국가/NNG+안보실/NNG+은/JX
장기적인	장기/NNG+적/XSN+이/VCP+ㄴ/ETM
안보	안보/NNG
전략	전략/NNG
수립과	수립/NNG+과/JC
종합적인	종합/NNG+적/XSN+이/VCP+ㄴ/ETM
정보분석,	정보/NNG+분석/NNG+,/SP
통합	통합/NNG
대처	대처/NNG
등	등/NNB
전략적인	전략/NNG+적/XSN+이/VCP+ㄴ/ETM
업무를	업무/NNG+를/JKO
할	하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.359.7.1
인수위는 또 대통령이 임명하는 인사의 공정성을 확보하기 위해 비서실장을 위원장으로 하는 인사위원회를 청와대에 설치하기로 했다.

인수위는	인수위/NNG+는/JX
또	또/MAG
대통령이	대통령/NNG+이/JKS
임명하는	임명/NNG+하/XSV+는/ETM
인사의	인사/NNG+의/JKG
공정성을	공정/NNG+성/XSN+을/JKO
확보하기	확보/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
비서실장을	비서실장/NNG+을/JKO
위원장으로	위원장/NNG+으로/JKB
하는	하/VV+는/ETM
인사위원회를	인사/NNG+위원회/NNG+를/JKO
청와대에	청와대/NNP+에/JKB
설치하기로	설치/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


