# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.51
metadata : {}


# id : NWRW1800000026.51.1.1
[여기는 밴쿠버] 개막리허설 참가 6만명에 "입다물라"… 色의 향연 기대

[여기는	[/SS+여기/NP+는/JX
밴쿠버]	밴쿠버/NNP+]/SS
개막리허설	개막/NNG+리허설/NNG
참가	참가/NNG
6만명에	6/SN+만/NR+명/NNB+에/JKB
"입다물라"…	"/SS+입/NNG+다물/VV+라/EF+"/SS+…/SE
色의	色/SH+의/JKG
향연	향연/NNG
기대	기대/NNG


# id : NWRW1800000026.51.2.1
제21회 캐나다 밴쿠버 동계올림픽의 개막식은 그동안 철저히 비밀에 부쳐졌다.

제21회	제/XPN+21/SN+회/NNB
캐나다	캐나다/NNP
밴쿠버	밴쿠버/NNP
동계올림픽의	동계/NNG+올림픽/NNG+의/JKG
개막식은	개막식/NNG+은/JX
그동안	그동안/NNG
철저히	철저히/MAG
비밀에	비밀/NNG+에/JKB
부쳐졌다.	부치/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.51.2.2
2006 토리노 동계올림픽의 경우 개막식 전날 '시나리오'를 설명하는 책자가 나왔는데, 이번은 행사 직전까지 조직위측이 보안에 애를 쓰고 있다.

2006	2006/SN
토리노	토리노/NNP
동계올림픽의	동계/NNG+올림픽/NNG+의/JKG
경우	경우/NNG
개막식	개막식/NNG
전날	전날/NNG
'시나리오'를	'/SS+시나리오/NNG+'/SS+를/JKO
설명하는	설명/NNG+하/XSV+는/ETM
책자가	책자/NNG+가/JKS
나왔는데,	나오/VV+았/EP+는데/EC+,/SP
이번은	이번/NNG+은/JX
행사	행사/NNG
직전까지	직전/NNG+까지/JX
조직위측이	조직위/NNG+측/NNB+이/JKS
보안에	보안/NNG+에/JKB
애를	애/NNG+를/JKO
쓰고	쓰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.51.2.3
조직위측은 사상 처음으로 실내에서 열리는 2010 동계올림픽 개막식(밴쿠버 BC 플레이스·한국시각 13일 오전 11시)을 전 세계 수십억 명이 시청할 것으로 기대하고 있다.

조직위측은	조직위/NNG+측/NNB+은/JX
사상	사상/NNG
처음으로	처음/NNG+으로/JKB
실내에서	실내/NNG+에서/JKB
열리는	열리/VV+는/ETM
2010	2010/SN
