# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.358
metadata : {}


# id : NWRW1800000046.358.1.1
朴대통령 만난 반기문 "訪北 다시 추진하겠다"

朴대통령	朴/SH+대통령/NNG
만난	만나/VV+ㄴ/ETM
반기문	반기문/NNP
"訪北	"/SS+訪北/SH
다시	다시/MAG
추진하겠다"	추진/NNG+하/XSV+겠/EP+다/EF+"/SS


# id : NWRW1800000046.358.2.1
北미사일엔 단호… 민간 교류는 지원…

北미사일엔	北/SH+미사일/NNG+에/JKB+ㄴ/JX
단호…	단호/XR+…/SE
민간	민간/NNG
교류는	교류/NNG+는/JX
지원…	지원/NNG+…/SE


# id : NWRW1800000046.358.3.1
박근혜 대통령은 20일 오후 청와대에서 세계교육포럼 참석차 방한한 반기문 유엔 사무총장을 접견했다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
20일	20/SN+일/NNB
오후	오후/NNG
청와대에서	청와대/NNP+에서/JKB
세계교육포럼	세계/NNG+교육/NNG+포럼/NNG
참석차	참석차/NNG
방한한	방한/NNG+하/XSV+ㄴ/ETM
반기문	반기문/NNP
유엔	유엔/NNP
사무총장을	사무총장/NNG+을/JKO
접견했다.	접견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.358.3.2
반 총장이 방한해 박 대통령을 만난 것은 2013년 8월 이후 1년 9개월 만이다.

반	반/NNP
총장이	총장/NNG+이/JKS
방한해	방한/NNG+하/XSV+아/EC
박	박/NNP
대통령을	대통령/NNG+을/JKO
만난	만나/VV+ㄴ/ETM
것은	것/NNB+은/JX
2013년	2013/SN+년/NNB
8월	8/SN+월/NNB
이후	이후/NNG
1년	1/SN+년/NNB
9개월	9/SN+개월/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.358.4.1
반 총장은 접견 자리에서 "이번에 북한과의 오랜 협의 끝에 5월 21일 개성 방문을 추진해 왔으나 북한이 오늘 돌연 입장을 번복해 방북 허가를 철회했다"며 "북한이 과거에도 입장을 번복한 사례가 많이 있지만 유엔에 대해서는 유례가 없는 일이다.

반	반/NNP
총장은	총장/NNG+은/JX
접견	접견/NNG
자리에서	자리/NNG+에서/JKB
"이번에	"/SS+이번/NNG+에/JKB
북한과의	북한/NNP+과/JKB+의/JKG
오랜	오랜/MMA
협의	협의/NNG
끝에	끝/NNG+에/JKB
5월	5/SN+월/NNB
21일	21/SN+일/NNB
개성	개성/NNP
방문을	방문/NNG+을/JKO
추진해	추진/NNG+하/XSV+아/EC
왔으나	오/VX+았/EP+으나/EC
북한이	북한/NNP+이/JKS
오늘	오늘/NNG
돌연	돌연/MAG
입장을	입장/NNG+을/JKO
번복해	번복/NNG+하/XSV+아/EC
방북	방북/NNG
허가를	허가/NNG+를/JKO
철회했다"며	철회/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"북한이	"/SS+북한/NNP+이/JKS
과거에도	과거/NNG+에/JKB+도/JX
번복한	번복/NNG+하/XSV+ㄴ/ETM
사례가	사례/NNG+가/JKS
많이	많이/MAG
있지만	있/VA+지만/EC
유엔에	유엔/NNP+에/JKB
