# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.153
metadata : {}


# id : NWRW1800000037.153.1.1
[글로벌 북 카페]전 아사히신문 주필의 ‘신문기자 현대사를 기록하다’

[글로벌	[/SS+글로벌/NNG
북	북/NNG
카페]전	카페/NNG+]/SS+전/MMD
아사히신문	아사히신문/NNP
주필의	주필/NNG+의/JKG
‘신문기자	‘/SS+신문/NNG+기자/NNG
현대사를	현대사/NNG+를/JKO
기록하다’	기록/NNG+하/XSV+다/EF+’/SS


# id : NWRW1800000037.153.2.1
日언론인 40년 취재현장 보고서 독도문제 등 한일관계 생생히 담아

日언론인	日/SH+언론인/NNG
40년	40/SN+년/NNB
취재현장	취재/NNG+현장/NNG
보고서	보고서/NNG
독도문제	독도/NNP+문제/NNG
등	등/NNB
한일관계	한일/NNP+관계/NNG
생생히	생생히/MAG
담아	담/VV+아/EF


# id : NWRW1800000037.153.3.1
일본의 대표적인 지한파 언론인인 와카미야 요시부미(若宮啓文·65) 전 아사히신문 주필이 그의 경험을 담아 책을 펴냈다.

일본의	일본/NNP+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
지한파	지한파/NNG
언론인인	언론인/NNG+이/VCP+ㄴ/ETM
와카미야	와카미야/NNP
요시부미(若宮啓文·65)	요시부미/NNP+(/SS+若宮啓文/SH+·/SP+65/SN+)/SS
전	전/MMD
아사히신문	아사히신문/NNP
주필이	주필/NNG+이/JKS
그의	그/NP+의/JKG
경험을	경험/NNG+을/JKO
담아	담/VV+아/EC
책을	책/NNG+을/JKO
펴냈다.	펴내/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.153.3.2
‘신문기자 현대사를 기록하다.’

‘신문기자	‘/SS+신문/NNG+기자/NNG
현대사를	현대사/NNG+를/JKO
기록하다.’	기록/NNG+하/XSV+다/EF+./SF+’/SS


# id : NWRW1800000037.153.3.3
40년 넘게 기자 생활을 하며 현장에서 보고 느낀 점을 수록했다.

40년	40/SN+년/NNB
넘게	넘/VV+게/EC
기자	기자/NNG
생활을	생활/NNG+을/JKO
하며	하/VV+며/EC
현장에서	현장/NNG+에서/JKB
보고	보/VV+고/EC
느낀	느끼/VV+ㄴ/ETM
점을	점/NNG+을/JKO
수록했다.	수록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.153.4.1
그는 책 서문을 적군파 사건으로 시작한다.

그는	그/NP+는/JX
책	책/NNG
서문을	서문/NNG+을/JKO
적군파	적군파/NNP
사건으로	사건/NNG+으로/JKB
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.153.4.2
1970년 3월 31일 도쿄 하네다공항에서 이륙해 후쿠오카로 향하던 일본항공 여객기 요도호가 적군파라는 이름의 일본 과격파 무리에게 탈취돼 평양행을 강요당했다.

1970년	1970/SN+년/NNB
3월	3/SN+월/NNB
31일	31/SN+일/NNB
도쿄	도쿄/NNP
하네다공항에서	하네다공항/NNP+에서/JKB
이륙해	이륙/NNG+하/XSV+아/EC
후쿠오카로	후쿠오카/NNP+로/JKB
향하던	향하/VV+던/ETM
일본항공	일본항공/NNP
여객기	여객기/NNG
요도호가	요도호/NNP+가/JKS
적군파라는	적군파/NNP+이/VCP+라는/ETM
이름의	이름/NNG+의/JKG
일본	일본/NNP
과격파	과격파/NNG
무리에게	무리/NNG+에게/JKB
탈취돼	탈취/NNG+되/XSV+어/EC
평양행을	평양행/NNG+을/JKO
강요당했다.	강요/NNG+당하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.153.4.3
일본에서 벌어진 첫 비행기 납치 사건이었다.

일본에서	일본/NNP+에서/JKB
벌어진	벌어지/VV+ㄴ/ETM
첫	첫/MMN
비행기	비행기/NNG
납치	납치/NNG
사건이었다.	사건/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.153.5.1
다음 날인 4월 1일 저자는 아사히신문 도쿄 본사 입사식에 참석했다.

다음	다음/NNG
날인	날/NNG+이/VCP+ㄴ/ETM
4월	4/SN+월/NNB
1일	1/SN+일/NNB
저자는	저자/NNG+는/JX
아사히신문	아사히신문/NNP
도쿄	도쿄/NNP
본사	본사/NNG
입사식에	입사식/NNG+에/JKB
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.153.5.2
그는 “기자로서 출발한 날에 도쿄, 서울, 평양을 잇는 대형 사건이 일어난 것은 나에게 있어 어떤 암시였는지 모르겠다”고 말했다.

그는	그/NP+는/JX
“기자로서	“/SS+기자/NNG+로서/JKB
출발한	출발/NNG+하/XSV+ㄴ/ETM
날에	날/NNG+에/JKB
도쿄,	도쿄/NNP+,/SP
서울,	서울/NNP+,/SP
평양을	평양/NNP+을/JKO
잇는	잇/VV+는/ETM
대형	대형/NNG
사건이	사건/NNG+이/JKS
일어난	일어나/VV+ㄴ/ETM
것은	것/NNB+은/JX
나에게	나/NP+에게/JKB
있어	있/VA+어/EC
어떤	어떤/MMD
암시였는지	암시/NNG+이/VCP+었/EP+는지/EF
모르겠다”고	모르/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.153.5.3
그래서였을까.

그래서였을까.	그래서/MAJ+이/VCP+었/EP+을까/EF+./SF


# id : NWRW1800000037.153.5.4
그는 기자 생활을 하며 한국과 깊은 인연을 맺었다.

그는	그/NP+는/JX
기자	기자/NNG
생활을	생활/NNG+을/JKO
하며	하/VV+며/EC
한국과	한국/NNP+과/JKB
깊은	깊/VA+은/ETM
인연을	인연/NNG+을/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.153.6.1
1981년 9월부터 1년 동안 연세대 한국어학당에서 어학연수를 했고 1993년 논설위원 시절 한일포럼 창립에 참가했다.

1981년	1981/SN+년/NNB
9월부터	9/SN+월/NNB+부터/JX
1년	1/SN+년/NNB
동안	동안/NNG
연세대	연세대/NNP
한국어학당에서	한국어/NNP+학당/NNG+에서/JKB
어학연수를	어학연수/NNG+를/JKO
했고	하/VV+았/EP+고/EC
1993년	1993/SN+년/NNB
논설위원	논설위원/NNG
시절	시절/NNG
한일포럼	한일/NNP+포럼/NNG
창립에	창립/NNG+에/JKB
참가했다.	참가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.153.6.2
1995년 아사히신문에 한일 월드컵 공동 개최를 제안하는 사설을 썼다.

1995년	1995/SN+년/NNB
아사히신문에	아사히신문/NNP+에/JKB
한일	한일/NNP
월드컵	월드컵/NNG
공동	공동/NNG
개최를	개최/NNG+를/JKO
제안하는	제안/NNG+하/XSV+는/ETM
사설을	사설/NNG+을/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.153.6.3
2005년에는 한국의 독도 영유를 인정하되 섬 이름을 ‘우정의 섬’으로 하자는 몽상(夢想)을 밝힌 칼럼을 쓰기도 했다.

2005년에는	2005/SN+년/NNB+에/JKB+는/JX
한국의	한국/NNP+의/JKG
독도	독도/NNP
영유를	영유/NNG+를/JKO
인정하되	인정/NNG+하/XSV+되/EC
섬	섬/NNG
이름을	이름/NNG+을/JKO
‘우정의	‘/SS+우정/NNG+의/JKG
섬’으로	섬/NNG+’/SS+으로/JKB
하자는	하/VV+자는/ETM
몽상(夢想)을	몽상/NNG+(/SS+夢想/SH+)/SS+을/JKO
밝힌	밝히/VV+ㄴ/ETM
칼럼을	칼럼/NNG+을/JKO
쓰기도	쓰/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.153.6.4
2006년에는 아사히신문사가 발행하는 월간지 ‘론자(論座)’에서 고이즈미 준이치로 당시 총리의 야스쿠니 신사 참배를 비판하기도 했다.

2006년에는	2006/SN+년/NNB+에/JKB+는/JX
아사히신문사가	아사히신문사/NNP+가/JKS
발행하는	발행/NNG+하/XSV+는/ETM
월간지	월간지/NNG
‘론자(論座)’에서	‘/SS+론자/NNG+(/SS+論座/SH+)/SS+’/SS+에서/JKB
고이즈미	고이즈미/NNP
준이치로	준이치로/NNP
당시	당시/NNG
총리의	총리/NNG+의/JKG
야스쿠니	야스쿠니/NNP
신사	신사/NNG
참배를	참배/NNG+를/JKO
비판하기도	비판/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.153.7.1
책은 전체 4장으로 돼 있다.

책은	책/NNG+은/JX
전체	전체/NNG
4장으로	4/SN+장/NNG+으로/JKB
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.153.7.2
△재해 보도 △‘차별’ 문제 △권력의 이면 △분단과 영토, 역사의 구성이다.

△재해	△/SW+재해/NNG
보도	보도/NNG
△‘차별’	△/SW+‘/SS+차별/NNG+’/SS
문제	문제/NNG
△권력의	△/SW+권력/NNG+의/JKG
이면	이면/NNG
△분단과	△/SW+분단/NNG+과/JC
영토,	영토/NNG+,/SP
역사의	역사/NNG+의/JKG
구성이다.	구성/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.153.7.3
재해 보도는 2011년 3월 11일에 일어난 동일본 대지진의 이야기다.

재해	재해/NNG
보도는	보도/NNG+는/JX
2011년	2011/SN+년/NNB
3월	3/SN+월/NNB
11일에	11/SN+일/NNB+에/JKB
일어난	일어나/VV+ㄴ/ETM
동일본	동일본/NNP
대지진의	대/XPN+지진/NNG+의/JKG
이야기다.	이야기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.153.7.4
이는 일본 언론뿐 아니라 한국 언론에서도 무수히 다뤄졌던 주제다.

이는	이/NP+는/JX
일본	일본/NNP
언론뿐	언론/NNG+뿐/JX
아니라	아니/VCN+라/EC
한국	한국/NNP
언론에서도	언론/NNG+에서/JKB+도/JX
무수히	무수히/MAG
다뤄졌던	다루/VV+어/EC+지/VX+었/EP+던/ETM
주제다.	주제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.153.7.5
하지만 그는 새로운 시각으로 동일본 대지진을 재해석했다.

하지만	하지만/MAJ
그는	그/NP+는/JX
새로운	새롭/VA+ㄴ/ETM
시각으로	시각/NNG+으로/JKB
동일본	동일본/NNP
대지진을	대/XPN+지진/NNG+을/JKO
재해석했다.	재/XPN+해석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.153.8.1
와카미야 전 주필은 ‘대지진 당시 어떻게 선명한 사진과 동영상을 찍었을까’라는 의문을 품고 당시 촬영자들과 인터뷰를 했다.

와카미야	와카미야/NNP
전	전/MMD
주필은	주필/NNG+은/JX
‘대지진	‘/SS+대/XPN+지진/NNG
당시	당시/NNG
어떻게	어떻/VA+게/EC
선명한	선명/NNG+하/XSA+ㄴ/ETM
사진과	사진/NNG+과/JC
