# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.411
metadata : {}


# id : NWRW1800000030.411.1.1
[호남] [지역인사이드] 광주MBC '구성작가해고' 그 후

[호남]	[/SS+호남/NNP+]/SS
[지역인사이드]	[/SS+지역/NNG+인사이드/NNG+]/SS
광주MBC	광주MBC/NNP
'구성작가해고'	'/SS+구성/NNG+작가/NNG+해고/NNG+'/SS
그	그/MMD
후	후/NNG


# id : NWRW1800000030.411.2.1
•"일할 땐 '우리팀', 자를 땐 '프리랜서'"

•"일할	•/SW+"/SS+일/NNG+하/XSV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
'우리팀',	'/SS+우리/NP+팀/NNG+'/SS+,/SP
자를	자르/VV+ㄹ/ETM
'프리랜서'"	'/SS+프리랜서/NNG+'/SS+"/SS


# id : NWRW1800000030.411.3.1
광주MBC 구성 작가들이 "사측이 작가 9명을 일방 해고했다"며 반발해 집단 행동에 나선 가운데 광주지역 다른 방송국까지 광주MBC를 비판했다.

광주MBC	광주MBC/NNP
구성	구성/NNG
작가들이	작가/NNG+들/XSN+이/JKS
"사측이	"/SS+사측/NNG+이/JKS
작가	작가/NNG
9명을	9/SN+명/NNB+을/JKO
일방	일방/NNG
해고했다"며	해고/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
반발해	반발/NNG+하/XSV+아/EC
집단	집단/NNG
행동에	행동/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
가운데	가운데/NNG
광주지역	광주/NNP+지역/NNG
다른	다른/MMD
방송국까지	방송국/NNG+까지/JX
광주MBC를	광주MBC/NNP+를/JKO
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.411.4.1
지난달 4일 광주MBC는 4층 편성국 업무용 책상을 변경하면서 정규직인 PD 책상에 비해 길이가 2배 이상 작은 책상을 작가들에게 일괄 제공했다.

지난달	지난달/NNG
4일	4/SN+일/NNB
광주MBC는	광주MBC/NNP+는/JX
4층	4/SN+층/NNG
편성국	편성국/NNG
업무용	업무/NNG+용/XSN
책상을	책상/NNG+을/JKO
