# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.192
metadata : {}


# id : NWRW1800000044.192.1.1
‘깃털만 건드린’ 길병원 비자금 수사

‘깃털만	‘/SS+깃털/NNG+만/JX
건드린’	건드리/VV+ㄴ/ETM+’/SS
길병원	길병원/NNP
비자금	비자금/NNG
수사	수사/NNG


# id : NWRW1800000044.192.2.1
[한겨레] 이길여 이사장 서면조사만 한뒤

[한겨레]	[/SS+한겨레/NNP+]/SS
이길여	이길여/NNP
이사장	이사장/NNG
서면조사만	서면/NNG+조사/NNG+만/JX
한뒤	하/VV+ㄴ/ETM+뒤/NNG


# id : NWRW1800000044.192.3.1
비서실 10억 관련 ‘무혐의’ 처분

비서실	비서실/NNG
10억	10/SN+억/NR
관련	관련/NNG
‘무혐의’	‘/SS+무/XPN+혐의/NNG+’/SS
처분	처분/NNG


# id : NWRW1800000044.192.4.1
임직원 등 4명 기소로 수사 끝내

임직원	임직원/NNG
등	등/NNB
4명	4/SN+명/NNB
기소로	기소/NNG+로/JKB
수사	수사/NNG
끝내	끝나/VV+아/EF


# id : NWRW1800000044.192.5.1
검찰의 인천 길병원 비자금 수사가 몸통은 없고 깃털만 남은 부실 수사라는 비판이 일고 있다.

검찰의	검찰/NNG+의/JKG
인천	인천/NNP
길병원	길병원/NNP
비자금	비자금/NNG
수사가	수사/NNG+가/JKS
몸통은	몸통/NNG+은/JX
없고	없/VA+고/EC
깃털만	깃털/NNG+만/JX
남은	남/VV+은/ETM
부실	부실/NNG
수사라는	수사/NNG+이/VCP+라는/ETM
비판이	비판/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.192.5.2
병원 핵심 팀장이 횡령한 10억원에 이르는 돈이 이길여 길병원 이사장 비서실로 흘러들어간 사실을 밝혀내고도, 이 이사장에 대해선 서면조사로 사실상 수사를 마무리했기 때문이다.

병원	병원/NNG
핵심	핵심/NNG
팀장이	팀장/NNG+이/JKS
