# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.175
metadata : {}


# id : NWRW1800000053.175.1.1
‘특검의 입’ 이규철 前특검보, 신동주 변호

‘특검의	‘/SS+특검/NNG+의/JKG
입’	입/NNG+’/SS
이규철	이규철/NNP
前특검보,	前/SH+특검보/NNG+,/SP
신동주	신동주/NNP
변호	변호/NNG


# id : NWRW1800000053.175.2.1
4월 변호사 복귀… 수임 대상 논란 법조계 “수사했던 롯데 관련 부적절”… 李변호사 “특검 대상과 무관한 소송”

4월	4/SN+월/NNB
변호사	변호사/NNG
복귀…	복귀/NNG+…/SE
수임	수임/NNG
대상	대상/NNG
논란	논란/NNG
법조계	법조/NNG+계/XSN
“수사했던	“/SS+수사/NNG+하/XSV+았/EP+던/ETM
롯데	롯데/NNP
관련	관련/NNG
부적절”…	부적절/XR+”/SS+…/SE
李변호사	李/SH+변호사/NNG
“특검	“/SS+특검/NNG
대상과	대상/NNG+과/JKB
무관한	무관하/VA+ㄴ/ETM
소송”	소송/NNG+”/SS


# id : NWRW1800000053.175.3.1
박영수 특별검사팀에서 대변인 역할을 한 이규철 전 특검보(53·사법연수원 22기)가 사직 한 달여 만에 신동주 SDJ코퍼레이션 회장(63)의 형사재판 변호인을 맡아 논란이 되고 있다.

박영수	박영수/NNP
특별검사팀에서	특별/NNG+검사/NNG+팀/NNG+에서/JKB
대변인	대변인/NNG
역할을	역할/NNG+을/JKO
한	한/MMN
이규철	이규철/NNP
전	전/MMD
특검보(53·사법연수원	특검보/NNG+(/SS+53/SN+·/SP+사법/NNG+연수원/NNG
22기)가	22/SN+기/NNG+)/SS+가/JKS
사직	사직/NNG
달여	달/NNB+여/XSN
만에	만/NNB+에/JKB
신동주	신동주/NNP
SDJ코퍼레이션	SDJ코퍼레이션/NNP
회장(63)의	회장/NNG+(/SS+63/SN+)/SS+의/JKG
형사재판	형사/NNG+재판/NNG
변호인을	변호인/NNG+을/JKO
맡아	맡/VV+아/EC
논란이	논란/NNG+이/JKC
되고	되/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.175.3.2
신 회장은 특검의 수사 대상이었던 신동빈 롯데그룹 회장(62)의 친형이다.

신	신/NNP
회장은	회장/NNG+은/JX
특검의	특검/NNG+의/JKG
수사	수사/NNG
대상이었던	대상/NNG+이/VCP+었/EP+던/ETM
신동빈	신동빈/NNP
롯데그룹	롯데그룹/NNP
회장(62)의	회장/NNG+(/SS+62/SN+)/SS+의/JKG
친형이다.	친형/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.175.3.3
신동주, 신동빈 형제는 경영권 분쟁 중이어서 이 전 특검보의 사건 수임은 윤리적으로 문제라는 지적이 나온다.

신동주,	신동주/NNP+,/SP
신동빈	신동빈/NNP
형제는	형제/NNG+는/JX
경영권	경영/NNG+권/XSN
분쟁	분쟁/NNG
중이어서	중/NNB+이/VCP+어서/EC
이	이/NNP
전	전/MMD
특검보의	특검보/NNG+의/JKG
사건	사건/NNG
수임은	수임/NNG+은/JX
윤리적으로	윤리/NNG+적/XSN+으로/JKB
문제라는	문제/NNG+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.175.4.1
이 전 특검보는 5일 서울중앙지법 형사합의24부(부장판사 김상동) 심리로 열린 신동주 회장의 공판에 변호인으로 출석했다.

이	이/NNP
전	전/MMD
특검보는	특검보/NNG+는/JX
5일	5/SN+일/NNB
서울중앙지법	서울중앙지법/NNP
형사합의24부(부장판사	형사/NNG+합의/NNG+24/SN+부/NNG+(/SS+부장/NNG+판사/NNG
김상동)	김상동/NNP+)/SS
심리로	심리/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
신동주	신동주/NNP
회장의	회장/NNG+의/JKG
공판에	공판/NNG+에/JKB
변호인으로	변호인/NNG+으로/JKB
출석했다.	출석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.175.4.2
이 전 특검보는 앞서 2일 법원에 선임계를 제출했다.

이	이/NNP
전	전/MMD
특검보는	특검보/NNG+는/JX
앞서	앞서/MAG
2일	2/SN+일/NNB
법원에	법원/NNG+에/JKB
선임계를	선임계/NNG+를/JKO
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.175.4.3
특검팀에서 부대변인으로 일했던 홍정석 변호사(40·변호사시험 1회)도 신 회장의 변호인으로 합류했다.

특검팀에서	특검/NNG+팀/NNG+에서/JKB
부대변인으로	부대변인/NNG+으로/JKB
일했던	일/NNG+하/XSV+았/EP+던/ETM
홍정석	홍정석/NNP
변호사(40·변호사시험	변호사/NNG+(/SS+40/SN+·/SP+변호사/NNG+시험/NNG
1회)도	1/SN+회/NNB+)/SS+도/JX
신	신/NNP
회장의	회장/NNG+의/JKG
변호인으로	변호인/NNG+으로/JKB
합류했다.	합류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.175.5.1
법조계는 이 전 특검보가 신 회장 사건을 수임한 것이 부적절하다고 지적한다.

법조계는	법조/NNG+계/XSN+는/JX
이	이/NNP
전	전/MMD
특검보가	특검보/NNG+가/JKS
신	신/NNP
회장	회장/NNG
사건을	사건/NNG+을/JKO
수임한	수임/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
부적절하다고	부적절하/VA+다고/EC
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.175.5.2
특검은 당초 롯데그룹 신동빈 회장이 박근혜 전 대통령의 부탁을 받고 K스포츠재단에 70억 원을 추가 출연했다가 돌려받은 사건을 수사하려 했지만 시간 부족으로 실제 조사를 하지는 못했다.

특검은	특검/NNG+은/JX
당초	당초/NNG
롯데그룹	롯데그룹/NNP
신동빈	신동빈/NNP
회장이	회장/NNG+이/JKS
박근혜	박근혜/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
