# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.100
metadata : {}


# id : NWRW1800000054.100.1.1
디카의 아버지 4人 '엘리자베스 여왕 공학상'

디카의	디카/NNG+의/JKG
아버지	아버지/NNG
4人	4/SN+人/SH
'엘리자베스	'/SS+엘리자베스/NNP
여왕	여왕/NNG
공학상'	공학/NNG+상/NNG+'/SS


# id : NWRW1800000054.100.2.1
디지털 카메라 핵심 기술 개발해… 공학계의 노벨상, 상금 14억원

디지털	디지털/NNG
카메라	카메라/NNG
핵심	핵심/NNG
기술	기술/NNG
개발해…	개발/NNG+하/XSV+아/EF+…/SE
공학계의	공학/NNG+계/XSN+의/JKG
노벨상,	노벨상/NNG+,/SP
상금	상금/NNG
14억원	14/SN+억/NR+원/NNB


# id : NWRW1800000054.100.3.1
디지털 카메라에 들어가는 핵심 기술들을 개발한 엔지니어들이 '공학계의 노벨상'으로 불리는 '엘리자베스 여왕 공학상' 제3회 수상자로 선정됐다.

디지털	디지털/NNG
카메라에	카메라/NNG+에/JKB
들어가는	들어가/VV+는/ETM
핵심	핵심/NNG
기술들을	기술/NNG+들/XSN+을/JKO
개발한	개발/NNG+하/XSV+ㄴ/ETM
엔지니어들이	엔지니어/NNG+들/XSN+이/JKS
'공학계의	'/SS+공학/NNG+계/XSN+의/JKG
노벨상'으로	노벨상/NNG+'/SS+으로/JKB
불리는	불리/VV+는/ETM
'엘리자베스	'/SS+엘리자베스/NNP
여왕	여왕/NNG
공학상'	공학/NNG+상/NNG+'/SS
제3회	제/XPN+3/SN+회/NNB
수상자로	수상자/NNG+로/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.100.4.1
엘리자베스 여왕 공학상 재단은 1일(현지 시각) "미국 다트머스대의 에릭 포섬 교수와 전(前) 벨랩 연구원인 조지 스미스 박사, 마이클 톰셋 박사, 일본 효고대 노부카주 데라니시 교수를 엘리자베스 여왕 공학상 수상자로 선정했다"고 밝혔다.

엘리자베스	엘리자베스/NNP
여왕	여왕/NNG
공학상	공학/NNG+상/NNG
재단은	재단/NNG+은/JX
1일(현지	1/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
"미국	"/SS+미국/NNP
다트머스대의	다트머스대/NNP+의/JKG
에릭	에릭/NNP
포섬	포섬/NNP
교수와	교수/NNG+와/JC
전(前)	전/MMD+(/SS+前/SH+)/SS
벨랩	벨랩/NNP
연구원인	연구원/NNG+이/VCP+ㄴ/ETM
조지	조지/NNP
스미스	스미스/NNP
박사,	박사/NNG+,/SP
마이클	마이클/NNP
톰셋	톰셋/NNP
일본	일본/NNP
효고대	효고대/NNP
노부카주	노부카주/NNP
데라니시	데라니시/NNP
교수를	교수/NNG+를/JKO
수상자로	수상자/NNG+로/JKB
선정했다"고	선정/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.100.5.1
디지털 카메라는 CCD(Charge-Coupled Device, 전하결합소자) 개발이 시발점이 됐다.

디지털	디지털/NNG
카메라는	카메라/NNG+는/JX
CCD(Charge-Coupled	CCD/SL+(/SS+Charge/SL+-/SO+Coupled/SL
Device,	Device/SL+,/SP
전하결합소자)	전하/NNG+결합/NNG+소자/NNG+)/SS
개발이	개발/NNG+이/JKS
시발점이	시발점/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.100.5.2
1969년 미국 벨랩의 조지 스미스 박사와 고(故) 윌러드 보일 박사는 컴퓨터 메모리 회로 개발 과정에서 빛을 디지털 신호로 바꾸는 센서 개념을 창안했다.

1969년	1969/SN+년/NNB
미국	미국/NNP
벨랩의	벨랩/NNP+의/JKG
조지	조지/NNP
스미스	스미스/NNP
박사와	박사/NNG+와/JC
고(故)	고/MMA+(/SS+故/SH+)/SS
윌러드	윌러드/NNP
보일	보일/NNP
박사는	박사/NNG+는/JX
컴퓨터	컴퓨터/NNG
메모리	메모리/NNG
회로	회로/NNG
개발	개발/NNG
과정에서	과정/NNG+에서/JKB
빛을	빛/NNG+을/JKO
디지털	디지털/NNG
신호로	신호/NNG+로/JKB
바꾸는	바꾸/VV+는/ETM
센서	센서/NNG
개념을	개념/NNG+을/JKO
창안했다.	창안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.100.5.3
두 사람은 이 공로로 2009년 노벨 물리학상을 받았다.

두	두/MMN
