# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.383
metadata : {}


# id : NWRW1800000025.383.1.1
[횡설수설/정성희]국민연금 재테크

[횡설수설/정성희]국민연금	[/SS+횡설수설/NNG+//SP+정성희/NNP+]/SS+국민연금/NNG
재테크	재테크/NNG


# id : NWRW1800000025.383.2.1
“국민연금은 못 내!” 우리 대학생들이 즐겨 읽는다는 일본 소설 ‘공중그네’의 작가 오쿠다 히데오의 ‘남쪽으로 튀어’에서 주인공 소년 우에하라 지로의 아버지는 국민연금 가입을 권유하는 여성 공무원에게 이렇게 외친다.

“국민연금은	“/SS+국민연금/NNG+은/JX
못	못/MAG
내!”	내/VV+아/EF+!/SF+”/SS
우리	우리/NP
대학생들이	대학/NNG+생/XSN+들/XSN+이/JKS
즐겨	즐기/VV+어/EC
읽는다는	읽/VV+는다는/ETM
일본	일본/NNP
소설	소설/NNG
‘공중그네’의	‘/SS+공중그네/NNP+’/SS+의/JKG
작가	작가/NNG
오쿠다	오쿠다/NNP
히데오의	히데오/NNP+의/JKG
‘남쪽으로	‘/SS+남쪽/NNG+으로/JKB
튀어’에서	튀/VV+어/EF+’/SS+에서/JKB
주인공	주인공/NNG
소년	소년/NNG
우에하라	우에하라/NNP
지로의	지로/NNP+의/JKG
아버지는	아버지/NNG+는/JX
국민연금	국민연금/NNG
가입을	가입/NNG+을/JKO
권유하는	권유/NNG+하/XSV+는/ETM
여성	여성/NNG
공무원에게	공무원/NNG+에게/JKB
이렇게	이렇/VA+게/EC
외친다.	외치/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.383.2.2
지로의 아버지는 학창 시절 학생운동에 투신했다 아나키스트로 변신한 인물이다.

지로의	지로/NNP+의/JKG
아버지는	아버지/NNG+는/JX
학창	학창/NNG
시절	시절/NNG
학생운동에	학생/NNG+운동/NNG+에/JKB
투신했다	투신/NNG+하/XSV+았/EP+다/EC
아나키스트로	아나키스트/NNG+로/JKB
변신한	변신/NNG+하/XSV+ㄴ/ETM
인물이다.	인물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.383.2.3
백수 아버지는 방 안에서 소일하다가 구청 직원이 국민연금을 독촉하러 오면 물 만난 고기처럼 국민연금의 부당함을 역설한다.

백수	백수/NNG
아버지는	아버지/NNG+는/JX
방	방/NNG
안에서	안/NNG+에서/JKB
소일하다가	소일/NNG+하/XSV+다가/EC
구청	구청/NNG
직원이	직원/NNG+이/JKS
국민연금을	국민연금/NNG+을/JKO
독촉하러	독촉/NNG+하/XSV+러/EC
오면	오/VV+면/EC
물	물/NNG
만난	만나/VV+ㄴ/ETM
고기처럼	고기/NNG+처럼/JKB
국민연금의	국민연금/NNG+의/JKG
부당함을	부당/NNG+하/XSA+ㅁ/ETN+을/JKO
역설한다.	역설/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.383.3.1
▷시종 유쾌한 톤으로 전개되는 이 소설에서 아버지는 국민연금을 정부가 개인의 자유와 선택을 제한하는 통제장치로 인식한다.

▷시종	▷/SW+시종/MAG
유쾌한	유쾌/NNG+하/XSA+ㄴ/ETM
톤으로	톤/NNG+으로/JKB
