# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.101
metadata : {}


# id : NWRW1800000054.101.1.1
권총 차고 무슬림 환자 돌보는 간호장교

권총	권총/NNG
차고	차/VV+고/EC
무슬림	무슬림/NNG
환자	환자/NNG
돌보는	돌보/VV+는/ETM
간호장교	간호/NNG+장교/NNG


# id : NWRW1800000054.101.2.1
레바논 파병 동명부대 장소정 대위 "태양의 후예와는 다르지 말입니다"

레바논	레바논/NNP
파병	파병/NNG
동명부대	동명부대/NNP
장소정	장소정/NNP
대위	대위/NNG
"태양의	"/SS+태양/NNG+의/JKG
후예와는	후예/NNG+와/JKB+는/JX
다르지	다르/VA+지/EC
말입니다"	말/NNG+이/VCP+ㅂ니다/EF+"/SS


# id : NWRW1800000054.101.3.1
"'니깝' 살짝 벗고 입을 벌려 보세요, 아~."

"'니깝'	"/SS+'/SS+니깝/NNG+'/SS
살짝	살짝/MAG
벗고	벗/VV+고/EC
입을	입/NNG+을/JKO
벌려	벌리/VV+어/EC
보세요,	보/VX+시/EP+어요/EF+,/SP
아~."	아/IC+~/SO+./SF+"/SS


# id : NWRW1800000054.101.4.1
레바논 유엔평화유지군에 파병된 동명부대 소속 간호장교 장소정(30) 대위가 앞에 앉은 무슬림 여성에게 바짝 다가가 진료를 시작했다.

레바논	레바논/NNP
유엔평화유지군에	유엔평화유지군/NNG+에/JKB
파병된	파병/NNG+되/XSV+ㄴ/ETM
동명부대	동명부대/NNP
소속	소속/NNG
간호장교	간호/NNG+장교/NNG
장소정(30)	장소정/NNP+(/SS+30/SN+)/SS
대위가	대위/NNG+가/JKS
앞에	앞/NNG+에/JKB
앉은	앉/VV+은/ETM
무슬림	무슬림/NNG
여성에게	여성/NNG+에게/JKB
바짝	바짝/MAG
다가가	다가가/VV+아/EC
진료를	진료/NNG+를/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.101.5.1
지난달 17일(현지 시각) 레바논 남부 수르의 한 마을회관.

지난달	지난달/NNG
17일(현지	17/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
레바논	레바논/NNP
남부	남부/NNG
수르의	수르/NNP+의/JKG
한	한/MMN
마을회관.	마을/NNG+회관/NNG+./SF


# id : NWRW1800000054.101.5.2
'니깝'은 눈만 빼고 얼굴을 완전히 가리는 이슬람 여성용 의복의 일종이다.

'니깝'은	'/SS+니깝/NNG+'/SS+은/JX
눈만	눈/NNG+만/JX
빼고	빼/VV+고/EC
얼굴을	얼굴/NNG+을/JKO
완전히	완전히/MAG
가리는	가리/VV+는/ETM
이슬람	이슬람/NNG
여성용	여성/NNG+용/XSN
의복의	의복/NNG+의/JKG
일종이다.	일종/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.101.5.3
무슬림 여성은 외출할 때 니깝이나 머리카락을 가리는 '히잡'을 쓸 정도로 외간 남성의 접근을 경계한다.

무슬림	무슬림/NNG
여성은	여성/NNG+은/JX
외출할	외출/NNG+하/XSV+ㄹ/ETM
때	때/NNG
니깝이나	니깝/NNG+이나/JC
머리카락을	머리카락/NNG+을/JKO
가리는	가리/VV+는/ETM
'히잡'을	'/SS+히잡/NNG+'/SS+을/JKO
쓸	쓰/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
외간	외간/NNG
남성의	남성/NNG+의/JKG
접근을	접근/NNG+을/JKO
경계한다.	경계/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.101.6.1
하지만 장 대위는 여성이기에 보다 수월하게 무슬림 여성 환자들을 진료했다.

하지만	하지만/MAJ
장	장/NNP
대위는	대위/NNG+는/JX
여성이기에	여성/NNG+이/VCP+기에/EC
보다	보다/MAG
수월하게	수월하/VA+게/EC
무슬림	무슬림/NNG
여성	여성/NNG
환자들을	환자/NNG+들/XSN+을/JKO
진료했다.	진료/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.101.6.2
동명부대는 내전(1975~1990년)과 이스라엘 전쟁(2006년)을 겪고 혼란에 빠진 레바논에 2007년 파병됐다.

동명부대는	동명부대/NNP+는/JX
내전(1975~1990년)과	내전/NNG+(/SS+1975/SN+~/SO+1990/SN+년/NNB+)/SS+과/JC
이스라엘	이스라엘/NNP
전쟁(2006년)을	전쟁/NNG+(/SS+2006/SN+년/NNB+)/SS+을/JKO
겪고	겪/VV+고/EC
혼란에	혼란/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
레바논에	레바논/NNP+에/JKB
2007년	2007/SN+년/NNB
파병됐다.	파병/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.101.6.3
정전(停戰)협정이 잘 유지되는지 감시하는 임무를 10년째 수행하고 있다.

정전(停戰)협정이	정전/NNG+(/SS+停戰/SH+)/SS+협정/NNG+이/JKS
잘	잘/MAG
유지되는지	유지/NNG+되/XSV+는지/EC
감시하는	감시/NNG+하/XSV+는/ETM
임무를	임무/NNG+를/JKO
10년째	10/SN+년/NNB+째/XSN
수행하고	수행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.101.6.4
현지 주민을 상대로 의료 서비스 등을 제공하며 공공 외교 활동도 한다.

현지	현지/NNG
주민을	주민/NNG+을/JKO
상대로	상대/NNG+로/JKB
의료	의료/NNG
서비스	서비스/NNG
등을	등/NNB+을/JKO
제공하며	제공/NNG+하/XSV+며/EC
공공	공공/NNG
외교	외교/NNG
활동도	활동/NNG+도/JX
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.101.7.1
장 대위는 환한 미소로 환자를 돌봤지만 오른쪽 허리에는 권총을 차고 있었다.

장	장/NNP
대위는	대위/NNG+는/JX
환한	환하/VA+ㄴ/ETM
미소로	미소/NNG+로/JKB
환자를	환자/NNG+를/JKO
돌봤지만	돌보/VV+았/EP+지만/EC
오른쪽	오른쪽/NNG
허리에는	허리/NNG+에/JKB+는/JX
권총을	권총/NNG+을/JKO
차고	차/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.101.7.2
앉은 의자 바로 뒤편에는 방탄조끼와 방탄모를 놓아뒀다.

앉은	앉/VV+은/ETM
의자	의자/NNG
바로	바로/MAG
뒤편에는	뒤편/NNG+에/JKB+는/JX
방탄조끼와	방탄조끼/NNG+와/JC
방탄모를	방탄모/NNG+를/JKO
놓아뒀다.	놓아두/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.101.7.3
그는 "부대와 주민의 관계는 매우 좋지만 환자로 위장한 테러범이 침투할 가능성을 배제할 수 없다"면서 "주민에게 위화감을 주지 않으면서 방어 태세를 유지하기 위해 노력한다"고 했다.

그는	그/NP+는/JX
"부대와	"/SS+부대/NNG+와/JC
주민의	주민/NNG+의/JKG
관계는	관계/NNG+는/JX
매우	매우/MAG
좋지만	좋/VA+지만/EC
환자로	환자/NNG+로/JKB
위장한	위장/NNG+하/XSV+ㄴ/ETM
테러범이	테러범/NNG+이/JKS
침투할	침투/NNG+하/XSV+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다"면서	없/VA+다/EF+"/SS+면서/EC
"주민에게	"/SS+주민/NNG+에게/JKB
위화감을	위화감/NNG+을/JKO
주지	주/VV+지/EC
않으면서	않/VX+으면서/EC
방어	방어/NNG
태세를	태세/NNG+를/JKO
유지하기	유지/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
노력한다"고	노력/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.101.7.4
2007년 한국 의무·공병부대가 파병돼 주둔한 아프가니스탄 바그람 기지에서는 테러범이 교육 수강자인 척하며 접근하다 자폭해 그를 맞이하려던 한국군 병사가 사망하는 안타까운 사건이 있었다.

2007년	2007/SN+년/NNB
한국	한국/NNP
의무·공병부대가	의무/NNG+·/SP+공병/NNG+부대/NNG+가/JKS
파병돼	파병/NNG+되/XSV+어/EC
주둔한	주둔/NNG+하/XSV+ㄴ/ETM
아프가니스탄	아프가니스탄/NNP
바그람	바그람/NNP
기지에서는	기지/NNG+에서/JKB+는/JX
테러범이	테러범/NNG+이/JKS
교육	교육/NNG
수강자인	수강자/NNG+이/VCP+ㄴ/ETM
척하며	척/NNB+하/XSV+며/EC
접근하다	접근/NNG+하/XSV+다/EC
자폭해	자폭/NNG+하/XSV+아/EC
그를	그/NP+를/JKO
맞이하려던	맞이하/VV+려던/ETM
한국군	한국군/NNG
병사가	병사/NNG+가/JKS
사망하는	사망/NNG+하/XSV+는/ETM
안타까운	안타깝/VA+ㄴ/ETM
사건이	사건/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.101.8.1
"작년에 방영한 드라마 '태양의 후예'에서 의사 강모연 역을 맡은 송혜교씨를 보고선 여기저기서 '동명부대원도 한가한 시간에 맥주를 마시느냐'고 묻습니다.

"작년에	"/SS+작년/NNG+에/JKB
방영한	방영/NNG+하/XSV+ㄴ/ETM
드라마	드라마/NNG
'태양의	'/SS+태양/NNG+의/JKG
후예'에서	후예/NNG+'/SS+에서/JKB
의사	의사/NNG
강모연	강모연/NNP
역을	역/NNG+을/JKO
맡은	맡/VV+은/ETM
송혜교씨를	송혜교/NNP+씨/NNB+를/JKO
보고선	보/VV+고서/EC+ㄴ/JX
여기저기서	여기저기/NNG+서/JKB
'동명부대원도	'/SS+동명/NNG+부대원/NNG+도/JX
한가한	한가하/VA+ㄴ/ETM
시간에	시간/NNG+에/JKB
맥주를	맥주/NNG+를/JKO
마시느냐'고	마시/VV+느냐/EF+'/SS+고/JKQ
묻습니다.	묻/VV+습니다/EF+./SF


# id : NWRW1800000054.101.8.2
꿈도 꿀 수 없는 일입니다.

꿈도	꿈/NNG+도/JX
꿀	꾸/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
일입니다.	일/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000054.101.8.3
일단 한가하지 않기 때문입니다.

일단	일단/MAG
한가하지	한가하/VA+지/EC
않기	않/VX+기/ETN
때문입니다.	때문/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000054.101.8.4
주둔지가 이슬람권이라 삼겹살조차 먹기 어렵고 술은 반입되지 않습니다.

주둔지가	주둔지/NNG+가/JKS
이슬람권이라	이슬람/NNG+권/XSN+이/VCP+라/EC
삼겹살조차	삼겹살/NNG+조차/JX
먹기	먹/VV+기/ETN
어렵고	어렵/VA+고/EC
술은	술/NNG+은/JX
반입되지	반입/NNG+되/XSV+지/EC
않습니다.	않/VX+습니다/EF+./SF


# id : NWRW1800000054.101.8.5
실제 파병부대 생활은 드라마와 좀 많이 다르지 말입니다(웃음)."

실제	실제/NNG
파병부대	파병/NNG+부대/NNG
생활은	생활/NNG+은/JX
드라마와	드라마/NNG+와/JKB
좀	좀/MAG
많이	많이/MAG
다르지	다르/VA+지/EC
말입니다(웃음)."	말/NNG+이/VCP+ㅂ니다/EF+(/SS+웃음/NNG+)/SS+./SF+"/SS


# id : NWRW1800000054.101.9.1
동명부대는 최근 의료·직업 훈련 활동 등 파병지에서 비군사 활동을 확대하고 있다.

동명부대는	동명부대/NNP+는/JX
최근	최근/NNG
의료·직업	의료/NNG+·/SP+직업/NNG
훈련	훈련/NNG
활동	활동/NNG
등	등/NNB
