# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.227
metadata : {}


# id : NWRW1800000033.227.1.1
“구멍 숭숭 ‘수비’를 어쩌나”… 최강희-홍명보 ‘동병상련’

“구멍	“/SS+구멍/NNG
숭숭	숭숭/MAG
‘수비’를	‘/SS+수비/NNG+’/SS+를/JKO
어쩌나”…	어쩌/VV+나/EF+”/SS+…/SE
최강희-홍명보	최강희/NNP+-/SO+홍명보/NNP
‘동병상련’	‘/SS+동병상련/NNG+’/SS


# id : NWRW1800000033.227.2.1
“상대 공격수를 마크하지 못했다.

“상대	“/SS+상대/NNG
공격수를	공격수/NNG+를/JKO
마크하지	마크/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.227.2.2
지역방어와 일대일 마크를 동시에 해야 하는데 우왕좌왕하다 서로 미루는 등 정신을 못 차리는 것 같았다.”

지역방어와	지역/NNG+방어/NNG+와/JC
일대일	일대일/NNG
마크를	마크/NNG+를/JKO
동시에	동시/NNG+에/JKB
해야	하/VV+아야/EC
하는데	하/VX+는데/EC
우왕좌왕하다	우왕좌왕/NNG+하/XSV+다/EC
서로	서로/MAG
미루는	미루/VV+는/ETM
등	등/NNB
정신을	정신/NNG+을/JKO
못	못/MAG
차리는	차리/VV+는/ETM
것	것/NNB
같았다.”	같/VA+았/EP+다/EF+./SF+”/SS


# id : NWRW1800000033.227.3.1
축구 국가대표팀이 1986년 멕시코 월드컵 조별 예선 아르헨티나와의 경기에서 1-3으로 패한 뒤 당시 올림픽 축구대표팀 박종환 감독이 본보에 남긴 관전평이다.

축구	축구/NNG
국가대표팀이	국가/NNG+대표/NNG+팀/NNG+이/JKS
1986년	1986/SN+년/NNB
멕시코	멕시코/NNP
월드컵	월드컵/NNG
조별	조별/NNG
예선	예선/NNG
아르헨티나와의	아르헨티나/NNP+와/JKB+의/JKG
경기에서	경기/NNG+에서/JKB
1-3으로	1/SN+-/SO+3/SN+으로/JKB
패한	패/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
당시	당시/NNG
올림픽	올림픽/NNG
축구대표팀	축구/NNG+대표/NNG+팀/NNG
박종환	박종환/NNP
감독이	감독/NNG+이/JKS
본보에	본보/NNG+에/JKB
남긴	남기/VV+ㄴ/ETM
관전평이다.	관전평/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.227.3.2
그로부터 26년이 흘렀다.

그로부터	그/NP+로부터/JKB
26년이	26/SN+년/NNB+이/JKS
흘렀다.	흐르/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.227.3.3
그러나 한국 축구는 여전히 ‘수비 불안’의 고질병에 시달리고 있다.

그러나	그러나/MAJ
한국	한국/NNP
축구는	축구/NNG+는/JX
여전히	여전히/MAG
‘수비	‘/SS+수비/NNG
불안’의	불안/NNG+’/SS+의/JKG
고질병에	고질병/NNG+에/JKB
시달리고	시달리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.227.4.1
