# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.122
metadata : {}


# id : NWRW1800000054.122.1.1
[이진희의 날씨 레터] 새해 다이어리를 열며…

[이진희의	[/SS+이진희/NNP+의/JKG
날씨	날씨/NNG
레터]	레터/NNG+]/SS
새해	새해/NNG
다이어리를	다이어리/NNG+를/JKO
열며…	열/VV+며/EC+…/SE


# id : NWRW1800000054.122.2.1
2017년 자신을 한번 돌아봐요… '겨울다운 날씨' 한파 조심하세요

2017년	2017/SN+년/NNB
자신을	자신/NNG+을/JKO
한번	한번/MAG
돌아봐요…	돌아보/VV+아요/EF+…/SE
'겨울다운	'/SS+겨울/NNG+답/XSA+ㄴ/ETM
날씨'	날씨/NNG+'/SS
한파	한파/NNG
조심하세요	조심/NNG+하/XSV+시/EP+어요/EF


# id : NWRW1800000054.122.3.1
2017년을 시작한 지 엊그제 같은데 2018년 다이어리를 선물 받았습니다.

2017년을	2017/SN+년/NNB+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
지	지/NNB
엊그제	엊그제/NNG
같은데	같/VA+은데/EC
2018년	2018/SN+년/NNB
다이어리를	다이어리/NNG+를/JKO
선물	선물/NNG
받았습니다.	받/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000054.122.3.2
부산의 시청자가 보내주셨는데, 날이 얼마나 추웠는지 택배 상자와 수첩까지 차디차네요.

부산의	부산/NNP+의/JKG
시청자가	시청자/NNG+가/JKS
보내주셨는데,	보내/VV+어/EC+주/VX+시/EP+었/EP+는데/EC+,/SP
날이	날/NNG+이/JKS
얼마나	얼마나/MAG
추웠는지	춥/VA+었/EP+는지/EC
택배	택배/NNG
상자와	상자/NNG+와/JC
수첩까지	수첩/NNG+까지/JX
차디차네요.	차디차/VA+네/EF+요/JX+./SF


# id : NWRW1800000054.122.3.3
"진희님다워진 한 해를 보내셨길 바랍니다"라는 메시지가 들어있었어요.

"진희님다워진	"/SS+진희/NNP+님/XSN+답/XSA+어/EC+지/VX+ㄴ/ETM
한	한/MMN
해를	해/NNB+를/JKO
보내셨길	보내/VV+시/EP+었/EP+기/ETN+ㄹ/JKO
바랍니다"라는	바라/VV+ㅂ니다/EF+"/SS+이/VCP+라는/ETM
메시지가	메시지/NNG+가/JKS
들어있었어요.	들/VV+어/EC+있/VX+었/EP+어요/EF+./SF


# id : NWRW1800000054.122.3.4
새해 시작할 때 소셜 미디어에 올린 제 소망이었죠.

새해	새해/NNG
시작할	시작/NNG+하/XSV+ㄹ/ETM
때	때/NNG
소셜	소셜/NNG
미디어에	미디어/NNG+에/JKB
올린	올리/VV+ㄴ/ETM
제	저/NP+의/JKG
소망이었죠.	소망/NNG+이/VCP+었/EP+죠/EF+./SF


# id : NWRW1800000054.122.3.5
어느 정도 사회생활에 적응한 30대가 됐기 때문인지, 최근 '자기다움'을 찾는 시대 흐름에 공감해서인지 몰라도 '나다움'이 무엇일까 꾸준히 생각해 본 한 해였습니다.

어느	어느/MMD
정도	정도/NNG
사회생활에	사회생활/NNG+에/JKB
적응한	적응/NNG+하/XSV+ㄴ/ETM
30대가	30/SN+대/NNB+가/JKC
됐기	되/VV+었/EP+기/ETN
때문인지,	때문/NNB+이/VCP+ㄴ지/EC+,/SP
최근	최근/NNG
'자기다움'을	'/SS+자기/NNG+답/XSA+ㅁ/ETN+'/SS+을/JKO
찾는	찾/VV+는/ETM
시대	시대/NNG
흐름에	흐름/NNG+에/JKB
공감해서인지	공감/NNG+하/XSV+아서/EC+이/VCP+ㄴ지/EC
몰라도	모르/VV+아도/EC
'나다움'이	'/SS+나/NNG+답/XSA+ㅁ/ETN+'/SS+이/JKS
무엇일까	무엇/NP+이/VCP+ㄹ까/EF
꾸준히	꾸준히/MAG
생각해	생각/NNG+하/XSV+아/EC
본	보/VX+ㄴ/ETM
한	한/MMN
해였습니다.	해/NNG+이/VCP+었/EP+습니다/EF+./SF


# id : NWRW1800000054.122.4.1
학창 시절부터 주어진 과제에 나름 충실했고 운 좋게도 하고 싶은 일을 하게 돼 감사하며 지내왔는데, 어느 시점이 되니 가라앉아있던 고민들이 한꺼번에 떠올랐어요.

학창	학창/NNG
시절부터	시절/NNG+부터/JX
주어진	주어지/VV+ㄴ/ETM
과제에	과제/NNG+에/JKB
나름	나름/NNB
충실했고	충실/NNG+하/XSA+았/EP+고/EC
운	운/NNG
좋게도	좋/VA+게/EC+도/JX
하고	하/VV+고/EC
싶은	싶/VX+은/ETM
일을	일/NNG+을/JKO
하게	하/VV+게/EC
돼	되/VV+어/EC
감사하며	감사/NNG+하/XSV+며/EC
지내왔는데,	지내/VV+어/EC+오/VX+았/EP+는데/EC+,/SP
어느	어느/MMD
시점이	시점/NNG+이/JKC
되니	되/VV+니/EC
가라앉아있던	가라앉/VV+아/EC+있/VX+던/ETM
고민들이	고민/NNG+들/XSN+이/JKS
한꺼번에	한꺼번에/MAG
떠올랐어요.	떠오르/VV+았/EP+어요/EF+./SF


# id : NWRW1800000054.122.4.2
기상캐스터로서도 선임 연차에 접어들면서 '나만의 캐릭터'에 대한 생각도 깊어졌습니다.

기상캐스터로서도	기상/NNG+캐스터/NNG+로서/JKB+도/JX
선임	선임/NNG
연차에	연차/NNG+에/JKB
접어들면서	접어들/VV+면서/EC
'나만의	'/SS+나/NNG+만/JX+의/JKG
캐릭터'에	캐릭터/NNG+'/SS+에/JKB
대한	대하/VV+ㄴ/ETM
생각도	생각/NNG+도/JX
깊어졌습니다.	깊어지/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000054.122.4.3
요즘 관련된 책과 강연도 많고, 곁에 좋은 인연들이 있어서 조언도 들었지요.

요즘	요즘/NNG
관련된	관련/NNG+되/XSV+ㄴ/ETM
책과	책/NNG+과/JC
강연도	강연/NNG+도/JX
많고,	많/VA+고/EC+,/SP
곁에	곁/NNG+에/JKB
좋은	좋/VA+은/ETM
인연들이	인연/NNG+들/XSN+이/JKS
있어서	있/VA+어서/EC
조언도	조언/NNG+도/JX
들었지요.	듣/VV+었/EP+지요/EF+./SF


# id : NWRW1800000054.122.5.1
S선배님은 긴말 대신 가수 윤종신씨의 본지 인터뷰 기사를 보여주셨어요.

S선배님은	S/SL+선배/NNG+님/XSN+은/JX
긴말	긴말/NNG
대신	대신/NNG
가수	가수/NNG
윤종신씨의	윤종신/NNP+씨/NNB+의/JKG
본지	본지/NNG
인터뷰	인터뷰/NNG
기사를	기사/NNG+를/JKO
보여주셨어요.	보이/VV+어/EC+주/VX+시/EP+었/EP+어요/EF+./SF


# id : NWRW1800000054.122.5.2
"대중의 취향에 맞추기보다, 내가 좋아하는 걸 던지고 설득하는 게 아티스트라는 걸 깨달았다"라는 부분에 밑줄을 그어 주셨죠.

"대중의	"/SS+대중/NNG+의/JKG
취향에	취향/NNG+에/JKB
맞추기보다,	맞추/VV+기/ETN+보다/JKB+,/SP
내가	내/NP+가/JKS
좋아하는	좋아하/VV+는/ETM
걸	거/NNB+ㄹ/JKO
던지고	던지/VV+고/EC
설득하는	설득/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
아티스트라는	아티스트/NNG+이/VCP+라는/ETM
깨달았다"라는	깨닫/VV+았/EP+다/EF+"/SS+이/VCP+라는/ETM
부분에	부분/NNG+에/JKB
밑줄을	밑줄/NNG+을/JKO
그어	긋/VV+어/EC
주셨죠.	주/VX+시/EP+었/EP+죠/EF+./SF


# id : NWRW1800000054.122.5.3
가수는 아니지만 시청자들과 소통하는 일을 하는 방송인으로서, 나만의 개성이 중요하다는 것을 저도 깨달았습니다.

가수는	가수/NNG+는/JX
아니지만	아니/VCN+지만/EC
시청자들과	시청자/NNG+들/XSN+과/JKB
소통하는	소통/NNG+하/XSV+는/ETM
일을	일/NNG+을/JKO
하는	하/VV+는/ETM
방송인으로서,	방송인/NNG+으로서/JKB+,/SP
나만의	나/NNG+만/JX+의/JKG
개성이	개성/NNG+이/JKS
중요하다는	중요/NNG+하/XSA+다는/ETM
것을	것/NNB+을/JKO
저도	저/NP+도/JX
깨달았습니다.	깨닫/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000054.122.6.1
대중 앞에 서는 일을 하면서 타인의 시선에 갈수록 예민해졌던 것 같아요.

대중	대중/NNG
앞에	앞/NNG+에/JKB
서는	서/VV+는/ETM
일을	일/NNG+을/JKO
하면서	하/VV+면서/EC
타인의	타인/NNG+의/JKG
시선에	시선/NNG+에/JKB
갈수록	가/VV+ㄹ수록/EC
예민해졌던	예민하/VA+아/EC+지/VX+었/EP+던/ETM
것	것/NNB
같아요.	같/VA+아요/EF+./SF


# id : NWRW1800000054.122.6.2
여러 사람에게 인정받으려 애쓰다 보니 제 색깔은 옅어지고요.

여러	여러/MMN
사람에게	사람/NNG+에게/JKB
인정받으려	인정/NNG+받/XSV+으려/EC
애쓰다	애쓰/VV+다/EC
보니	보/VX+니/EC
제	저/NP+의/JKG
색깔은	색깔/NNG+은/JX
옅어지고요.	옅/VA+어/EC+지/VX+고/EC+요/JX+./SF


# id : NWRW1800000054.122.6.3
본인 컬러가 분명한 사람을 부러워만 했는데, 저마다의 시행착오와 타이밍이 있었습니다.

본인	본인/NNG
컬러가	컬러/NNG+가/JKS
분명한	분명/MAG+하/XSA+ㄴ/ETM
사람을	사람/NNG+을/JKO
부러워만	부럽/VA+어/EC+만/JX
했는데,	하/VX+았/EP+는데/EC+,/SP
저마다의	저마다/NNG+의/JKG
시행착오와	시행착오/NNG+와/JC
타이밍이	타이밍/NNG+이/JKS
있었습니다.	있/VA+었/EP+습니다/EF+./SF


# id : NWRW1800000054.122.6.4
제가 갈등했던 시간도 결국 저를 저답게 만들어준 과정이었을 거예요.

제가	제/NP+가/JKS
갈등했던	갈등/NNG+하/XSV+았/EP+던/ETM
시간도	시간/NNG+도/JX
결국	결국/MAG
저를	저/NP+를/JKO
저답게	저/NP+답/XSA+게/EC
만들어준	만들/VV+어/EC+주/VX+ㄴ/ETM
과정이었을	과정/NNG+이/VCP+었/EP+을/ETM
거예요.	거/NNB+이/VCP+에요/EF+./SF


# id : NWRW1800000054.122.7.1
올해는 참 오랜만에 내가 진정 원하는 것은 무엇인지, 어떤 삶을 살고 싶은지 깊게 들여다봤습니다.

올해는	올해/NNG+는/JX
참	참/MAG
오랜만에	오랜만/NNG+에/JKB
내가	내/NP+가/JKS
진정	진정/MAG
원하는	원/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
무엇인지,	무엇/NP+이/VCP+ㄴ지/EC+,/SP
어떤	어떤/MMD
삶을	삶/NNG+을/JKO
살고	살/VV+고/EC
싶은지	싶/VX+은지/EC
깊게	깊/VA+게/EC
들여다봤습니다.	들여다보/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000054.122.7.2
한순간에 선명해지지는 않아요.

한순간에	한순간/NNG+에/JKB
선명해지지는	선명/NNG+하/XSA+아/EC+지/VX+지/EC+는/JX
않아요.	않/VX+아요/EF+./SF


# id : NWRW1800000054.122.7.3
작년 다이어리 샀던 그 겨울부터, 오늘 맞이한 새 겨울까지 하루하루 조금 더 나답게 살고자 노력 중입니다.

작년	작년/NNG
다이어리	다이어리/NNG
샀던	사/VV+았/EP+던/ETM
그	그/MMD
겨울부터,	겨울/NNG+부터/JX+,/SP
오늘	오늘/MAG
맞이한	맞이하/VV+ㄴ/ETM
새	새/MMA
겨울까지	겨울/NNG+까지/JX
하루하루	하루하루/MAG
조금	조금/MAG
더	더/MAG
나답게	나/NP+답/XSA+게/EC
살고자	살/VV+고자/EC
노력	노력/NNG
중입니다.	중/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000054.122.7.4
농도가 짙어질수록 방송과 글과 삶에서 자연스레 묻어나겠지요.

농도가	농도/NNG+가/JKS
짙어질수록	짙어지/VV+ㄹ수록/EC
방송과	방송/NNG+과/JC
글과	글/NNG+과/JC
삶에서	삶/NNG+에서/JKB
자연스레	자연스레/MAG
묻어나겠지요.	묻어나/VV+겠/EP+지요/EF+./SF


# id : NWRW1800000054.122.8.1
12월이 시작되면서 이 계절도 모습이 또렷해졌습니다.

12월이	12/SN+월/NNB+이/JKS
시작되면서	시작/NNG+되/XSV+면서/EC
이	이/MMD
계절도	계절/NNG+도/JX
모습이	모습/NNG+이/JKS
또렷해졌습니다.	또렷하/VA+아/EC+지/VX+었/EP+습니다/EF+./SF


# id : NWRW1800000054.122.8.2
어제부터 한파가 기승을 부렸지요.

어제부터	어제/NNG+부터/JX
한파가	한파/NNG+가/JKS
기승을	기승/NNG+을/JKO
부렸지요.	부리/VV+었/EP+지요/EF+./SF


# id : NWRW1800000054.122.8.3
이제 본격적으로 '겨울다운' 날씨가 이어질 거예요.

이제	이제/MAG
본격적으로	본격/NNG+적/XSN+으로/JKB
'겨울다운'	'/SS+겨울/NNG+답/XSA+ㄴ/ETM+'/SS
날씨가	날씨/NNG+가/JKS
이어질	이어지/VV+ㄹ/ETM
거예요.	거/NNB+이/VCP+에요/EF+./SF


# id : NWRW1800000054.122.8.4
바쁜 연말, 건강 잘 챙기세요!

바쁜	바쁘/VA+ㄴ/ETM
연말,	연말/NNG+,/SP
건강	건강/NNG
잘	잘/MAG
챙기세요!	챙기/VV+시/EP+어요/EF+!/SF


