# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.119
metadata : {}


# id : NWRW1800000021.119.1.1
가난으로 포기했던 공부 20년 恨 이젠 풀고 싶어

가난으로	가난/NNG+으로/JKB
포기했던	포기/NNG+하/XSV+았/EP+던/ETM
공부	공부/NNG
20년	20/SN+년/NNB
恨	恨/SH
이젠	이제/NNG+ㄴ/JX
풀고	풀/VV+고/EC
싶어	싶/VX+어/EF


# id : NWRW1800000021.119.2.1
고교 졸업 후 20년간 가슴 한구석에는 진한 아쉬움 하나가 자리 잡고 있었다.

고교	고교/NNG
졸업	졸업/NNG
후	후/NNG
20년간	20/SN+년/NNB+간/XSN
가슴	가슴/NNG
한구석에는	한구석/NNG+에/JKB+는/JX
진한	진하/VA+ㄴ/ETM
아쉬움	아쉬움/NNG
하나가	하나/NR+가/JKS
자리	자리/NNG
잡고	잡/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.119.2.2
힘겨운 집안 사정으로 대학은 꿈조차 꿀 수 없었다.

힘겨운	힘겹/VA+ㄴ/ETM
집안	집안/NNG
사정으로	사정/NNG+으로/JKB
대학은	대학/NNG+은/JX
꿈조차	꿈/NNG+조차/JX
꿀	꾸/VV+ㄹ/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.119.2.3
그런 그가 무거운 짐을 벗기 위해 어려운 용기를 내고 있다.

그런	그런/MMD
그가	그/NP+가/JKS
무거운	무겁/VA+ㄴ/ETM
짐을	짐/NNG+을/JKO
벗기	벗/VV+기/ETN
위해	위하/VV+아/EC
어려운	어렵/VA+ㄴ/ETM
용기를	용기/NNG+를/JKO
내고	내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.119.3.1
미국프로골프(PGA)투어에서 활약 중인 ‘바람의 아들’ 양용은(37·테일러메이드).

미국프로골프(PGA)투어에서	미국/NNP+프로/NNG+골프/NNG+(/SS+PGA/SL+)/SS+투어/NNG+에서/JKB
활약	활약/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
‘바람의	‘/SS+바람/NNG+의/JKG
아들’	아들/NNG+’/SS
양용은(37·테일러메이드).	양용은/NNP+(/SS+37/SN+·/SP+테일러메이드/NNP+)/SS+./SF


# id : NWRW1800000021.119.3.2
지난달 혼다클래식에서 PGA투어 첫 우승의 쾌거를 이룬 그는 마흔을 바라보는 나이에 국내 대학의 문을 두드리고 있다.

지난달	지난달/NNG
혼다클래식에서	혼다클래식/NNG+에서/JKB
PGA투어	PGA/SL+투어/NNG
첫	첫/MMN
우승의	우승/NNG+의/JKG
쾌거를	쾌거/NNG+를/JKO
이룬	이루/VV+ㄴ/ETM
그는	그/NP+는/JX
마흔을	마흔/NR+을/JKO
바라보는	바라보/VV+는/ETM
나이에	나이/NNG+에/JKB
국내	국내/NNG
대학의	대학/NNG+의/JKG
문을	문/NNG+을/JKO
두드리고	두드리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.119.3.3
체육특기생으로 대학에 진학해 만학의 길을 걷겠다는 것이다.

체육특기생으로	체육/NNG+특기/NNG+생/XSN+으로/JKB
대학에	대학/NNG+에/JKB
진학해	진학/NNG+하/XSV+아/EC
만학의	만학/NNG+의/JKG
길을	길/NNG+을/JKO
걷겠다는	걷/VV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.119.3.4
그는 9월 고려대 수시모집을 통해 체육교육과에 지원할 것으로 알려졌다.

그는	그/NP+는/JX
9월	9/SN+월/NNB
고려대	고려대/NNP
수시모집을	수시/NNG+모집/NNG+을/JKO
통해	통하/VV+아/EC
체육교육과에	체육/NNG+교육과/NNG+에/JKB
지원할	지원/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.119.4.1
양용은은 9일 개막하는 시즌 첫 메이저 골프대회인 ‘명인의 열전’ 마스터스 출전을 위해 미국 조지아 주 애틀랜타에 머물고 있다.

양용은은	양용은/NNP+은/JX
9일	9/SN+일/NNB
개막하는	개막/NNG+하/XSV+는/ETM
시즌	시즌/NNG
첫	첫/MMN
메이저	메이저/NNG
골프대회인	골프/NNG+대회/NNG+이/VCP+ㄴ/ETM
‘명인의	‘/SS+명인/NNG+의/JKG
열전’	열전/NNG+’/SS
마스터스	마스터스/NNG
출전을	출전/NNG+을/JKO
위해	위하/VV+아/EC
미국	미국/NNP
조지아	조지아/NNP
주	주/NNG
애틀랜타에	애틀랜타/NNP+에/JKB
머물고	머물/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.119.4.2
그는 “공부에 대한 미련이 많았다.

그는	그/NP+는/JX
“공부에	“/SS+공부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
미련이	미련/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000021.119.4.3
대학에 가는 친구들을 보면 무척 부러웠다.

대학에	대학/NNG+에/JKB
가는	가/VV+는/ETM
친구들을	친구/NNG+들/XSN+을/JKO
보면	보/VV+면/EC
무척	무척/MAG
부러웠다.	부럽/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.119.4.4
더 늦기 전에 꼭 뭔가를 해보고 싶었다”고 말했다.

더	더/MAG
늦기	늦/VA+기/ETN
전에	전/NNG+에/JKB
꼭	꼭/MAG
뭔가를	뭐/NP+이/VCP+ㄴ가/EF+를/JKO
해보고	하/VV+아/EC+보/VX+고/EC
싶었다”고	싶/VX+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.119.4.5
하지만 부담도 크다.

하지만	하지만/MAJ
부담도	부담/NNG+도/JX
크다.	크/VA+다/EF+./SF


# id : NWRW1800000021.119.4.6
세 아들을 둔 학부모이기도 한 그는 “늦은 나이에 간판이나 졸업장 때문에 대학에 가는 게 아니냐는 말이 나올까 걱정”이라고 말했다.

세	세/MMN
아들을	아들/NNG+을/JKO
둔	두/VV+ㄴ/ETM
학부모이기도	학부모/NNG+이/VCP+기/ETN+도/JX
한	하/VX+ㄴ/ETM
그는	그/NP+는/JX
“늦은	“/SS+늦/VA+은/ETM
나이에	나이/NNG+에/JKB
간판이나	간판/NNG+이나/JC
졸업장	졸업장/NNG
때문에	때문/NNB+에/JKB
대학에	대학/NNG+에/JKB
가는	가/VV+는/ETM
게	거/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
말이	말/NNG+이/JKS
나올까	나오/VV+ㄹ까/EF
걱정”이라고	걱정/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.119.5.1
프로골퍼 가운데 박세리(숙명여대), 박지은(이화여대), 신지애 김경태(이상 연세대)가 해외 투어에서 활동하면서도 인터넷 등 원격수업으로 학위를 취득했거나 재학 중이다.

프로골퍼	프로/NNG+골퍼/NNG
가운데	가운데/NNG
박세리(숙명여대),	박세리/NNP+(/SS+숙명여대/NNP+)/SS+,/SP
박지은(이화여대),	박지은/NNP+(/SS+이화여대/NNP+)/SS+,/SP
신지애	신지애/NNP
김경태(이상	김경태/NNP+(/SS+이상/NNG
연세대)가	연세대/NNP+)/SS+가/JKS
해외	해외/NNG
투어에서	투어/NNG+에서/JKB
활동하면서도	활동/NNG+하/XSV+면서/EC+도/JX
인터넷	인터넷/NNG
등	등/NNB
원격수업으로	원격/NNG+수업/NNG+으로/JKB
학위를	학위/NNG+를/JKO
취득했거나	취득/NNG+하/XSV+았/EP+거나/EC
재학	재학/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.119.5.2
고려대 체육위원회 관계자는 “국위를 선양한 양 프로는 입학 자격이 충분하다”고 밝혔다.

고려대	고려대/NNP
체육위원회	체육/NNG+위원회/NNG
관계자는	관계자/NNG+는/JX
“국위를	“/SS+국위/NNG+를/JKO
선양한	선양/NNG+하/XSV+ㄴ/ETM
양	양/NNP
프로는	프로/NNG+는/JX
입학	입학/NNG
자격이	자격/NNG+이/JKS
충분하다”고	충분하/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.119.6.1
양용은은 제주에서 감귤농사를 짓던 가난한 집안의 3남 5녀 가운데 넷째로 태어났다.

양용은은	양용은/NNP+은/JX
제주에서	제주/NNP+에서/JKB
감귤농사를	감귤/NNG+농사/NNG+를/JKO
짓던	짓/VV+던/ETM
가난한	가난/NNG+하/XSA+ㄴ/ETM
집안의	집안/NNG+의/JKG
3남	3/SN+남/NNG
5녀	5/SN+녀/NNG
가운데	가운데/NNG
넷째로	넷째/NR+로/JKB
태어났다.	태어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.119.6.2
고교 시절 보디빌더를 지망하다 골프연습장 볼 보이, 나이트클럽 웨이터 아르바이트 등 역경을 딛고 세계 정상급 골퍼로 발돋움했다.

고교	고교/NNG
시절	시절/NNG
보디빌더를	보디빌더/NNG+를/JKO
지망하다	지망/NNG+하/XSV+다/EC
골프연습장	골프/NNG+연습장/NNG
볼	볼/NNG
보이,	보이/NNG+,/SP
나이트클럽	나이트클럽/NNG
웨이터	웨이터/NNG
아르바이트	아르바이트/NNG
등	등/NNB
역경을	역경/NNG+을/JKO
딛고	딛/VV+고/EC
세계	세계/NNG
정상급	정상급/NNG
골퍼로	골퍼/NNG+로/JKB
발돋움했다.	발돋움/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.119.6.3
2006년부터 해마다 모교인 제주관광산업고에 체육발전기금, 골프채 등을 전달하며 자신처럼 어려운 여건의 후배들에게 작은 힘이 되기 위한 따뜻한 선행을 실천하고 있다.

2006년부터	2006/SN+년/NNB+부터/JX
해마다	해마다/MAG
모교인	모교/NNG+이/VCP+ㄴ/ETM
제주관광산업고에	제주관광산업고/NNP+에/JKB
체육발전기금,	체육/NNG+발전/NNG+기금/NNG+,/SP
골프채	골프채/NNG
등을	등/NNB+을/JKO
전달하며	전달/NNG+하/XSV+며/EC
자신처럼	자신/NNG+처럼/JKB
어려운	어렵/VA+ㄴ/ETM
여건의	여건/NNG+의/JKG
후배들에게	후배/NNG+들/XSN+에게/JKB
작은	작/VA+은/ETM
힘이	힘/NNG+이/JKC
되기	되/VV+기/ETN
위한	위하/VV+ㄴ/ETM
따뜻한	따뜻하/VA+ㄴ/ETM
선행을	선행/NNG+을/JKO
실천하고	실천/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.119.6.4
양용은은 내년에 대학에 입학하면 1990년 고교의 문을 떠난 지 20년 만에 캠퍼스 새내기가 된다.

양용은은	양용은/NNP+은/JX
내년에	내년/NNG+에/JKB
대학에	대학/NNG+에/JKB
입학하면	입학/NNG+하/XSV+면/EC
1990년	1990/SN+년/NNB
고교의	고교/NNG+의/JKG
문을	문/NNG+을/JKO
떠난	떠나/VV+ㄴ/ETM
지	지/NNB
20년	20/SN+년/NNB
만에	만/NNB+에/JKB
캠퍼스	캠퍼스/NNG
새내기가	새내기/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.119.6.5
또 다른 인간 승리의 드라마가 시작되고 있다.

또	또/MAG
다른	다른/MMD
인간	인간/NNG
승리의	승리/NNG+의/JKG
드라마가	드라마/NNG+가/JKS
시작되고	시작/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


