# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.187
metadata : {}


# id : NWRW1800000029.187.1.1
日 팬들도 ‘KARA 앓이’

日	日/SH
팬들도	팬/NNG+들/XSN+도/JX
‘KARA	‘/SS+KARA/SL
앓이’	앓이/NNG+’/SS


# id : NWRW1800000029.187.2.1
5인조 한류 걸그룹 ‘카라’가 일부 멤버의 탈퇴로 활동이 중단될 위기에 빠졌다.

5인조	5/SN+인/NNG+조/NNG
한류	한류/NNG
걸그룹	걸그룹/NNG
‘카라’가	‘/SS+카라/NNP+’/SS+가/JKS
일부	일부/NNG
멤버의	멤버/NNG+의/JKG
탈퇴로	탈퇴/NNG+로/JKB
활동이	활동/NNG+이/JKS
중단될	중단/NNG+되/XSV+ㄹ/ETM
위기에	위기/NNG+에/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.187.3.1
카라의 멤버 한승연 정니콜 강지영이 19일 소속사 DSP미디어에 전속 계약 해지를 요구한 후 카라 전체의 연예 활동이 잠정 중단됐다.

카라의	카라/NNP+의/JKG
멤버	멤버/NNG
한승연	한승연/NNP
정니콜	정니콜/NNP
강지영이	강지영/NNP+이/JKS
19일	19/SN+일/NNB
소속사	소속사/NNG
DSP미디어에	DSP미디어/NNP+에/JKB
전속	전속/NNG
계약	계약/NNG
해지를	해지/NNG+를/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
후	후/NNG
카라	카라/NNP
전체의	전체/NNG+의/JKG
연예	연예/NNG
활동이	활동/NNG+이/JKS
잠정	잠정/NNG
중단됐다.	중단/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.187.3.2
잔류 의사를 밝힌 리더 박규리도 라디오 진행을 중단했다.

잔류	잔류/NNG
의사를	의사/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
리더	리더/NNG
박규리도	박규리/NNP+도/JX
라디오	라디오/NNG
진행을	진행/NNG+을/JKO
중단했다.	중단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.187.4.1
소속사 측은 “문제가 원만하게 해결되길 바란다”고 밝혔지만 3명의 멤버가 계약 해지 요구를 철회할 가능성은 높지 않다.

소속사	소속사/NNG
측은	측/NNB+은/JX
“문제가	“/SS+문제/NNG+가/JKS
원만하게	원만하/VA+게/EC
해결되길	해결/NNG+되/XSV+기/ETN+ㄹ/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔지만	밝히/VV+었/EP+지만/EC
3명의	3/SN+명/NNB+의/JKG
멤버가	멤버/NNG+가/JKS
계약	계약/NNG
해지	해지/NNG
요구를	요구/NNG+를/JKO
철회할	철회/NNG+하/XSV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
높지	높/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000029.187.4.2
정니콜의 어머니는 20일 오전 트위터에 “돈 때문에 자식의 인생을 놓고 도박하는 부모는 없다.

정니콜의	정니콜/NNP+의/JKG
어머니는	어머니/NNG+는/JX
20일	20/SN+일/NNB
오전	오전/NNG
트위터에	트위터/NNP+에/JKB
“돈	“/SS+돈/NNG
때문에	때문/NNB+에/JKB
자식의	자식/NNG+의/JKG
인생을	인생/NNG+을/JKO
놓고	놓/VV+고/EC
도박하는	도박/NNG+하/XSV+는/ETM
부모는	부모/NNG+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000029.187.4.3
앞으로 넘어야 할 산들이 우리 앞에 있다는 걸 알면서도 선택한 길”이라는 글을 올려 탈퇴 결정을 번복할 의사가 없음을 간접적으로 밝혔다.

앞으로	앞/NNG+으로/JKB
넘어야	넘/VV+어야/EC
할	하/VX+ㄹ/ETM
산들이	산/NNG+들/XSN+이/JKS
우리	우리/NP
앞에	앞/NNG+에/JKB
있다는	있/VA+다는/ETM
걸	거/NNB+ㄹ/JKO
알면서도	알/VV+면서/EC+도/JX
선택한	선택/NNG+하/XSV+ㄴ/ETM
길”이라는	길/NNG+”/SS+이/VCP+라는/ETM
글을	글/NNG+을/JKO
올려	올리/VV+어/EC
탈퇴	탈퇴/NNG
결정을	결정/NNG+을/JKO
번복할	번복/NNG+하/XSV+ㄹ/ETM
의사가	의사/NNG+가/JKS
없음을	없/VA+음/ETN+을/JKO
간접적으로	간접/NNG+적/XSN+으로/JKB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.187.5.1
카라의 데뷔 초기부터 곡을 만들어 온 한재호 작곡가도 이날 오전 트위터에 “5명이 아닌 카라는 카라가 아니라고 생각한다.

카라의	카라/NNP+의/JKG
데뷔	데뷔/NNG
초기부터	초기/NNG+부터/JX
곡을	곡/NNG+을/JKO
만들어	만들/VV+어/EC
온	오/VX+ㄴ/ETM
한재호	한재호/NNP
작곡가도	작곡가/NNG+도/JX
이날	이날/NNG
오전	오전/NNG
트위터에	트위터/NNP+에/JKB
“5명이	“/SS+5/SN+명/NNB+이/JKC
아닌	아니/VCN+ㄴ/ETM
카라는	카라/NNP+는/JX
카라가	카라/NNP+가/JKC
아니라고	아니/VCN+라고/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.187.5.2
5명이 아닌 카라의 작업은 하지 않겠다”는 글을 올렸다.

5명이	5/SN+명/NNB+이/JKS
아닌	아니/VCN+ㄴ/ETM
카라의	카라/NNP+의/JKG
작업은	작업/NNG+은/JX
하지	하/VV+지/EC
않겠다”는	않/VX+겠/EP+다/EF+”/SS+는/ETM
글을	글/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.187.6.1
특히 카라는 일본에서도 예능과 음악 프로그램은 물론 드라마에서도 활동해왔기 때문에 이번 전속 계약 분쟁으로 활동이 잠정적이나마 중단될 경우 손해배상 소송을 당하는 등 후폭풍이 만만찮을 것으로 전망된다.

특히	특히/MAG
카라는	카라/NNP+는/JX
일본에서도	일본/NNP+에서/JKB+도/JX
예능과	예능/NNG+과/JC
음악	음악/NNG
프로그램은	프로그램/NNG+은/JX
물론	물론/MAG
드라마에서도	드라마/NNG+에서/JKB+도/JX
활동해왔기	활동/NNG+하/XSV+아/EC+오/VX+았/EP+기/ETN
때문에	때문/NNB+에/JKB
이번	이번/NNG
전속	전속/NNG
계약	계약/NNG
분쟁으로	분쟁/NNG+으로/JKB
활동이	활동/NNG+이/JKS
잠정적이나마	잠정/NNG+적/XSN+이나마/JX
중단될	중단/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
손해배상	손해/NNG+배상/NNG
소송을	소송/NNG+을/JKO
당하는	당하/VV+는/ETM
등	등/NNB
후폭풍이	후폭풍/NNG+이/JKS
만만찮을	만만찮/VA+을/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.187.7.1
지난해 8월 일본에서 데뷔한 카라는 일본에서만 싱글 2장, 앨범 5장, DVD 1장 등 8장을 발표해 13억 엔(약 180억 원)을 벌어들였다.

지난해	지난해/NNG
8월	8/SN+월/NNB
일본에서	일본/NNP+에서/JKB
데뷔한	데뷔/NNG+하/XSV+ㄴ/ETM
카라는	카라/NNP+는/JX
일본에서만	일본/NNP+에서/JKB+만/JX
싱글	싱글/NNG
2장,	2/SN+장/NNB+,/SP
앨범	앨범/NNG
5장,	5/SN+장/NNB+,/SP
DVD	DVD/SL
1장	1/SN+장/NNB
등	등/NNB
8장을	8/SN+장/NNB+을/JKO
발표해	발표/NNG+하/XSV+아/EC
13억	13/SN+억/NR
엔(약	엔/NNB+(/SS+약/MMA
180억	180/SN+억/NR
원)을	원/NNB+)/SS+을/JKO
벌어들였다.	벌어들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.187.7.2
카라가 주인공을 맡아 14일 첫 방송을 시작한 일본 드라마 ‘우라카라’는 시청률 4.3%를 기록하며 순조롭게 출발했으나 이후 카라가 녹화에 참여하지 않을 경우 드라마 방영에 차질을 빚게 된다.

카라가	카라/NNP+가/JKS
주인공을	주인공/NNG+을/JKO
맡아	맡/VV+아/EC
14일	14/SN+일/NNB
첫	첫/MMN
방송을	방송/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
일본	일본/NNP
드라마	드라마/NNG
‘우라카라’는	‘/SS+우라카라/NNP+’/SS+는/JX
시청률	시청/NNG+률/XSN
4.3%를	4/SN+./SP+3/SN+%/SW+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
순조롭게	순조/NNG+롭/XSA+게/EC
출발했으나	출발/NNG+하/XSV+았/EP+으나/EC
이후	이후/NNG
녹화에	녹화/NNG+에/JKB
참여하지	참여/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
경우	경우/NNG
방영에	방영/NNG+에/JKB
차질을	차질/NNG+을/JKO
빚게	빚/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.187.8.1
일본에서 한국 걸그룹 붐을 주도해온 카라의 팀 해체 소식이 전해지자 일본 주요 신문과 방송은 관련 소식을 비중 있게 보도했다.

일본에서	일본/NNP+에서/JKB
한국	한국/NNP
걸그룹	걸그룹/NNG
붐을	붐/NNG+을/JKO
주도해온	주도/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
카라의	카라/NNP+의/JKG
팀	팀/NNG
해체	해체/NNG
소식이	소식/NNG+이/JKS
전해지자	전하/VV+아/EC+지/VX+자/EC
일본	일본/NNP
주요	주요/NNG
신문과	신문/NNG+과/JC
방송은	방송/NNG+은/JX
관련	관련/NNG
소식을	소식/NNG+을/JKO
비중	비중/NNG
있게	있/VA+게/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.187.8.2
마이니치신문의 20일자 조간 기사.

마이니치신문의	마이니치신문/NNP+의/JKG
20일자	20/SN+일/NNB+자/NNG
조간	조간/NNG
기사.	기사/NNG+./SF


# id : NWRW1800000029.187.9.1
일본 매체와 언론은 카라와 소속사의 전속계약 해지 갈등 소식에 큰 관심을 보이고 있다.

일본	일본/NNP
매체와	매체/NNG+와/JKB
언론은	언론/NNG+은/JX
카라와	카라/NNP+와/JC
소속사의	소속사/NNG+의/JKG
전속계약	전속/NNG+계약/NNG
해지	해지/NNG
갈등	갈등/NNG
소식에	소식/NNG+에/JKB
큰	크/VA+ㄴ/ETM
관심을	관심/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.187.9.2
포털 사이트 야후저팬의 경우 한국 인터넷에 카라 관련 뉴스가 올라온 지 1시간여 후인 19일 오전 10시 반부터 카라 해체설 관련 뉴스를 제공하기 시작했다.

포털	포털/NNG
사이트	사이트/NNG
야후저팬의	야후저팬/NNP+의/JKG
경우	경우/NNG
한국	한국/NNP
인터넷에	인터넷/NNG+에/JKB
카라	카라/NNP
관련	관련/NNG
뉴스가	뉴스/NNG+가/JKS
올라온	올라오/VV+ㄴ/ETM
지	지/NNB
1시간여	1/SN+시간/NNB+여/XSN
후인	후/NNG+이/VCP+ㄴ/ETM
19일	19/SN+일/NNB
오전	오전/NNG
10시	10/SN+시/NNB
반부터	반/NNG+부터/JX
해체설	해체설/NNG
뉴스를	뉴스/NNG+를/JKO
제공하기	제공/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.187.9.3
이날 저녁에는 요미우리와 마이니치신문 등 주요 언론의 인터넷판과 민영 방송사들도 이 소식을 전했다.

이날	이날/NNG
저녁에는	저녁/NNG+에/JKB+는/JX
요미우리와	요미우리/NNP+와/JC
마이니치신문	마이니치신문/NNP
등	등/NNB
주요	주요/NNG
언론의	언론/NNG+의/JKG
인터넷판과	인터넷판/NNG+과/JC
민영	민영/NNG
방송사들도	방송사/NNG+들/XSN+도/JX
이	이/MMD
소식을	소식/NNG+을/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.187.10.1
마이니치는 20일자 조간 사회면에 ‘카라 분열 위기’ ‘카라 멤버 4명이 전속계약 해약’이라는 제목으로 멤버의 사진과 함께 이 소식을 보도했다.

마이니치는	마이니치/NNP+는/JX
20일자	20/SN+일/NNB+자/NNG
조간	조간/NNG
사회면에	사회면/NNG+에/JKB
‘카라	‘/SS+카라/NNP
분열	분열/NNG
위기’	위기/NNG+’/SS
멤버	멤버/NNG
4명이	4/SN+명/NNB+이/JKS
전속계약	전속/NNG+계약/NNG
해약’이라는	해약/NNG+’/SS+이/VCP+라는/ETM
제목으로	제목/NNG+으로/JKB
멤버의	멤버/NNG+의/JKG
사진과	사진/NNG+과/JKB
함께	함께/MAG
이	이/MMD
소식을	소식/NNG+을/JKO
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.187.11.1
야후저팬과 구글 사이트에는 카라의 팀 해체 가능성을 묻는 질문과 답글이 수천 건씩 올라왔다.

야후저팬과	야후저팬/NNP+과/JC
구글	구글/NNP
사이트에는	사이트/NNG+에/JKB+는/JX
카라의	카라/NNP+의/JKG
팀	팀/NNG
해체	해체/NNG
가능성을	가능/NNG+성/XSN+을/JKO
묻는	묻/VV+는/ETM
질문과	질문/NNG+과/JC
답글이	답글/NNG+이/JKS
수천	수천/NR
건씩	건/NNB+씩/XSN
올라왔다.	올라오/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.187.11.2
이 중에는 “한국 연예계에서 툭하면 전속 계약을 둘러싸고 갈등이 생기는 이유가 뭐냐”는 비판적인 댓글도 적지 않다.

이	이/NP
중에는	중/NNB+에/JKB+는/JX
“한국	“/SS+한국/NNP
연예계에서	연예/NNG+계/XSN+에서/JKB
툭하면	툭하면/MAG
전속	전속/NNG
계약을	계약/NNG+을/JKO
둘러싸고	둘러싸/VV+고/EC
갈등이	갈등/NNG+이/JKS
생기는	생기/VV+는/ETM
이유가	이유/NNG+가/JKS
뭐냐”는	뭐/NP+이/VCP+냐/EF+”/SS+는/ETM
비판적인	비판/NNG+적/XSN+이/VCP+ㄴ/ETM
댓글도	댓글/NNG+도/JX
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000029.187.12.1
강태규 대중음악평론가는 “소속사와 가수의 갈등이 공들여 놓은 한류 상승세에 찬물을 끼얹는 꼴”이라며 “기획사와 연예인 모두 자신의 잇속만 챙길 게 아니라 끊임없는 소통으로 신뢰를 확보해야 한다”고 지적했다.

강태규	강태규/NNP
대중음악평론가는	대중음악/NNG+평론가/NNG+는/JX
“소속사와	“/SS+소속사/NNG+와/JC
