# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.385
metadata : {}


# id : NWRW1800000033.385.1.1
[대선 D-11]朴 “文 정권 잡으면 국민들 노선투쟁-편가르기에 시달릴 것”

[대선	[/SS+대선/NNG
D-11]朴	D/SL+-/SO+11/SN+]/SS+朴/SH
“文	“/SS+文/SH
정권	정권/NNG
잡으면	잡/VV+으면/EC
국민들	국민/NNG+들/XSN
노선투쟁-편가르기에	노선/NNG+투쟁/NNG+-/SO+편/NNG+가르/VV+기/ETN+에/JKB
시달릴	시달리/VV+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000033.385.2.1
■ 서울 동부권 유세 “무책임한 변화는 민생 망쳐” 文-安 연대 겨냥 공세… 약속 지키는 대통령 강조

■	■/SW
서울	서울/NNP
동부권	동부/NNG+권/XSN
유세	유세/NNG
“무책임한	“/SS+무/XPN+책임/NNG+하/XSA+ㄴ/ETM
변화는	변화/NNG+는/JX
민생	민생/NNG
망쳐”	망치/VV+어/EF+”/SS
文-安	文/SH+-/SO+安/SH
연대	연대/NNG
겨냥	겨냥/NNG
공세…	공세/NNG+…/SE
약속	약속/NNG
지키는	지키/VV+는/ETM
대통령	대통령/NNG
강조	강조/NNG


# id : NWRW1800000033.385.3.1
새누리당 박근혜 대선후보는 7일 경동시장 사거리 등 서울 동부권 네 곳을 돌며 ‘중산층 복원과 책임 있는 변화’를 강조했다.

새누리당	새누리당/NNP
박근혜	박근혜/NNP
대선후보는	대선/NNG+후보/NNG+는/JX
7일	7/SN+일/NNB
경동시장	경동시장/NNP
사거리	사거리/NNG
등	등/NNB
서울	서울/NNP
동부권	동부/NNG+권/XSN
네	네/MMN
곳을	곳/NNG+을/JKO
돌며	돌/VV+며/EC
‘중산층	‘/SS+중산/NNG+층/XSN
복원과	복원/NNG+과/JC
책임	책임/NNG
있는	있/VA+는/ETM
변화’를	변화/NNG+’/SS+를/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.385.3.2
민주통합당 문재인 대선후보와 안철수 전 후보의 본격적인 공조 유세에 ‘민생 행보’로 정면 돌파하겠다는 의지를 보인 것이다.

민주통합당	민주통합당/NNP
문재인	문재인/NNP
대선후보와	대선/NNG+후보/NNG+와/JC
안철수	안철수/NNP
전	전/MMD
후보의	후보/NNG+의/JKG
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
공조	공조/NNG
유세에	유세/NNG+에/JKB
‘민생	‘/SS+민생/NNG
행보’로	행보/NNG+’/SS+로/JKB
정면	정면/NNG
돌파하겠다는	돌파/NNG+하/XSV+겠/EP+다는/ETM
의지를	의지/NNG+를/JKO
보인	보이/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.385.4.1
