# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.43
metadata : {}


# id : NWRW1800000030.43.1.1
中, 美·러 전유물이었던 우주정거장에 도전장

中,	中/SH+,/SP
美·러	美/SH+·/SP+러/NNP
전유물이었던	전유물/NNG+이/VCP+었/EP+던/ETM
우주정거장에	우주/NNG+정거장/NNG+에/JKB
도전장	도전장/NNG


# id : NWRW1800000030.43.2.1
•'톈궁 1호' 이달 말 발사… 도킹 실험용 첫 우주정거장 발사 후 2달간 성공여부 점검

•'톈궁	•/SW+'/SS+톈궁/NNP
1호'	1/SN+호/NNB+'/SS
이달	이달/NNG
말	말/NNB
발사…	발사/NNG+…/SE
도킹	도킹/NNG
실험용	실험/NNG+용/XSN
첫	첫/MMN
우주정거장	우주/NNG+정거장/NNG
발사	발사/NNG
후	후/NNG
2달간	2/SN+달/NNB+간/XSN
성공여부	성공/NNG+여부/NNG
점검	점검/NNG


# id : NWRW1800000030.43.3.1
미국과 러시아에 이어 자체 우주정거장을 보유하기 위한 중국의 첫 도전이 시작된다.

미국과	미국/NNP+과/JC
러시아에	러시아/NNP+에/JKB
이어	잇/VV+어/EC
자체	자체/NNG
우주정거장을	우주/NNG+정거장/NNG+을/JKO
보유하기	보유/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
중국의	중국/NNP+의/JKG
첫	첫/MMN
도전이	도전/NNG+이/JKS
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.43.4.1
중국 관영 신화통신은 20일, 중국 유인우주탐사프로젝트팀 대변인을 인용해 "첫 도킹 실험을 위한 시험용 소형 우주정거장 톈궁(天宮) 1호가 오는 27~30일 사이 적절한 시기를 선택해 간쑤(甘肅)성 주취안(酒泉) 우주발사기지에서 발사될 것"이라고 밝혔다.

중국	중국/NNP
관영	관영/NNG
신화통신은	신화통신/NNP+은/JX
20일,	20/SN+일/NNB+,/SP
유인우주탐사프로젝트팀	유인/NNG+우주/NNG+탐사/NNG+프로젝트팀/NNG
대변인을	대변인/NNG+을/JKO
인용해	인용/NNG+하/XSV+아/EC
"첫	"/SS+첫/MMN
도킹	도킹/NNG
실험을	실험/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
시험용	시험/NNG+용/XSN
소형	소형/NNG
우주정거장	우주/NNG+정거장/NNG
톈궁(天宮)	톈궁/NNP+(/SS+天宮/SH+)/SS
1호가	1/SN+호/NNB+가/JKS
오는	오/VV+는/ETM
27~30일	27/SN+~/SO+30/SN+일/NNB
사이	사이/NNG
적절한	적절하/VA+ㄴ/ETM
시기를	시기/NNG+를/JKO
선택해	선택/NNG+하/XSV+아/EC
간쑤(甘肅)성	간쑤/NNP+(/SS+甘肅/SH+)/SS+성/NNG
