# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.380
metadata : {}


# id : NWRW1800000046.380.1.1
"朴대통령 訪中 필요"… 열병식 참석은 의견 갈려

"朴대통령	"/SS+朴/SH+대통령/NNG
訪中	訪中/SH
필요"…	필요/NNG+"/SS+…/SE
열병식	열병식/NNG
참석은	참석/NNG+은/JX
의견	의견/NNG
갈려	갈리/VV+어/EF


# id : NWRW1800000046.380.2.1
美·中 전문가들 제언 "日과 美입장 고려해 열병식엔 불참해야" "빠지면 訪中 무의미"

美·中	美/SH+·/SP+中/SH
전문가들	전문가/NNG+들/XSN
제언	제언/NNG
"日과	"/SS+日/SH+과/JC
美입장	美/SH+입장/NNG
고려해	고려/NNG+하/XSV+아/EC
열병식엔	열병식/NNG+에/JKB+ㄴ/JX
불참해야"	불참/NNG+하/XSV+아야/EC+"/SS
"빠지면	"/SS+빠지/VV+면/EC
訪中	訪中/SH
무의미"	무/XPN+의미/NNG+"/SS


# id : NWRW1800000046.380.3.1
지난 14일 아베 신조(安倍晋三) 일본 총리의 전후(戰後) 70년 담화 발표 이후 외교가의 관심은 박근혜 대통령이 다음 달 3일 중국 전승절 행사에 참석할지에 쏠려 있다.

지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
아베	아베/NNP
신조(安倍晋三)	신조/NNP+(/SS+安倍晋三/SH+)/SS
일본	일본/NNP
총리의	총리/NNG+의/JKG
전후(戰後)	전후/NNG+(/SS+戰後/SH+)/SS
70년	70/SN+년/NNB
담화	담화/NNG
발표	발표/NNG
이후	이후/NNG
외교가의	외교가/NNG+의/JKG
관심은	관심/NNG+은/JX
박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
다음	다음/NNG
달	달/NNG
3일	3/SN+일/NNB
중국	중국/NNP
전승절	전승절/NNG
행사에	행사/NNG+에/JKB
참석할지에	참석/NNG+하/XSV+ㄹ지/EC+에/JKB
쏠려	쏠리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.380.3.2
본지는 17일 한·미 관계와 한·중 관계 전문가 7명에게 박 대통령의 중국 전승절 참석에 대한 의견을 물었다.

본지는	본지/NNG+는/JX
17일	17/SN+일/NNB
한·미	한·미/NNP
관계와	관계/NNG+와/JC
한·중	한·중/NNP
관계	관계/NNG
전문가	전문가/NNG
7명에게	7/SN+명/NNB+에게/JKB
박	박/NNP
대통령의	대통령/NNG+의/JKG
중국	중국/NNP
전승절	전승절/NNG
참석에	참석/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의견을	의견/NNG+을/JKO
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.380.3.3
이들은 방중 자체에 대해선 대체로 "국익에 도움이 된다"는 입장이었지만, 열병식 참석 등 각론에선 의견이 갈렸다.

이들은	이/NP+들/XSN+은/JX
방중	방중/NNG
자체에	자체/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
대체로	대체로/MAG
"국익에	"/SS+국익/NNG+에/JKB
도움이	도움/NNG+이/JKC
된다"는	되/VV+ㄴ다/EF+"/SS+는/ETM
입장이었지만,	입장/NNG+이/VCP+었/EP+지만/EC+,/SP
열병식	열병식/NNG
참석	참석/NNG
등	등/NNB
각론에선	각론/NNG+에서/JKB+ㄴ/JX
의견이	의견/NNG+이/JKS
갈렸다.	갈리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.380.4.1
7명의 전문가 중 6명은 일단 전승절 행사 참석을 위한 방중은 필요하다는 입장이었다.

7명의	7/SN+명/NNB+의/JKG
전문가	전문가/NNG
중	중/NNB
6명은	6/SN+명/NNB+은/JX
일단	일단/MAG
전승절	전승절/NNG
행사	행사/NNG
참석을	참석/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
방중은	방중/NNG+은/JX
필요하다는	필요/NNG+하/XSA+다는/ETM
입장이었다.	입장/NNG+이/VCP+었/EP+다/EF+./SF


