# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.262
metadata : {}


# id : NWRW1800000032.262.1.1
기출 문제·예상 문답 ‘실전처럼’

기출	기출/NNG
문제·예상	문제/NNG+·/SP+예상/NNG
문답	문답/NNG
‘실전처럼’	‘/SS+실전/NNG+처럼/JKB+’/SS


# id : NWRW1800000032.262.2.1
논술·면접 대비 이렇게

논술·면접	논술/NNG+·/SP+면접/NNG
대비	대비/NNG
이렇게	이렇/VA+게/EC


# id : NWRW1800000032.262.3.1
첨삭자료 꼼꼼히 복기를

첨삭자료	첨삭/NNG+자료/NNG
꼼꼼히	꼼꼼히/MAG
복기를	복기/NNG+를/JKO


# id : NWRW1800000032.262.4.1
전공정보 미리 알아둬야

전공정보	전공/NNG+정보/NNG
미리	미리/MAG
알아둬야	알/VV+아/EC+두/VX+어야/EC


# id : NWRW1800000032.262.5.1
대학수학능력시험(수능)이 끝난 뒤에는 논술과 면접 등 대학별 고사에 집중해야 한다.

대학수학능력시험(수능)이	대학/NNG+수학/NNG+능력/NNG+시험/NNG+(/SS+수능/NNG+)/SS+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤에는	뒤/NNG+에/JKB+는/JX
논술과	논술/NNG+과/JC
면접	면접/NNG
등	등/NNB
대학별	대학/NNG+별/XSN
고사에	고사/NNG+에/JKB
집중해야	집중/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000032.262.5.2
올해부터 정부의 ‘논술 축소’ 방침에 따라 논술고사 성적으로만 학생을 뽑는 ‘논술 100% 전형’은 없어졌지만, 수능을 점수로 반영하지 못하는 수시모집에서 논술 반영 비율은 50~80%로 여전히 높다.

올해부터	올해/NNG+부터/JX
정부의	정부/NNG+의/JKG
‘논술	‘/SS+논술/NNG
축소’	축소/NNG+’/SS
방침에	방침/NNG+에/JKB
따라	따르/VV+아/EC
논술고사	논술/NNG+고사/NNG
성적으로만	성적/NNG+으로/JKB+만/JX
학생을	학생/NNG+을/JKO
뽑는	뽑/VV+는/ETM
100%	100/SN+%/SW
전형’은	전형/NNG+’/SS+은/JX
없어졌지만,	없어지/VV+었/EP+지만/EC+,/SP
수능을	수능/NNG+을/JKO
점수로	점수/NNG+로/JKB
반영하지	반영/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
수시모집에서	수시/NNG+모집/NNG+에서/JKB
논술	논술/NNG
반영	반영/NNG
비율은	비율/NNG+은/JX
50~80%로	50/SN+~/SO+80/SN+%/SW+로/JKB
여전히	여전히/MAG
높다.	높/VA+다/EF+./SF


# id : NWRW1800000032.262.5.3
또 면접은 입학사정관제 전형에서 주로 활용돼 비중이 커졌다.

또	또/MAG
면접은	면접/NNG+은/JX
입학사정관제	입학/NNG+사정관/NNG+제/XSN
전형에서	전형/NNG+에서/JKB
주로	주로/MAG
활용돼	활용/NNG+되/XSV+어/EC
비중이	비중/NNG+이/JKS
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.262.6.1
수능 뒤 치러지는 수시 2차 논술고사는 12일 경희대, 서강대, 성균관대, 중앙대를 시작으로 모두 18곳에서 진행된다.

수능	수능/NNG
뒤	뒤/NNG
치러지는	치르/VV+어/EC+지/VX+는/ETM
수시	수시/NNG
2차	2/SN+차/NNB
논술고사는	논술/NNG+고사/NNG+는/JX
12일	12/SN+일/NNB
경희대,	경희대/NNP+,/SP
서강대,	서강대/NNP+,/SP
성균관대,	성균관대/NNP+,/SP
중앙대를	중앙대/NNP+를/JKO
시작으로	시작/NNG+으로/JKB
모두	모두/MAG
18곳에서	18/SN+곳/NNG+에서/JKB
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.262.6.2
시간이 얼마 남지 않은 만큼 학원에 다니거나 새로운 시도를 하기보다는 기출문제와 대학별 모의논술 문제를 실제 시험시간과 분량에 맞춰 실전처럼 써보는 것이 효율적이다.

시간이	시간/NNG+이/JKS
얼마	얼마/NNG
남지	남/VV+지/EC
않은	않/VX+은/ETM
만큼	만큼/NNB
학원에	학원/NNG+에/JKB
다니거나	다니/VV+거나/EC
