# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.69
metadata : {}


# id : NWRW1800000030.69.1.1
야, 방학이다… 와, 음악회다… 음, 다채롭네

야,	야/IC+,/SP
방학이다…	방학/NNG+이/VCP+다/EF+…/SE
와,	와/IC+,/SP
음악회다…	음악회/NNG+이/VCP+다/EF+…/SE
음,	음/IC+,/SP
다채롭네	다채롭/VA+네/EF


# id : NWRW1800000030.69.2.1
•뭘 들을까 오페라·클래식·국악

•뭘	•/SW+뭐/NP+ㄹ/JKO
들을까	듣/VV+을까/EF
오페라·클래식·국악	오페라/NNG+·/SP+클래식/NNG+·/SP+국악/NNG


# id : NWRW1800000030.69.3.1
가족과 청소년이 두루 즐길 수 있는 여름방학 음악회 시즌이 돌아왔다.

가족과	가족/NNG+과/JC
청소년이	청소년/NNG+이/JKS
두루	두루/MAG
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
여름방학	여름/NNG+방학/NNG
음악회	음악회/NNG
시즌이	시즌/NNG+이/JKS
돌아왔다.	돌아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.69.4.1
◆가족이 함께

◆가족이	◆/SW+가족/NNG+이/JKS
함께	함께/MAG


# id : NWRW1800000030.69.5.1
예술의전당은 다음 달 6~21일 오후 4시 콘서트홀에서 '名(명)협주곡 시리즈'를 주제로 가족음악축제 2011을 연다.

예술의전당은	예술의전당/NNP+은/JX
다음	다음/NNG
달	달/NNG
6~21일	6/SN+~/SO+21/SN+일/NNB
오후	오후/NNG
4시	4/SN+시/NNB
콘서트홀에서	콘서트홀/NNG+에서/JKB
'名(명)협주곡	'/SS+名/SH+(/SS+명/NA+)/SS+협주곡/NNG
시리즈'를	시리즈/NNG+'/SS+를/JKO
주제로	주제/NNG+로/JKB
가족음악축제	가족/NNG+음악/NNG+축제/NNG
2011을	2011/SN+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.69.5.2
국내 교향악단 6곳이 멘델스존의 '한여름 밤의 꿈' 서곡(6일), 베를리오즈의 '로마의 사육제' 서곡(7일), 로시니의 오페라 '세빌리아의 이발사' 서곡(13일), 모차르트의 오페라 '피가로의 결혼' 서곡(21일) 등을 들려준다.

국내	국내/NNG
교향악단	교향악단/NNG
6곳이	6/SN+곳/NNG+이/JKS
멘델스존의	멘델스존/NNP+의/JKG
'한여름	'/SS+한/XPN+여름/NNG
밤의	밤/NNG+의/JKG
꿈'	꿈/NNG+'/SS
서곡(6일),	서곡/NNG+(/SS+6/SN+일/NNB+)/SS+,/SP
베를리오즈의	베를리오즈/NNP+의/JKG
'로마의	'/SS+로마/NNP+의/JKG
사육제'	사육제/NNG+'/SS
서곡(7일),	서곡/NNG+(/SS+7/SN+일/NNB+)/SS+,/SP
로시니의	로시니/NNP+의/JKG
오페라	오페라/NNG
'세빌리아의	'/SS+세빌리아/NNP+의/JKG
이발사'	이발사/NNG+'/SS
서곡(13일),	서곡/NNG+(/SS+13/SN+일/NNB+)/SS+,/SP
모차르트의	모차르트/NNP+의/JKG
'피가로의	'/SS+피가로/NNP+의/JKG
결혼'	결혼/NNG+'/SS
서곡(21일)	서곡/NNG+(/SS+21/SN+일/NNB+)/SS
등을	등/NNB+을/JKO
들려준다.	들려주/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.69.5.3
곡 전체 분위기를 압축해 보여주는 서곡을 협주곡 사이에 섞은 것이 이번 프로그램의 특징이다.

곡	곡/NNG
전체	전체/NNG
분위기를	분위기/NNG+를/JKO
압축해	압축/NNG+하/XSV+아/EC
보여주는	보이/VV+어/EC+주/VX+는/ETM
서곡을	서곡/NNG+을/JKO
협주곡	협주곡/NNG
사이에	사이/NNG+에/JKB
섞은	섞/VV+은/ETM
것이	것/NNB+이/JKS
이번	이번/NNG
프로그램의	프로그램/NNG+의/JKG
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.69.5.4
바로 옆 리사이틀홀에서는 '여름 실내악'무대가 다음 달 16부터 21일까지 펼쳐진다.

바로	바로/MAG
옆	옆/NNG
리사이틀홀에서는	리사이틀/NNG+홀/NNG+에서/JKB+는/JX
'여름	'/SS+여름/NNG
실내악'무대가	실내악/NNG+'/SS+무대/NNG+가/JKS
다음	다음/NNG
달	달/NNG
16부터	16/SN+부터/JX
21일까지	21/SN+일/NNB+까지/JX
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.69.5.5
앙상블 제이드(16일)와 코리안심포니 목관 앙상블(17일)을 포함해 앙상블 콘서넌트(18일), KCO 스트링 콰르텟(19일), 세레나데(20일), 수원필 10인의 첼로 앙상블(21일)이 차례로 무대에 오른다.

앙상블	앙상블/NNP
제이드(16일)와	제이드/NNP+(/SS+16/SN+일/NNB+)/SS+와/JC
코리안심포니	코리안심포니/NNP
목관	목관/NNG
앙상블(17일)을	앙상블/NNG+(/SS+17/SN+일/NNB+)/SS+을/JKO
포함해	포함/NNG+하/XSV+아/EC
콘서넌트(18일),	콘서넌트/NNP+(/SS+18/SN+일/NNB+)/SS+,/SP
KCO	KCO/SL
스트링	스트링/NNP
콰르텟(19일),	콰르텟/NNG+(/SS+19/SN+일/NNB+)/SS+,/SP
세레나데(20일),	세레나데/NNP+(/SS+20/SN+일/NNB+)/SS+,/SP
수원필	수원필/NNP
10인의	10/SN+인/NNG+의/JKG
첼로	첼로/NNG
앙상블(21일)이	앙상블/NNG+(/SS+21/SN+일/NNB+)/SS+이/JKS
차례로	차례/NNG+로/JKB
무대에	무대/NNG+에/JKB
오른다.	오르/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.69.6.1
◆청소년을 위해

◆청소년을	◆/SW+청소년/NNG+을/JKO
위해	위하/VV+아/EC


# id : NWRW1800000030.69.7.1
오는 24일 오후 2시 예술의전당 콘서트홀에서 열리는 '교과서에 나오는 클래식음악 특별공연'은 교과서에 수록된 감상곡이 중심이다.

오는	오/VV+는/ETM
24일	24/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
예술의전당	예술의전당/NNP
콘서트홀에서	콘서트홀/NNG+에서/JKB
열리는	열리/VV+는/ETM
'교과서에	'/SS+교과서/NNG+에/JKB
나오는	나오/VV+는/ETM
클래식음악	클래식/NNG+음악/NNG
특별공연'은	특별/NNG+공연/NNG+'/SS+은/JX
교과서에	교과서/NNG+에/JKB
수록된	수록/NNG+되/XSV+ㄴ/ETM
감상곡이	감상곡/NNG+이/JKS
중심이다.	중심/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.69.7.2
지휘자 윤기연이 아름다운오케스트라와 함께 베토벤의 '코리올란 서곡' '바이올린과 관현악을 위한 로망스 2번'(바이올린 함지민) '피아노 협주곡 제5번(황제)' 1악장(피아노 서지수)을 들려준다.

지휘자	지휘자/NNG
윤기연이	윤기연/NNP+이/JKS
아름다운오케스트라와	아름다운오케스트라/NNP+와/JKB
함께	함께/MAG
베토벤의	베토벤/NNP+의/JKG
'코리올란	'/SS+코리올란/NNP
서곡'	서곡/NNG+'/SS
'바이올린과	'/SS+바이올린/NNG+과/JC
관현악을	관현악/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
로망스	로망스/NNG
2번'(바이올린	2/SN+번/NNB+'/SS+(/SS+바이올린/NNG
함지민)	함지민/NNP+)/SS
'피아노	'/SS+피아노/NNG
협주곡	협주곡/NNG
제5번(황제)'	제/XPN+5/SN+번/NNB+(/SS+황제/NNP+)/SS+'/SS
1악장(피아노	1/SN+악장/NNG+(/SS+피아노/NNG
서지수)을	서지수/NNP+)/SS+을/JKO
들려준다.	들려주/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.69.8.1
오는 30일 오후 8시 같은 장소에서 진행되는 '2011 청소년을 위한 교향곡 여행'에서는 W필하모닉 오케스트라가 김남윤의 지휘로 멘델스존의 '바이올린 협주곡'(바이올린 피호영)과 '헤브리디스 서곡', 베토벤의 '교향곡 제3번(영웅)'을 연주한다.

오는	오/VV+는/ETM
30일	30/SN+일/NNB
오후	오후/NNG
8시	8/SN+시/NNB
같은	같/VA+은/ETM
장소에서	장소/NNG+에서/JKB
진행되는	진행/NNG+되/XSV+는/ETM
'2011	'/SS+2011/SN
청소년을	청소년/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
교향곡	교향곡/NNG
여행'에서는	여행/NNG+'/SS+에서/JKB+는/JX
W필하모닉	W필하모닉/NNP
오케스트라가	오케스트라/NNG+가/JKS
김남윤의	김남윤/NNP+의/JKG
지휘로	지휘/NNG+로/JKB
멘델스존의	멘델스존/NNP+의/JKG
'바이올린	'/SS+바이올린/NNG
