# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.397
metadata : {}


# id : NWRW1800000028.397.1.1
사람도 차도 꽁꽁 묶인 ‘도심속 섬’

사람도	사람/NNG+도/JX
차도	차/NNG+도/JX
꽁꽁	꽁꽁/MAG
묶인	묶이/VV+ㄴ/ETM
‘도심속	‘/SS+도심/NNG+속/NNG
섬’	섬/NNG+’/SS


# id : NWRW1800000028.397.2.1
주요 20개국(G20) 정상회의가 개막한 11일, 회의가 열리는 서울 강남구 삼성동 코엑스는 외부인의 출입을 철저히 봉쇄해, 그야말로 도시 한가운데 떠 있는 섬 같았다.

주요	주요/NNG
20개국(G20)	20/SN+개국/NNB+(/SS+G/SL+20/SN+)/SS
정상회의가	정상/NNG+회의/NNG+가/JKS
개막한	개막/NNG+하/XSV+ㄴ/ETM
11일,	11/SN+일/NNB+,/SP
회의가	회의/NNG+가/JKS
열리는	열리/VV+는/ETM
서울	서울/NNP
강남구	강남구/NNP
삼성동	삼성동/NNP
코엑스는	코엑스/NNP+는/JX
외부인의	외부인/NNG+의/JKG
출입을	출입/NNG+을/JKO
철저히	철저히/MAG
봉쇄해,	봉쇄/NNG+하/XSV+아/EC+,/SP
그야말로	그야말로/MAG
도시	도시/NNG
한가운데	한/XPN+가운데/NNG
떠	뜨/VV+어/EC
있는	있/VX+는/ETM
섬	섬/NNG
같았다.	같/VA+았/EP+다/EF+./SF


# id : NWRW1800000028.397.3.1
행사장 주변은 이른 아침부터 긴장감이 감돌았다.

행사장	행사장/NNG
주변은	주변/NNG+은/JX
이른	이르/VA+ㄴ/ETM
아침부터	아침/NNG+부터/JX
긴장감이	긴장감/NNG+이/JKS
감돌았다.	감돌/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.397.3.2
이날 오전 지하철 2호선 삼성역 주변엔 전날보다 늘어난 경찰병력이 골목골목까지 촘촘히 배치됐다.

이날	이날/NNG
오전	오전/NNG
지하철	지하철/NNG
2호선	2/SN+호선/NNB
삼성역	삼성역/NNP
주변엔	주변/NNG+에/JKB+ㄴ/JX
전날보다	전날/NNG+보다/JKB
늘어난	늘어나/VV+ㄴ/ETM
경찰병력이	경찰/NNG+병력/NNG+이/JKS
골목골목까지	골목골목/NNG+까지/JX
촘촘히	촘촘히/MAG
배치됐다.	배치/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.397.3.3
경찰이 10일 자정께 설치한 2m 높이의 안전방호벽도 행사장 주변 1.2㎞를 휘감았다.

경찰이	경찰/NNG+이/JKS
10일	10/SN+일/NNB
자정께	자정/NNG+께/XSN
설치한	설치/NNG+하/XSV+ㄴ/ETM
2m	2/SN+m/SW
높이의	높이/NNG+의/JKG
안전방호벽도	안전/NNG+방호벽/NNG+도/JX
행사장	행사장/NNG
주변	주변/NNG
1.2㎞를	1/SN+./SP+2/SN+㎞/SW+를/JKO
휘감았다.	휘감/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.397.4.1
회의장 주변에서 ‘다른 주장’을 하던 사람들은 무참하게 쫓겨났다.

회의장	회의장/NNG
주변에서	주변/NNG+에서/JKB
‘다른	‘/SS+다른/MMD
주장’을	주장/NNG+’/SS+을/JKO
하던	하/VV+던/ETM
사람들은	사람/NNG+들/XSN+은/JX
무참하게	무참하/VA+게/EC
쫓겨났다.	쫓겨나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.397.4.2
이날 오전 코엑스 동문 앞에서 ‘4대강 사업은 누구를 위한 것인가?

이날	이날/NNG
오전	오전/NNG
코엑스	코엑스/NNP
동문	동문/NNG
앞에서	앞/NNG+에서/JKB
‘4대강	‘/SS+4/SN+대/NNG+강/NNG
사업은	사업/NNG+은/JX
누구를	누구/NP+를/JKO
위한	위하/VV+ㄴ/ETM
것인가?	것/NNB+이/VCP+ㄴ가/EF+?/SF


# id : NWRW1800000028.397.4.3
4대강 사업에 반대한다’는 내용이 담긴 팻말을 들고 1인시위를 벌이던 30대 남성은 경찰과 경비요원들에게 강제로 끌려나갔다.

4대강	4/SN+대/NNG+강/NNG
사업에	사업/NNG+에/JKB
반대한다’는	반대/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
내용이	내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
팻말을	팻말/NNG+을/JKO
들고	들/VV+고/EC
1인시위를	1/SN+인/NNG+시위/NNG+를/JKO
벌이던	벌이/VV+던/ETM
30대	30/SN+대/NNB
남성은	남성/NNG+은/JX
경찰과	경찰/NNG+과/JC
경비요원들에게	경비/NNG+요원/NNG+들/XSN+에게/JKB
강제로	강제/NNG+로/JKB
끌려나갔다.	끌리/VV+어/EC+나가/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.397.4.4
그로부터 1시간이 채 안 돼 같은 장소에서 한 외국인 남성이 ‘recession is the medicine(불황이 약이다)’라고 적힌 팻말을 들고 서 있다가 경호구역 밖으로 쫓겨났다.

그로부터	그/NP+로부터/JKB
1시간이	1/SN+시간/NNB+이/JKS
채	채/MAG
안	안/MAG
돼	되/VV+어/EC
같은	같/VA+은/ETM
장소에서	장소/NNG+에서/JKB
한	한/MMN
외국인	외국인/NNG
남성이	남성/NNG+이/JKS
‘recession	‘/SS+recession/SL
is	is/SL
the	the/SL
medicine(불황이	medicine/SL+(/SS+불황/NNG+이/JKS
