# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.179
metadata : {}


# id : NWRW1800000045.179.1.1
5일밤 보름달 휘영청 어디서나 소원 비세요

5일밤	5/SN+일/NNB+밤/NNG
보름달	보름달/NNG
휘영청	휘영청/MAG
어디서나	어디/NP+서/JKB+나/JX
소원	소원/NNG
비세요	빌/VV+시/EP+어요/EF


# id : NWRW1800000045.179.2.1
정월대보름날 전국 대부분 맑아

정월대보름날	정월/NNG+대보름날/NNG
전국	전국/NNG
대부분	대/XPN+부분/NNG
맑아	맑/VA+아/EF


# id : NWRW1800000045.179.3.1
정월대보름(음력 1월 15일)인 5일 전국 대부분 지역에서 둥근 보름달을 볼 수 있을 것으로 예상된다.

정월대보름(음력	정월/NNG+대/XPN+보름/NNG+(/SS+음력/NNG
1월	1/SN+월/NNB
15일)인	15/SN+일/NNB+)/SS+이/VCP+ㄴ/ETM
5일	5/SN+일/NNB
전국	전국/NNG
대부분	대/XPN+부분/NNG
지역에서	지역/NNG+에서/JKB
둥근	둥글/VA+ㄴ/ETM
보름달을	보름달/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.179.3.2
5일 우리나라는 중국 북부지방에 위치한 고기압의 영향으로 전국이 대체로 맑고, 남부지방과 제주도는 가끔 구름이 많겠지만 보름달을 보는 데는 지장이 없을 것으로 전망된다.

5일	5/SN+일/NNB
우리나라는	우리나라/NNG+는/JX
중국	중국/NNP
북부지방에	북부/NNG+지방/NNG+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
고기압의	고/XPN+기압/NNG+의/JKG
영향으로	영향/NNG+으로/JKB
전국이	전국/NNG+이/JKS
대체로	대체로/MAG
맑고,	맑/VA+고/EC+,/SP
남부지방과	남부/NNG+지방/NNG+과/JC
제주도는	제주도/NNP+는/JX
가끔	가끔/MAG
구름이	구름/NNG+이/JKS
많겠지만	많/VA+겠/EP+지만/EC
보름달을	보름달/NNG+을/JKO
보는	보/VV+는/ETM
데는	데/NNB+는/JX
지장이	지장/NNG+이/JKS
없을	없/VA+을/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.179.4.1
민간 기상업체 케이웨더 반기성 예보센터장은 “하늘을 덮은 구름 면적이 8분의 3 이하이면 달을 보기에 좋은 날씨로 본다”며 “5일에는 구름 면적이 8분의 3을 넘지 않을 것으로 예측된다”고 말했다.

민간	민간/NNG
기상업체	기상/NNG+업체/NNG
케이웨더	케이웨더/NNP
반기성	반기성/NNP
예보센터장은	예보/NNG+센터장/NNG+은/JX
“하늘을	“/SS+하늘/NNG+을/JKO
덮은	덮/VV+은/ETM
구름	구름/NNG
면적이	면적/NNG+이/JKS
