# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.339
metadata : {}


# id : NWRW1800000033.339.1.1
“불혹 아닌 갈대”… 40代 표심잡기 총력

“불혹	“/SS+불혹/NNG
아닌	아니/VCN+ㄴ/ETM
갈대”…	갈대/NNG+”/SS+…/SE
40代	40/SN+代/SH
표심잡기	표심/NNG+잡/VV+기/ETN
총력	총력/NNG


# id : NWRW1800000033.339.2.1
4·11총선 때 40대 유권자 수는 882만여 명.

4·11총선	4/SN+·/SP+11/SN+총선/NNG
때	때/NNG
40대	40/SN+대/NNB
유권자	유권자/NNG
수는	수/NNG+는/JX
882만여	882/SN+만/NR+여/XSN
명.	명/NNB+./SF


# id : NWRW1800000033.339.2.2
전체 유권자의 22.0%로 전 연령대 중 가장 많았다.

전체	전체/NNG
유권자의	유권자/NNG+의/JKG
22.0%로	22/SN+./SP+0/SN+%/SW+로/JKB
전	전/MMN
연령대	연령대/NNG
중	중/NNB
가장	가장/MAG
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.339.2.3
전문가든, 각 대선주자 진영이든 “40대를 잡아야 대권을 잡는다”고 입을 모으는 이유가 여기에 있다.

전문가든,	전문가/NNG+이/VCP+든/EC+,/SP
각	각/MMD
대선주자	대선/NNG+주자/NNG
진영이든	진영/NNG+이/VCP+든/EC
“40대를	“/SS+40/SN+대/NNB+를/JKO
잡아야	잡/VV+아야/EC
대권을	대권/NNG+을/JKO
잡는다”고	잡/VV+는다/EF+”/SS+고/JKQ
입을	입/NNG+을/JKO
모으는	모으/VV+는/ETM
이유가	이유/NNG+가/JKS
여기에	여기/NP+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.339.2.4
물론 각 진영이 40대 표심에 주목하는 이유는 비단 유권자가 많기 때문만은 아니다.

물론	물론/MAG
각	각/MMD
진영이	진영/NNG+이/JKS
40대	40/SN+대/NNB
표심에	표심/NNG+에/JKB
주목하는	주목/NNG+하/XSV+는/ETM
이유는	이유/NNG+는/JX
비단	비단/MAG
유권자가	유권자/NNG+가/JKS
많기	많/VA+기/ETN
때문만은	때문/NNB+만/JX+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000033.339.2.5
최근 여론조사 추이를 보면 40대의 표심이 전체 대선 여론의 흐름을 선도한다는 게 전문가들의 지적이다.

최근	최근/NNG
여론조사	여론/NNG+조사/NNG
추이를	추이/NNG+를/JKO
보면	보/VV+면/EC
40대의	40/SN+대/NNB+의/JKG
표심이	표심/NNG+이/JKS
전체	전체/NNG
대선	대선/NNG
여론의	여론/NNG+의/JKG
흐름을	흐름/NNG+을/JKO
선도한다는	선도/NNG+하/XSV+ㄴ다는/ETM
게	거/NNB+이/JKS
전문가들의	전문가/NNG+들/XSN+의/JKG
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.339.3.1
○ 40대 표심 그때그때 달라요

○	○/SW
40대	40/SN+대/NNB
표심	표심/NNG
그때그때	그때그때/MAG
달라요	다르/VA+아요/EF


# id : NWRW1800000033.339.4.1
총선 승리 이후 각종 양자대결 여론조사 결과 새누리당 박근혜 의원은 40대에서 안철수 서울대 융합과학기술대학원장을 5%포인트 안팎으로 앞섰지만 7월 19일 안 원장이 ‘안철수의 생각’을 펴낸 뒤 상황이 달라졌다.

총선	총선/NNG
승리	승리/NNG
이후	이후/NNG
각종	각종/NNG
양자대결	양자/NNG+대결/NNG
여론조사	여론/NNG+조사/NNG
결과	결과/NNG
새누리당	새누리당/NNP
박근혜	박근혜/NNP
의원은	의원/NNG+은/JX
40대에서	40/SN+대/NNB+에서/JKB
안철수	안철수/NNP
서울대	서울대/NNP
융합과학기술대학원장을	융합/NNG+과학/NNG+기술/NNG+대학원장/NNG+을/JKO
5%포인트	5/SN+%/SW+포인트/NNG
안팎으로	안팎/NNG+으로/JKB
앞섰지만	앞서/VV+었/EP+지만/EC
7월	7/SN+월/NNB
19일	19/SN+일/NNB
안	안/NNP
원장이	원장/NNG+이/JKS
‘안철수의	‘/SS+안철수/NNP+의/JKG
생각’을	생각/NNG+’/SS+을/JKO
펴낸	펴내/VV+ㄴ/ETM
뒤	뒤/NNG
상황이	상황/NNG+이/JKS
달라졌다.	달라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.339.4.2
안 원장이 박 의원을 10%포인트 정도 앞선 조사결과도 나왔다.

안	안/NNP
원장이	원장/NNG+이/JKS
박	박/NNP
의원을	의원/NNG+을/JKO
10%포인트	10/SN+%/SW+포인트/NNG
정도	정도/NNG
앞선	앞서/VV+ㄴ/ETM
조사결과도	조사/NNG+결과/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.339.4.3
안 원장이 책 한 권 내자 40대의 10∼15%가 지지자를 바꾼 것이다.

안	안/NNP
원장이	원장/NNG+이/JKS
책	책/NNG
한	한/MMN
권	권/NNB
내자	내/VV+자/EC
40대의	40/SN+대/NNB+의/JKG
10∼15%가	10/SN+∼/SO+15/SN+%/SW+가/JKS
지지자를	지지자/NNG+를/JKO
바꾼	바꾸/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.339.4.4
다른 연령대는 큰 변화가 없었다.

다른	다른/MMD
연령대는	연령대/NNG+는/JX
큰	크/VA+ㄴ/ETM
변화가	변화/NNG+가/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.339.5.1
땀 닦는 박근혜 후보사진 더보기

땀	땀/NNG
닦는	닦/VV+는/ETM
박근혜	박근혜/NNP
후보사진	후보/NNG+사진/NNG
더보기	더/MAG+보/VV+기/ETN


# id : NWRW1800000033.339.6.1
전문가들에 따르면 연령대별로 지지 후보를 바꾸는 경향이 확연히 다르다.

전문가들에	전문가/NNG+들/XSN+에/JKB
따르면	따르/VV+면/EC
연령대별로	연령대/NNG+별/XSN+로/JKB
지지	지지/NNG
후보를	후보/NNG+를/JKO
바꾸는	바꾸/VV+는/ETM
경향이	경향/NNG+이/JKS
확연히	확연히/MAG
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000033.339.6.2
30대와 60대 이상은 지지 후보를 잘 바꾸지 않는 반면에 40대는 지지 후보를 쉽게 바꾼다는 것.

30대와	30/SN+대/NNB+와/JC
60대	60/SN+대/NNB
이상은	이상/NNG+은/JX
지지	지지/NNG
후보를	후보/NNG+를/JKO
잘	잘/MAG
바꾸지	바꾸/VV+지/EC
않는	않/VX+는/ETM
반면에	반면/NNG+에/JKB
40대는	40/SN+대/NNB+는/JX
쉽게	쉽/VA+게/EC
바꾼다는	바꾸/VV+ㄴ다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000033.339.6.3
20대와 50대는 그 중간이다.

20대와	20/SN+대/NNB+와/JC
50대는	50/SN+대/NNB+는/JX
그	그/MMD
중간이다.	중간/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.339.7.1
중앙대 장훈 교수는 “40대는 지역주의와 보수-진보 이념에 의존하는 성향이 약한 반면 정치에 엄청난 관심을 가지고 있기 때문에 현안에 따라 쉽게 지지 성향을 바꾸는 특성이 있다”고 말했다.

중앙대	중앙대/NNP
장훈	장훈/NNP
교수는	교수/NNG+는/JX
“40대는	“/SS+40/SN+대/NNB+는/JX
지역주의와	지역주의/NNG+와/JC
보수-진보	보수/NNG+-/SO+진보/NNG
이념에	이념/NNG+에/JKB
의존하는	의존/NNG+하/XSV+는/ETM
성향이	성향/NNG+이/JKS
약한	약하/VA+ㄴ/ETM
반면	반면/NNG
정치에	정치/NNG+에/JKB
엄청난	엄청나/VA+ㄴ/ETM
관심을	관심/NNG+을/JKO
가지고	가지/VV+고/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
현안에	현안/NNG+에/JKB
따라	따르/VV+아/EC
쉽게	쉽/VA+게/EC
지지	지지/NNG
성향을	성향/NNG+을/JKO
바꾸는	바꾸/VV+는/ETM
특성이	특성/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.339.8.1
○ 안정과 변화 양 날개 갖춘 후보는?

○	○/SW
안정과	안정/NNG+과/JC
변화	변화/NNG
양	양/MMN
날개	날개/NNG
갖춘	갖추/VV+ㄴ/ETM
후보는?	후보/NNG+는/JX+?/SF


# id : NWRW1800000033.339.9.1
배종찬 리서치앤리서치(R&R) 본부장은 최근 40대에서 안 원장의 지지율이 올라간 이유에 대해 “40대는 안정 속의 변화를 추구하는 세대다.

배종찬	배종찬/NNP
리서치앤리서치(R&R)	리서치앤리서치/NNP+(/SS+R/SL+&/SW+R/SL+)/SS
본부장은	본부장/NNG+은/JX
최근	최근/NNG
40대에서	40/SN+대/NNB+에서/JKB
안	안/NNP
원장의	원장/NNG+의/JKG
지지율이	지지/NNG+율/XSN+이/JKS
올라간	올라가/VV+ㄴ/ETM
이유에	이유/NNG+에/JKB
대해	대하/VV+아/EC
“40대는	“/SS+40/SN+대/NNB+는/JX
안정	안정/NNG
