# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.367
metadata : {}


# id : NWRW1800000022.367.1.1
장미란 金 셋 '번쩍';전국체전 대전서 개막

장미란	장미란/NNP
金	金/SH
셋	셋/NR
'번쩍';전국체전	'/SS+번쩍/MAG+'/SS+;/SW+전국/NNG+체전/NNG
대전서	대전/NNP+서/JKB
개막	개막/NNG


# id : NWRW1800000022.367.2.1
'여자 헤라클레스' 장미란(26·고양시청)이 전국체전 3관왕에 올랐다.

'여자	'/SS+여자/NNG
헤라클레스'	헤라클레스/NNP+'/SS
장미란(26·고양시청)이	장미란/NNP+(/SS+26/SN+·/SP+고양시청/NNP+)/SS+이/JKS
전국체전	전국/NNG+체전/NNG
3관왕에	3관왕/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.367.2.2
장미란은 20일 대전에서 개막한 제90회 전국체전 역도 여자 일반부 최중량급(75㎏ 이상) 경기에서 인상 130㎏, 용상 180㎏, 합계 310㎏으로 금메달 3개를 휩쓸었다.

장미란은	장미란/NNP+은/JX
20일	20/SN+일/NNB
대전에서	대전/NNP+에서/JKB
개막한	개막/NNG+하/XSV+ㄴ/ETM
제90회	제/XPN+90/SN+회/NNB
전국체전	전국/NNG+체전/NNG
역도	역도/NNG
여자	여자/NNG
일반부	일반부/NNG
최중량급(75㎏	최중량급/NNG+(/SS+75/SN+㎏/SW
이상)	이상/NNG+)/SS
경기에서	경기/NNG+에서/JKB
인상	인상/NNG
130㎏,	130/SN+㎏/SW+,/SP
용상	용상/NNG
180㎏,	180/SN+㎏/SW+,/SP
합계	합계/NNG
310㎏으로	310/SN+㎏/SW+으로/JKB
금메달	금메달/NNG
3개를	3/SN+개/NNB+를/JKO
휩쓸었다.	휩쓸/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.367.3.1
지난해 베이징올림픽에서 자신이 작성한 세계기록 합계 326㎏(인상 140㎏, 용상 186㎏)에는 못 미쳤지만, 장미란은 이날 금메달 3개를 더하며 2000년 이후 전국체전에서만 금메달 29개를 목에 걸었다.

지난해	지난해/NNG
베이징올림픽에서	베이징/NNP+올림픽/NNG+에서/JKB
자신이	자신/NNG+이/JKS
작성한	작성/NNG+하/XSV+ㄴ/ETM
세계기록	세계/NNG+기록/NNG
합계	합계/NNG
326㎏(인상	326/SN+㎏/SW+(/SS+인상/NNG
140㎏,	140/SN+㎏/SW+,/SP
용상	용상/NNG
186㎏)에는	186/SN+㎏/SW+)/SS+에/JKB+는/JX
못	못/MAG
미쳤지만,	미치/VV+었/EP+지만/EC+,/SP
장미란은	장미란/NNP+은/JX
이날	이날/NNG
금메달	금메달/NNG
3개를	3/SN+개/NNB+를/JKO
더하며	더/MAG+하/XSV+며/EC
2000년	2000/SN+년/NNB
이후	이후/NNG
전국체전에서만	전국/NNG+체전/NNG+에서/JKB+만/JX
29개를	29/SN+개/NNB+를/JKO
목에	목/NNG+에/JKB
걸었다.	걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.367.4.1
'차세대 장미란'으로 불리는 이희솔(20·한국체대)은 인상 111㎏, 용상 148㎏ 등 합계 259㎏을 성공시키며, 최중량급 모든 종목에서 장미란에 이은 2위에 올랐다.

'차세대	'/SS+차세대/NNG
장미란'으로	장미란/NNP+'/SS+으로/JKB
불리는	불리/VV+는/ETM
이희솔(20·한국체대)은	이희솔/NNP+(/SS+20/SN+·/SP+한국체대/NNP+)/SS+은/JX
인상	인상/NNG
111㎏,	111/SN+㎏/SW+,/SP
용상	용상/NNG
148㎏	148/SN+㎏/SW
등	등/NNB
합계	합계/NNG
259㎏을	259/SN+㎏/SW+을/JKO
성공시키며,	성공/NNG+시키/XSV+며/EC+,/SP
