# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.211
metadata : {}


# id : NWRW1800000025.211.1.1
[부산/경남]동아대 취업동아리 3년째 취업률 100%

[부산/경남]동아대	[/SS+부산/NNP+//SP+경남/NNP+]/SS+동아대/NNP
취업동아리	취업/NNG+동아리/NNG
3년째	3/SN+년/NNB+째/XSN
취업률	취업/NNG+률/XSN
100%	100/SN+%/SW


# id : NWRW1800000025.211.2.1
동아대 취업 동아리인 ‘동아 리더스 클럽’의 활약이 눈부시다.

동아대	동아대/NNP
취업	취업/NNG
동아리인	동아리/NNG+이/VCP+ㄴ/ETM
‘동아	‘/SS+동아/NNP
리더스	리더스/NNP
클럽’의	클럽/NNG+’/SS+의/JKG
활약이	활약/NNG+이/JKS
눈부시다.	눈부시/VA+다/EF+./SF


# id : NWRW1800000025.211.2.2
2004년 취업 준비생 공동 학습과 정보 교환 목적으로 만든 이 동아리는 2007년부터 3년간 회원 100% 취업률을 이루면서 명문 동아리로 자리를 굳혔다.

2004년	2004/SN+년/NNB
취업	취업/NNG
준비생	준비/NNG+생/XSN
공동	공동/NNG
학습과	학습/NNG+과/JC
정보	정보/NNG
교환	교환/NNG
목적으로	목적/NNG+으로/JKB
만든	만들/VV+ㄴ/ETM
이	이/MMD
동아리는	동아리/NNG+는/JX
2007년부터	2007/SN+년/NNB+부터/JX
3년간	3/SN+년/NNB+간/XSN
회원	회원/NNG
100%	100/SN+%/SW
취업률을	취업/NNG+률/XSN+을/JKO
이루면서	이루/VV+면서/EC
명문	명문/NNG
동아리로	동아리/NNG+로/JKB
자리를	자리/NNG+를/JKO
굳혔다.	굳히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.211.2.3
올 2월 졸업생 취업률도 94.6%로 곧 100%를 달성할 것으로 보인다.

올	올/NNG
2월	2/SN+월/NNB
졸업생	졸업/NNG+생/XSN
취업률도	취업/NNG+률/XSN+도/JX
