# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.186
metadata : {}


# id : NWRW1800000037.186.1.1
국회출석 거부 정용진-신동빈 등… 재벌 2, 3세들 정식재판에 회부

국회출석	국회/NNG+출석/NNG
거부	거부/NNG
정용진-신동빈	정용진/NNP+-/SO+신동빈/NNP
등…	등/NNB+…/SE
재벌	재벌/NNG
2,	2/SN+,/SP
3세들	3/SN+세/NNB+들/XSN
정식재판에	정식/NNG+재판/NNG+에/JKB
회부	회부/NNG


# id : NWRW1800000037.186.2.1
벌금액 조정 약식기소와 달리… 직접 법정 나와 재판 받아야

벌금액	벌금액/NNG
조정	조정/NNG
약식기소와	약식/NNG+기소/NNG+와/JKB
달리…	달리/MAG+…/SE
직접	직접/MAG
법정	법정/NNG
나와	나오/VV+아/EC
재판	재판/NNG
받아야	받/VV+아야/EC


# id : NWRW1800000037.186.3.1
지난해 국회 국정감사와 청문회에 불출석한 혐의로 약식 기소된 재벌 2, 3세들이 정식재판에 회부됐다.

지난해	지난해/NNG
국회	국회/NNG
국정감사와	국정/NNG+감사/NNG+와/JC
청문회에	청문회/NNG+에/JKB
불출석한	불/XPN+출석/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
약식	약식/NNG
기소된	기소/NNG+되/XSV+ㄴ/ETM
재벌	재벌/NNG
2,	2/SN+,/SP
3세들이	3/SN+세/NNB+들/XSN+이/JKS
정식재판에	정식/NNG+재판/NNG+에/JKB
회부됐다.	회부/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.186.4.1
4일 서울중앙지법에 따르면 벌금형으로 약식 기소된 정용진 신세계그룹 부회장과 정 부회장의 동생 정유경 부사장 사건을 심리 중인 형사17단독 이완형 판사는 이들 사건을 정식재판으로 진행하기로 결정했다.

4일	4/SN+일/NNB
서울중앙지법에	서울중앙지법/NNP+에/JKB
따르면	따르/VV+면/EC
벌금형으로	벌금형/NNG+으로/JKB
약식	약식/NNG
기소된	기소/NNG+되/XSV+ㄴ/ETM
정용진	정용진/NNP
신세계그룹	신세계그룹/NNP
부회장과	부회장/NNG+과/JC
정	정/NNP
부회장의	부회장/NNG+의/JKG
동생	동생/NNG
정유경	정유경/NNP
부사장	부사장/NNG
사건을	사건/NNG+을/JKO
심리	심리/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
형사17단독	형사/NNG+17/SN+단독/NNG
이완형	이완형/NNP
판사는	판사/NNG+는/JX
이들	이/NP+들/XSN
정식재판으로	정식/NNG+재판/NNG+으로/JKB
진행하기로	진행/NNG+하/XSV+기/ETN+로/JKB
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.186.4.2
마찬가지로 약식 기소된 신동빈 롯데그룹 회장과 정지선 현대백화점그룹 회장 사건을 심리 중인 형사18단독 이동식 판사 역시 정식재판에 회부했다.

마찬가지로	마찬가지/NNG+로/JKB
약식	약식/NNG
기소된	기소/NNG+되/XSV+ㄴ/ETM
신동빈	신동빈/NNP
롯데그룹	롯데그룹/NNP
회장과	회장/NNG+과/JC
정지선	정지선/NNP
현대백화점그룹	현대백화점그룹/NNP
회장	회장/NNG
사건을	사건/NNG+을/JKO
심리	심리/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
형사18단독	형사/NNG+18/SN+단독/NNG
이동식	이동식/NNP
판사	판사/NNG
역시	역시/MAG
정식재판에	정식/NNG+재판/NNG+에/JKB
회부했다.	회부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.186.5.1
이에 따라 정 부회장 등은 공판기일에 직접 법정으로 출석해 재판을 받아야 한다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
정	정/NNP
부회장	부회장/NNG
등은	등/NNB+은/JX
공판기일에	공판/NNG+기일/NNG+에/JKB
직접	직접/MAG
법정으로	법정/NNG+으로/JKB
출석해	출석/NNG+하/XSV+아/EC
재판을	재판/NNG+을/JKO
받아야	받/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.186.5.2
국회 출석을 거부한 혐의로 약식 기소된 재벌이 정식재판에 회부된 것은 처음이다.

국회	국회/NNG
