# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.295
metadata : {}


# id : NWRW1800000032.295.1.1
현대, 또 삼성에 덜미

현대,	현대/NNP+,/SP
또	또/MAG
삼성에	삼성/NNP+에/JKB
덜미	덜미/NNG


# id : NWRW1800000032.295.2.1
프로배구 1대3 역전패…여오현 리시브 3500개 돌파

프로배구	프로/NNG+배구/NNG
1대3	1/SN+대/NNB+3/SN
역전패…여오현	역전패/NNG+…/SE+여오현/NNP
리시브	리시브/NNG
3500개	3500/SN+개/NNB
돌파	돌파/NNG


# id : NWRW1800000032.295.3.1
6연승을 달리던 현대캐피탈의 기세가 삼성화재의 조직력에 힘을 잃고 무너졌다.

6연승을	6/SN+연승/NNG+을/JKO
달리던	달리/VV+던/ETM
현대캐피탈의	현대캐피탈/NNP+의/JKG
기세가	기세/NNG+가/JKS
삼성화재의	삼성화재/NNP+의/JKG
조직력에	조직력/NNG+에/JKB
힘을	힘/NNG+을/JKO
잃고	잃/VV+고/EC
무너졌다.	무너지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.295.3.2
현대캐피탈은 올 시즌 들어 3패 중 2패를 삼성에 당한 반면, 삼성화재는 3승 중 2승을 현대로부터 수확했다.

현대캐피탈은	현대캐피탈/NNP+은/JX
올	올/NNG
시즌	시즌/NNG
들어	들/VV+어/EC
3패	3/SN+패/NNB
중	중/NNB
2패를	2/SN+패/NNB+를/JKO
삼성에	삼성/NNP+에/JKB
당한	당하/VV+ㄴ/ETM
반면,	반면/NNG+,/SP
삼성화재는	삼성화재/NNP+는/JX
3승	3/SN+승/NNB
2승을	2/SN+승/NNB+을/JKO
현대로부터	현대/NNP+로부터/JKB
수확했다.	수확/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.295.4.1
삼성화재는 2일 대전 충무체육관에서 열린 2010~2011 프로배구 브이(V)리그 남자부 2라운드 현대캐피탈과의 안방경기에서 캐나다 출신 가빈(42점)의 원맨쇼와 가공할 현대의 공격을 온몸으로 받아낸 리베로 여오현의 수비력을 바탕으로 3-1 역전승을 거뒀다.

삼성화재는	삼성화재/NNP+는/JX
2일	2/SN+일/NNB
대전	대전/NNP
충무체육관에서	충무체육관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
2010~2011	2010/SN+~/SO+2011/SN
프로배구	프로/NNG+배구/NNG
브이(V)리그	브이/NNG+(/SS+V/SL+)/SS+리그/NNG
남자부	남자부/NNG
2라운드	2/SN+라운드/NNG
현대캐피탈과의	현대캐피탈/NNP+과/JKB+의/JKG
안방경기에서	안방/NNG+경기/NNG+에서/JKB
캐나다	캐나다/NNP
출신	출신/NNG
가빈(42점)의	가빈/NNP+(/SS+42/SN+점/NNB+)/SS+의/JKG
원맨쇼와	원맨쇼/NNG+와/JKB
가공할	가공하/VA+ㄹ/ETM
현대의	현대/NNP+의/JKG
공격을	공격/NNG+을/JKO
온몸으로	온몸/NNG+으로/JKB
받아낸	받/VV+아/EC+내/VX+ㄴ/ETM
리베로	리베로/NNG
여오현의	여오현/NNP+의/JKG
수비력을	수비력/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
3-1	3/SN+-/SO+1/SN
역전승을	역전승/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.295.4.2
이날 21개의 서비스를 완벽하게 받아낸 11년차 여오현은 개인통산 3500개 돌파(3505개) 기록을 세워 국내 최고의 리베로임을 재확인했다.

이날	이날/NNG
21개의	21/SN+개/NNB+의/JKG
서비스를	서비스/NNG+를/JKO
완벽하게	완벽/NNG+하/XSA+게/EC
받아낸	받/VV+아/EC+내/VX+ㄴ/ETM
11년차	11/SN+년/NNB+차/NNB
여오현은	여오현/NNP+은/JX
개인통산	개인/NNG+통산/NNG
3500개	3500/SN+개/NNB
돌파(3505개)	돌파/NNG+(/SS+3505/SN+개/NNB+)/SS
기록을	기록/NNG+을/JKO
세워	세우/VV+어/EC
국내	국내/NNG
최고의	최고/NNG+의/JKG
리베로임을	리베로/NNG+이/VCP+ㅁ/ETN+을/JKO
재확인했다.	재/XPN+확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.295.5.1
최근 켑코45, 대한항공, 상무신협에 3연패를 당해오던 삼성화재가 만난 팀은 1위 대한항공을 바짝 추격중인 2위 현대캐피탈이어서 부담이 컸다.

최근	최근/MAG
켑코45,	켑코45/NNP+,/SP
대한항공,	대한항공/NNP+,/SP
상무신협에	상무신협/NNP+에/JKB
3연패를	3/SN+연패/NNG+를/JKO
당해오던	당하/VV+아/EC+오/VX+던/ETM
삼성화재가	삼성화재/NNP+가/JKS
만난	만나/VV+ㄴ/ETM
팀은	팀/NNG+은/JX
1위	1/SN+위/NNB
대한항공을	대한항공/NNP+을/JKO
바짝	바짝/MAG
추격중인	추격/NNG+중/NNB+이/VCP+ㄴ/ETM
2위	2/SN+위/NNB
현대캐피탈이어서	현대캐피탈/NNP+이/VCP+어서/EC
부담이	부담/NNG+이/JKS
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000032.295.5.2
하지만 3연패의 위기에 몰린 삼성화재의 조직력이 6연승으로 잘나가던 현대의 공격력을 무너뜨린 경기였다.

하지만	하지만/MAJ
3연패의	3/SN+연패/NNG+의/JKG
위기에	위기/NNG+에/JKB
