# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.136
metadata : {}


# id : NWRW1800000046.136.1.1
방산非理 참고인 조사받고… 前 해군제독 행주대교서 투신

방산非理	방산/NNG+非理/SH
참고인	참고인/NNG
조사받고…	조사/NNG+받/XSV+고/EC+…/SE
前	前/SH
해군제독	해군/NNG+제독/NNG
행주대교서	행주대교/NNP+서/JKB
투신	투신/NNG


# id : NWRW1800000046.136.2.1
정옥근 前 해참총장 아들은 STX서 7억 받은 혐의 체포… 前 사령관도 로비 개입 정황

정옥근	정옥근/NNP
前	前/SH
해참총장	해참/NNG+총장/NNG
아들은	아들/NNG+은/JX
STX서	STX/SL+서/JKB
7억	7/SN+억/NR
받은	받/VV+은/ETM
혐의	혐의/NNG
체포…	체포/NNG+…/SE
사령관도	사령관/NNG+도/JX
로비	로비/NNG
개입	개입/NNG
정황	정황/NNG


# id : NWRW1800000046.136.3.1
정옥근(63) 전 해군 참모총장이 현역 시절 대기업으로부터 로비를 받았다는 의혹을 수사하고 있는 검찰이 28일 정 전 총장의 아들과 윤모(67) 전 해군 작전사령관 등 3명을 체포했다.

정옥근(63)	정옥근/NNP+(/SS+63/SN+)/SS
전	전/MMD
해군	해군/NNG
참모총장이	참모/NNG+총장/NNG+이/JKS
현역	현역/NNG
시절	시절/NNG
대기업으로부터	대/XPN+기업/NNG+으로부터/JKB
로비를	로비/NNG+를/JKO
받았다는	받/VV+았/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
수사하고	수사/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
검찰이	검찰/NNG+이/JKS
28일	28/SN+일/NNB
정	정/NNP
총장의	총장/NNG+의/JKG
아들과	아들/NNG+과/JC
윤모(67)	윤/NNP+모/NP+(/SS+67/SN+)/SS
작전사령관	작전/NNG+사령관/NNG
등	등/NNB
3명을	3/SN+명/NNB+을/JKO
체포했다.	체포/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.136.4.1
방위사업비리 정부합동수사단(단장 김기동 고양지청장)은 정 전 총장의 아들이 지난 2008년 해군이 주최한 행사의 하나였던 요트 대회를 진행하는 과정에서 STX 측으로부터 광고비 명목으로 후원금 7억여원을 받은 사실을 확인하고, 대가성 여부를 따져보고 있다.

방위사업비리	방위/NNG+사업/NNG+비리/NNG
정부합동수사단(단장	정부/NNG+합동/NNG+수사단/NNG+(/SS+단장/NNG
김기동	김기동/NNP
고양지청장)은	고양/NNP+지청장/NNG+)/SS+은/JX
정	정/NNP
전	전/MMD
총장의	총장/NNG+의/JKG
아들이	아들/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
2008년	2008/SN+년/NNB
해군이	해군/NNG+이/JKS
주최한	주최/NNG+하/XSV+ㄴ/ETM
행사의	행사/NNG+의/JKG
하나였던	하나/NR+이/VCP+었/EP+던/ETM
요트	요트/NNG
대회를	대회/NNG+를/JKO
진행하는	진행/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
STX	STX/SL
측으로부터	측/NNB+으로부터/JKB
광고비	광고비/NNG
명목으로	명목/NNG+으로/JKB
후원금	후원금/NNG
7억여원을	7/SN+억/NR+여/XSN+원/NNB+을/JKO
받은	받/VV+은/ETM
사실을	사실/NNG+을/JKO
확인하고,	확인/NNG+하/XSV+고/EC+,/SP
대가성	대가/NNG+성/XSN
여부를	여부/NNG+를/JKO
따져보고	따지/VV+어/EC+보/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.136.4.2
합수단은 STX 측이 당시 현역 해군참모총장이던 정씨의 아들(38) 회사에 전달한 돈이 사실상 정 전 총장을 향한 뇌물이었다고 판단하고 있는 것으로 전해졌다.

합수단은	합수단/NNG+은/JX
STX	STX/SL
측이	측/NNB+이/JKS
당시	당시/NNG
현역	현역/NNG
해군참모총장이던	해군/NNG+참모/NNG+총장/NNG+이/VCP+던/ETM
정씨의	정/NNP+씨/NNB+의/JKG
아들(38)	아들/NNG+(/SS+38/SN+)/SS
회사에	회사/NNG+에/JKB
전달한	전달/NNG+하/XSV+ㄴ/ETM
돈이	돈/NNG+이/JKS
사실상	사실상/MAG
정	정/NNP
전	전/MMD
총장을	총장/NNG+을/JKO
향한	향하/VV+ㄴ/ETM
뇌물이었다고	뇌물/NNG+이/VCP+었/EP+다고/EC
판단하고	판단/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.136.5.1
합수단은 해군작전사령관과 해군사관학교장을 역임한 윤모 전 사령관이 STX사외이사를 지내며 STX 측의 금품 로비에 개입한 정황을 포착한 것으로 알려졌다.

합수단은	합수단/NNG+은/JX
해군작전사령관과	해군/NNG+작전/NNG+사령관/NNG+과/JC
해군사관학교장을	해군사관학교장/NNG+을/JKO
역임한	역임/NNG+하/XSV+ㄴ/ETM
윤모	윤/NNP+모/NP
전	전/MMD
사령관이	사령관/NNG+이/JKS
STX사외이사를	STX/SL+사외/NNG+이사/NNG+를/JKO
지내며	지내/VV+며/EC
STX	STX/SL
측의	측/NNB+의/JKG
금품	금품/NNG
로비에	로비/NNG+에/JKB
개입한	개입/NNG+하/XSV+ㄴ/ETM
정황을	정황/NNG+을/JKO
포착한	포착/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.136.5.2
앞서 합수단은 강덕수(64·구속 기소) 전 STX그룹 회장을 포함해 전·현직 STX 고위 관계자들을 참고인 신분으로 불러 조사했다.

앞서	앞서/MAG
합수단은	합수단/NNG+은/JX
강덕수(64·구속	강덕수/NNP+(/SS+64/SN+·/SP+구속/NNG
기소)	기소/NNG+)/SS
전	전/MMD
STX그룹	STX그룹/NNP
회장을	회장/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
전·현직	전·현직/NNG
STX	STX/SL
고위	고위/NNG
관계자들을	관계자/NNG+들/XSN+을/JKO
참고인	참고인/NNG
신분으로	신분/NNG+으로/JKB
불러	부르/VV+어/EC
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.136.6.1
한편 이날 오전 9시 12분쯤 방위사업 비리 합수단에서 참고인조사를 받은 함모(60) 전 해군 제독이 행주대교에서 투신해 스스로 목숨을 끊었다.

한편	한편/MAG
이날	이날/NNG
오전	오전/NNG
9시	9/SN+시/NNB
12분쯤	12/SN+분/NNB+쯤/XSN
방위사업	방위/NNG+사업/NNG
비리	비리/NNG
합수단에서	합수단/NNG+에서/JKB
참고인조사를	참고인/NNG+조사/NNG+를/JKO
받은	받/VV+은/ETM
함모(60)	함/NNP+모/NP+(/SS+60/SN+)/SS
전	전/MMD
해군	해군/NNG
제독이	제독/NNG+이/JKS
행주대교에서	행주대교/NNP+에서/JKB
투신해	투신/NNG+하/XSV+아/EC
스스로	스스로/MAG
목숨을	목숨/NNG+을/JKO
끊었다.	끊/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.136.6.2
함 전 제독은 해군 작전사 부사령관, 인사부장, 방위사업청 함정사업부장 등을 지냈으며 전역 후에는 방위 사업 관련 기업의 고문으로 활동한 것으로 전해졌다.

함	함/NNP
전	전/MMD
제독은	제독/NNG+은/JX
해군	해군/NNG
작전사	작전사/NNG
부사령관,	부사령관/NNG+,/SP
인사부장,	인사부장/NNG+,/SP
방위사업청	방위/NNG+사업청/NNG
함정사업부장	함정/NNG+사업부장/NNG
등을	등/NNB+을/JKO
지냈으며	지내/VV+었/EP+으며/EC
전역	전역/NNG
후에는	후/NNG+에/JKB+는/JX
방위	방위/NNG
사업	사업/NNG
관련	관련/NNG
기업의	기업/NNG+의/JKG
고문으로	고문/NNG+으로/JKB
활동한	활동/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.136.6.3
함 전 제독은 방위 사업 비리와 관련해 최근 참고인 신분으로 2차례 검찰 조사를 받았고, 추가 조사가 예정돼 있었다.

함	함/NNP
전	전/MMD
제독은	제독/NNG+은/JX
방위	방위/NNG
사업	사업/NNG
비리와	비리/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
최근	최근/MAG
참고인	참고인/NNG
신분으로	신분/NNG+으로/JKB
2차례	2/SN+차례/NNG
검찰	검찰/NNG
조사를	조사/NNG+를/JKO
받았고,	받/VV+았/EP+고/EC+,/SP
추가	추가/NNG
조사가	조사/NNG+가/JKS
예정돼	예정/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


