# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.146
metadata : {}


# id : NWRW1800000036.146.1.1
“시니컬한 인물 통한 반전의 인간애가 인기 비결”

“시니컬한	“/SS+시니컬/NNG+하/XSA+ㄴ/ETM
인물	인물/NNG
통한	통하/VV+ㄴ/ETM
반전의	반전/NNG+의/JKG
인간애가	인간애/NNG+가/JKS
인기	인기/NNG
비결”	비결/NNG+”/SS


# id : NWRW1800000036.146.2.1
[한겨레] 인기 미드 ‘하우스’ 작가 쇼어 방한

[한겨레]	[/SS+한겨레/NNP+]/SS
인기	인기/NNG
미드	미드/NNG
‘하우스’	‘/SS+하우스/NNP+’/SS
작가	작가/NNG
쇼어	쇼어/NNP
방한	방한/NNG


# id : NWRW1800000036.146.3.1
닉스 “강남스타일에 ‘한드’ 가능성”

닉스	닉스/NNP
“강남스타일에	“/SS+강남스타일/NNP+에/JKB
‘한드’	‘/SS+한드/NNG+’/SS
가능성”	가능/NNG+성/XSN+”/SS


# id : NWRW1800000036.146.4.1
미국 의학드라마 <하우스>의 주인공 그레고리 하우스(휴 로리)는 실력은 최고이나 환자와 동료에게 상처 주는 말을 쉽게 내뱉는, 얼핏 보면 인간미라고는 없어 보이는 의사다.

미국	미국/NNP
의학드라마	의학/NNG+드라마/NNG
<하우스>의	</SS+하우스/NNP+>/SS+의/JKG
주인공	주인공/NNG
그레고리	그레고리/NNP
하우스(휴	하우스/NNP+(/SS+휴/NNP
로리)는	로리/NNP+)/SS+는/JX
실력은	실력/NNG+은/JX
최고이나	최고/NNG+이나/JC
환자와	환자/NNG+와/JC
동료에게	동료/NNG+에게/JKB
상처	상처/NNG
주는	주/VV+는/ETM
말을	말/NNG+을/JKO
쉽게	쉽/VA+게/EC
내뱉는,	내뱉/VV+는/ETM+,/SP
얼핏	얼핏/MAG
보면	보/VV+면/EC
인간미라고는	인간미/NNG+이/VCP+라고/EC+는/JX
없어	없/VA+어/EC
보이는	보이/VV+는/ETM
의사다.	의사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.146.4.2
하지만 결국 사람들의 아픔을 치료하는 것은 그다.

하지만	하지만/MAJ
결국	결국/MAG
사람들의	사람/NNG+들/XSN+의/JKG
아픔을	아픔/NNG+을/JKO
치료하는	치료/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
그다.	그/NP+이/VCP+다/EF+./SF


# id : NWRW1800000036.146.4.3
드라마는 이 괴팍한 의사를 중심으로 훈훈한 사람 이야기를 펼쳐낸다.

드라마는	드라마/NNG+는/JX
이	이/MMD
괴팍한	괴팍/NNG+하/XSA+ㄴ/ETM
의사를	의사/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
훈훈한	훈훈하/VA+ㄴ/ETM
사람	사람/NNG
이야기를	이야기/NNG+를/JKO
펼쳐낸다.	펼치/VV+어/EC+내/VX+ㄴ다/EF+./SF


# id : NWRW1800000036.146.5.1
이 드라마의 작가이자 제작자인 데이비드 쇼어(53)는 4일 서울 반포동의 한 호텔에서 열린 기자회견에서 “하우스처럼 시니컬한 사람을 통해 역설적으로 사람들 사이의 교류와 관계에 중점을 두면서 따뜻한 인간애를 보여주고 싶었다”고 말했다.

이	이/MMD
드라마의	드라마/NNG+의/JKG
작가이자	작가/NNG+이/VCP+자/EC
제작자인	제작자/NNG+이/VCP+ㄴ/ETM
데이비드	데이비드/NNP
쇼어(53)는	쇼어/NNP+(/SS+53/SN+)/SS+는/JX
4일	4/SN+일/NNB
서울	서울/NNP
반포동의	반포동/NNP+의/JKG
한	한/MMN
호텔에서	호텔/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“하우스처럼	“/SS+하우스/NNP+처럼/JKB
시니컬한	시니컬/NNG+하/XSA+ㄴ/ETM
사람을	사람/NNG+을/JKO
통해	통하/VV+아/EC
역설적으로	역설/NNG+적/XSN+으로/JKB
사람들	사람/NNG+들/XSN
사이의	사이/NNG+의/JKG
교류와	교류/NNG+와/JC
관계에	관계/NNG+에/JKB
중점을	중점/NNG+을/JKO
두면서	두/VV+면서/EC
따뜻한	따뜻하/VA+ㄴ/ETM
인간애를	인간애/NNG+를/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
싶었다”고	싶/VX+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.146.5.2
쇼어는 방송작가협회와 에스비에스문화재단이 주최하는 특강 연사로 초청돼 한국을 찾았다.

쇼어는	쇼어/NNP+는/JX
방송작가협회와	방송/NNG+작가/NNG+협회/NNG+와/JC
에스비에스문화재단이	에스비에스문화재단/NNP+이/JKS
주최하는	주최/NNG+하/XSV+는/ETM
특강	특강/NNG
연사로	연사/NNG+로/JKB
초청돼	초청/NNG+되/XSV+어/EC
한국을	한국/NNP+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.146.6.1
<하우스>는 2004년 첫 방송을 시작해 올해 ‘시즌 8’까지 방송되며 전세계 시청자들의 사랑을 받았다.

<하우스>는	</SS+하우스/NNP+>/SS+는/JX
2004년	2004/SN+년/NNB
첫	첫/MMN
방송을	방송/NNG+을/JKO
시작해	시작/NNG+하/XSV+아/EC
올해	올해/NNG
‘시즌	‘/SS+시즌/NNG
8’까지	8/SN+’/SS+까지/JX
방송되며	방송/NNG+되/XSV+며/EC
전세계	전/MMN+세계/NNG
시청자들의	시청자/NNG+들/XSN+의/JKG
사랑을	사랑/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.146.6.2
국내에서는 케이블 채널 <오시엔>(OCN)에서 매주 화요일 밤 11시에 ‘시즌 7’이 방영중이다.

국내에서는	국내/NNG+에서/JKB+는/JX
케이블	케이블/NNG
채널	채널/NNG
<오시엔>(OCN)에서	</SS+오시엔/NNP+>/SS+(/SS+OCN/SL+)/SS+에서/JKB
매주	매주/MAG
화요일	화요일/NNG
밤	밤/NNG
11시에	11/SN+시/NNB+에/JKB
‘시즌	‘/SS+시즌/NNG
7’이	7/SN+’/SS+이/JKS
방영중이다.	방영/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.146.6.3
쇼어는 주인공을 장애를 지닌 인물로 설정한 것은 “내면과 육체 모두 상처를 받은 시니컬한 캐릭터를 만들기 위해서”라고 설명했다.

쇼어는	쇼어/NNP+는/JX
주인공을	주인공/NNG+을/JKO
장애를	장애/NNG+를/JKO
지닌	지니/VV+ㄴ/ETM
인물로	인물/NNG+로/JKB
설정한	설정/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
“내면과	“/SS+내면/NNG+과/JC
육체	육체/NNG
모두	모두/MAG
상처를	상처/NNG+를/JKO
받은	받/VV+은/ETM
시니컬한	시니컬/NNG+하/XSA+ㄴ/ETM
캐릭터를	캐릭터/NNG+를/JKO
만들기	만들/VV+기/ETN
위해서”라고	위하/VV+아서/EC+”/SS+라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.146.6.4
시니컬한 인물이 인간애를 보여주는 반전의 폭만큼 몰입도도 커진다는 것이다.

시니컬한	시니컬/NNG+하/XSA+ㄴ/ETM
인물이	인물/NNG+이/JKS
인간애를	인간애/NNG+를/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
반전의	반전/NNG+의/JKG
폭만큼	폭/NNG+만큼/JKB
몰입도도	몰입도/NNG+도/JX
커진다는	커지/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.146.7.1
