# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.169
metadata : {}


# id : NWRW1800000048.169.1.1
당신의 인생이자 우리 모두의 인생

당신의	당신/NP+의/JKG
인생이자	인생/NNG+이/VCP+자/EC
우리	우리/NP
모두의	모두/NNG+의/JKG
인생	인생/NNG


# id : NWRW1800000048.169.2.1
‘농민 권순덕의 삶과 기록’ 완간

‘농민	‘/SS+농민/NNG
권순덕의	권순덕/NNP+의/JKG
삶과	삶/NNG+과/JC
기록’	기록/NNG+’/SS
완간	완간/NNG


# id : NWRW1800000048.169.3.1
“1969년 1월 9일 목요일 날씨 맑음

“1969년	“/SS+1969/SN+년/NNB
1월	1/SN+월/NNB
9일	9/SN+일/NNB
목요일	목요일/NNG
날씨	날씨/NNG
맑음	맑음/NNG


# id : NWRW1800000048.169.4.1
인분(똥오줌) 보리밭에 인분 줌.

인분(똥오줌)	인분/NNG+(/SS+똥오줌/NNG+)/SS
보리밭에	보리밭/NNG+에/JKB
인분	인분/NNG
줌.	주/VV+ㅁ/ETN+./SF


# id : NWRW1800000048.169.4.2
날씨 따뜻하고 해서 나무하려 가니까 토기(토끼)가 나무 밑에 잠을 자고 있는데 낯(낫)으로 뜬(던)지고 따라 가면서 돌로 뜬지는대도(던지는데도) 얼굴하계(억울하게) 노치서(놓쳐서) 나무 한 짐 할 때까지 어굴하게 노쳐따는 것을 생각해볼 때 아시운(아쉬운) 마음 금할 길 없떠라.”

날씨	날씨/NNG
따뜻하고	따뜻하/VA+고/EC
해서	하/VX+아서/EC
나무하려	나무/NNG+하/XSV+려/EC
가니까	가/VX+니까/EC
토기(토끼)가	토기/NNG+(/SS+토끼/NNG+)/SS+가/JKS
나무	나무/NNG
밑에	밑/NNG+에/JKB
잠을	잠/NNG+을/JKO
자고	자/VV+고/EC
있는데	있/VX+는데/EC
낯(낫)으로	낯/NNG+(/SS+낫/NNG+)/SS+으로/JKB
뜬(던)지고	뜬/NA+(/SS+던/NA+)/SS+지/NA+고/EC
따라	따르/VV+아/EC
가면서	가/VV+면서/EC
돌로	돌/NNG+로/JKB
뜬지는대도(던지는데도)	뜬지/VV+는대/EC+도/JX+(/SS+던지/VV+는데/EC+도/JX+)/SS
얼굴하계(억울하게)	얼굴하/VA+계/EC+(/SS+억울/NNG+하/XSA+게/EC+)/SS
노치서(놓쳐서)	노치/VV+서/EC+(/SS+놓치/VV+어서/EC+)/SS
한	한/MMN
짐	짐/NNG
할	하/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
어굴하게	어굴/NNG+하/XSA+게/EC
노쳐따는	노쳐따는/NA
것을	것/NNB+을/JKO
생각해볼	생각/NNG+하/XSV+아/EC+보/VX+ㄹ/ETM
때	때/NNG
아시운(아쉬운)	아십/VA+ㄴ/ETM+(/SS+아쉽/VA+ㄴ/ETM+)/SS
마음	마음/NNG
금할	금하/VV+ㄹ/ETM
길	길/NNG
없떠라.”	없/VA+떠라/EF+./SF+”/SS


# id : NWRW1800000048.169.5.1
‘25살’ 1969년~지금껏 매일 일기

‘25살’	‘/SS+25/SN+살/NNB+’/SS
1969년~지금껏	1969/SN+년/NNB+~/SO+지금껏/MAG
매일	매일/MAG
일기	일기/NNG


# id : NWRW1800000048.169.6.1
농민의 삶에 새겨진 근대화 흔적

농민의	농민/NNG+의/JKG
삶에	삶/NNG+에/JKB
새겨진	새기/VV+어/EC+지/VX+ㄴ/ETM
근대화	근대/NNG+화/XSN
흔적	흔적/NNG


# id : NWRW1800000048.169.7.1
