# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.337
metadata : {}


# id : NWRW1800000041.337.1.1
[단독]팽목항의 이주영 장관 사퇴 뜻 굳혀

[단독]팽목항의	[/SS+단독/NNG+]/SS+팽목항/NNP+의/JKG
이주영	이주영/NNP
장관	장관/NNG
사퇴	사퇴/NNG
뜻	뜻/NNG
굳혀	굳히/VV+어/EF


# id : NWRW1800000041.337.2.1
“세월호 수습 마무리되면 책임지겠다” 참사 이후 줄곧 사고현장 머물러… 9월 靑에 사의 재차 표명할 듯

“세월호	“/SS+세월호/NNP
수습	수습/NNG
마무리되면	마무리/NNG+되/XSV+면/EC
책임지겠다”	책임지/VV+겠/EP+다/EF+”/SS
참사	참사/NNG
이후	이후/NNG
줄곧	줄곧/MAG
사고현장	사고/NNG+현장/NNG
머물러…	머무르/VV+어/EF+…/SE
9월	9/SN+월/NNB
靑에	靑/SH+에/JKB
사의	사의/NNG
재차	재차/MAG
표명할	표명/NNG+하/XSV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000041.337.3.1
지난달 박근혜 정부 2기 내각에서 유임된 이주영 해양수산부 장관(사진)이 세월호 참사의 책임을 지고 자진 사퇴하겠다는 뜻을 굳힌 것으로 8일 알려졌다.

지난달	지난달/NNG
박근혜	박근혜/NNP
정부	정부/NNG
2기	2/SN+기/NNG
내각에서	내각/NNG+에서/JKB
유임된	유임/NNG+되/XSV+ㄴ/ETM
이주영	이주영/NNP
해양수산부	해양/NNG+수산부/NNG
장관(사진)이	장관/NNG+(/SS+사진/NNG+)/SS+이/JKS
세월호	세월호/NNP
참사의	참사/NNG+의/JKG
책임을	책임/NNG+을/JKO
지고	지/VV+고/EC
자진	자진/NNG
사퇴하겠다는	사퇴/NNG+하/XSV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
굳힌	굳히/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
8일	8/SN+일/NNB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.337.3.2
세월호 참사 이후 4개월 가까이 전남 진도 팽목항 사고 현장에 머물며 실종자 수색작업을 지휘하고 있는 이 장관은 사고 수습이 마무리되는 대로 다시 한 번 사의를 표명할 것으로 보인다.

세월호	세월호/NNP
참사	참사/NNG
이후	이후/NNG
4개월	4/SN+개월/NNB
가까이	가까이/MAG
전남	전남/NNP
진도	진도/NNP
팽목항	팽목항/NNP
사고	사고/NNG
현장에	현장/NNG+에/JKB
머물며	머물/VV+며/EC
실종자	실종자/NNG
수색작업을	수색/NNG+작업/NNG+을/JKO
지휘하고	지휘/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
이	이/NNP
장관은	장관/NNG+은/JX
수습이	수습/NNG+이/JKS
마무리되는	마무리/NNG+되/XSV+는/ETM
대로	대로/NNB
다시	다시/MAG
한	한/MMN
번	번/NNB
사의를	사의/NNG+를/JKO
표명할	표명/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.337.4.1
이 장관은 유임된 뒤에도 청와대에 “사고를 수습한 뒤 책임을 지고 사퇴하겠다”는 뜻을 수차례 전달한 것으로 알려졌다.

이	이/NNP
장관은	장관/NNG+은/JX
유임된	유임/NNG+되/XSV+ㄴ/ETM
뒤에도	뒤/NNG+에/JKB+도/JX
청와대에	청와대/NNP+에/JKB
“사고를	“/SS+사고/NNG+를/JKO
수습한	수습/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
책임을	책임/NNG+을/JKO
지고	지/VV+고/EC
사퇴하겠다”는	사퇴/NNG+하/XSV+겠/EP+다/EF+”/SS+는/ETM
뜻을	뜻/NNG+을/JKO
수차례	수차례/NNG
전달한	전달/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.337.4.2
사퇴 시기와 관련해선 9월 중순이 될 것이라는 관측이 나온다.

사퇴	사퇴/NNG
시기와	시기/NNG+와/JKB
관련해선	관련/NNG+하/XSV+아서/EC+ㄴ/JX
9월	9/SN+월/NNB
중순이	중순/NNG+이/JKC
될	되/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
관측이	관측/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.337.4.3
이달 안으로 세월호 선체 수색이 거의 마무리되고, 9월 초순 추석 연휴가 시작된다는 점을 감안했다는 것.

이달	이달/NNG
안으로	안/NNG+으로/JKB
세월호	세월호/NNP
선체	선체/NNG
수색이	수색/NNG+이/JKS
거의	거의/MAG
마무리되고,	마무리/NNG+되/XSV+고/EC+,/SP
9월	9/SN+월/NNB
초순	초순/NNG
추석	추석/NNG
연휴가	연휴/NNG+가/JKS
시작된다는	시작/NNG+되/XSV+ㄴ다는/ETM
점을	점/NNG+을/JKO
감안했다는	감안/NNG+하/XSV+았/EP+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000041.337.5.1
이 장관은 지난달 13일 보도자료를 통해 “사고 수습이 마무리되면 져야 할 책임에 따라 합당한 처신을 할 것”이라고 밝힌 바 있다.

