# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.64
metadata : {}


# id : NWRW1800000038.64.1.1
[건축 거장들 나의 대표작] (5) 건축가 조병수의 '심심촌'

[건축	[/SS+건축/NNG
거장들	거장/NNG+들/XSN
나의	나/NP+의/JKG
대표작]	대표작/NNG+]/SS
(5)	(/SS+5/SN+)/SS
건축가	건축가/NNG
조병수의	조병수/NNP+의/JKG
'심심촌'	'/SS+심심촌/NNP+'/SS


# id : NWRW1800000038.64.2.1
그의 집 '네모'에는 하늘과 바람과 별이 드나든다

그의	그/NP+의/JKG
집	집/NNG
'네모'에는	'/SS+네모/NNG+'/SS+에/JKB+는/JX
하늘과	하늘/NNG+과/JC
바람과	바람/NNG+과/JC
별이	별/NNG+이/JKS
드나든다	드나들/VV+ㄴ다/EF


# id : NWRW1800000038.64.3.1
야트막한 동산이 어깨동무하듯 겹쳐져 있는 경기도 양평군 수곡리.

야트막한	야트막하/VA+ㄴ/ETM
동산이	동산/NNG+이/JKS
어깨동무하듯	어깨동무/NNG+하/XSV+듯/EC
겹쳐져	겹쳐지/VV+어/EC
있는	있/VX+는/ETM
경기도	경기도/NNP
양평군	양평군/NNP
수곡리.	수곡리/NNP+./SF


# id : NWRW1800000038.64.3.2
이곳엔 몇 발자국만 오르면 네모 반듯한 '구덩이'가 있는 작은 언덕이 있다.

이곳엔	이곳/NP+에/JKB+ㄴ/JX
몇	몇/NR
발자국만	발자국/NNG+만/JX
오르면	오르/VV+면/EC
네모	네모/NNG
반듯한	반듯하/VA+ㄴ/ETM
'구덩이'가	'/SS+구덩이/NNG+'/SS+가/JKS
있는	있/VA+는/ETM
작은	작/VA+은/ETM
언덕이	언덕/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.64.3.3
가로세로 14m×17m, 깊이 3m의 단단한 콘크리트 벽체에 둘러싸여 지하 깊이 파들어간 거대한 직사각형 상자.

가로세로	가로세로/NNG
14m×17m,	14/SN+m/SW+×/SW+17/SN+m/SW+,/SP
깊이	깊이/MAG
3m의	3/SN+m/SW+의/JKG
단단한	단단하/VA+ㄴ/ETM
콘크리트	콘크리트/NNG
벽체에	벽체/NNG+에/JKB
둘러싸여	둘러싸이/VV+어/EC
지하	지하/NNG
파들어간	파/VV+아/EC+들어가/VV+ㄴ/ETM
거대한	거대/NNG+하/XSA+ㄴ/ETM
직사각형	직사각형/NNG
상자.	상자/NNG+./SF


# id : NWRW1800000038.64.3.4
거친 지하 수조인 듯, 옛 왕조의 고분(古墳)인 듯, 자칫 지나치기 쉬운 이 공간에는 좁은 앞마당과 작은 집이 긴장감 있게 들어서 있다.

거친	거칠/VA+ㄴ/ETM
지하	지하/NNG
수조인	수조/NNG+이/VCP+ㄴ/ETM
듯,	듯/NNB+,/SP
옛	옛/MMA
왕조의	왕조/NNG+의/JKG
고분(古墳)인	고분/NNG+(/SS+古墳/SH+)/SS+이/VCP+ㄴ/ETM
자칫	자칫/MAG
지나치기	지나치/VV+기/ETN
쉬운	쉽/VA+ㄴ/ETM
이	이/MMD
공간에는	공간/NNG+에/JKB+는/JX
