# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.340
metadata : {}


# id : NWRW1800000026.340.1.1
[울산] 2015년 울산 교실당 학생 수 30명 미만;저출산 여파 학생 수 감소로 현 33.4명서 5년 후 29.8명

[울산]	[/SS+울산/NNP+]/SS
2015년	2015/SN+년/NNB
울산	울산/NNP
교실당	교실/NNG+당/XSN
학생	학생/NNG
수	수/NNG
30명	30/SN+명/NNB
미만;저출산	미만/NNG+;/SW+저/XPN+출산/NNG
여파	여파/NNG
감소로	감소/NNG+로/JKB
현	현/MMD
33.4명서	33/SN+./SP+4/SN+명/NNB+서/JKB
5년	5/SN+년/NNB
후	후/NNG
29.8명	29/SN+./SP+8/SN+명/NNB


# id : NWRW1800000026.340.2.1
오는 2015년 울산지역 전체 초·중·고교의 학급당 평균 학생 수가 사상 처음 20명대 수준으로 낮아질 것으로 분석됐다.

오는	오/VV+는/ETM
2015년	2015/SN+년/NNB
울산지역	울산/NNP+지역/NNG
전체	전체/NNG
초·중·고교의	초·중·고교/NNG+의/JKG
학급당	학급/NNG+당/XSN
평균	평균/NNG
학생	학생/NNG
수가	수/NNG+가/JKS
사상	사상/NNG
처음	처음/NNG
20명대	20/SN+명/NNB+대/XSN
수준으로	수준/NNG+으로/JKB
낮아질	낮/VA+아/EC+지/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
분석됐다.	분석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.340.3.1
14일 울산시교육청이 확정해 발표한 2015년 중기 학생 수용 계획에 따르면 2015년의 학급당 학생 수는 초등학교 24.8명, 중학교 30.8명, 고등학교 33.7명 등으로 전체 평균 29.8명으로 예상됐다.

14일	14/SN+일/NNB
울산시교육청이	울산시교육청/NNP+이/JKS
확정해	확정/NNG+하/XSV+아/EC
발표한	발표/NNG+하/XSV+ㄴ/ETM
2015년	2015/SN+년/NNB
중기	중기/NNG
학생	학생/NNG
수용	수용/NNG
계획에	계획/NNG+에/JKB
따르면	따르/VV+면/EC
2015년의	2015/SN+년/NNB+의/JKG
학급당	학급/NNG+당/XSN
수는	수/NNG+는/JX
초등학교	초등학교/NNG
24.8명,	24/SN+./SP+8/SN+명/NNB+,/SP
중학교	중학교/NNG
30.8명,	30/SN+./SP+8/SN+명/NNB+,/SP
고등학교	고등학교/NNG
33.7명	33/SN+./SP+7/SN+명/NNB
등으로	등/NNB+으로/JKB
전체	전체/NNG
평균	평균/NNG
29.8명으로	29/SN+./SP+8/SN+명/NNB+으로/JKB
예상됐다.	예상/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.340.3.2
올해 통계는 초등학교 28.3명, 중학교 35명, 고등학교 37명 등으로 전체 평균 33.4명이다.

올해	올해/NNG
통계는	통계/NNG+는/JX
