# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.52
metadata : {}


# id : NWRW1800000030.52.1.1
하마스, 팔레스타인 자치정부에 동참

하마스,	하마스/NNP+,/SP
팔레스타인	팔레스타인/NNP
자치정부에	자치/NNG+정부/NNG+에/JKB
동참	동참/NNG


# id : NWRW1800000030.52.2.1
•파타와 통합정부 구성 합의

•파타와	•/SW+파타/NNP+와/JC
통합정부	통합/NNG+정부/NNG
구성	구성/NNG
합의	합의/NNG


# id : NWRW1800000030.52.3.1
팔레스타인의 강경 무장정파 하마스(Hamas)가 친(親)서방 온건파인 파타(Fatah)가 이끄는 팔레스타인해방기구(PLO)에 동참하기로 했다.

팔레스타인의	팔레스타인/NNP+의/JKG
강경	강경/NNG
무장정파	무장/NNG+정파/NNG
하마스(Hamas)가	하마스/NNP+(/SS+Hamas/SL+)/SS+가/JKS
친(親)서방	친/XPN+(/SS+親/SH+)/SS+서방/NNG
온건파인	온건파/NNG+이/VCP+ㄴ/ETM
파타(Fatah)가	파타/NNP+(/SS+Fatah/SL+)/SS+가/JKS
이끄는	이끌/VV+는/ETM
팔레스타인해방기구(PLO)에	팔레스타인해방기구/NNP+(/SS+PLO/SL+)/SS+에/JKB
동참하기로	동참/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.52.3.2
양측은 22일 이집트 카이로에서 이 같은 화합 협정을 발표하고, 내년 하마스가 점령한 가자지구와 파타가 통치하는 서안지구에서 각각 총선을 치른 뒤 이를 토대로 거국 통합정부를 구성하는 방안에 합의했다고 발표했다.

양측은	양측/NNG+은/JX
22일	22/SN+일/NNB
이집트	이집트/NNP
카이로에서	카이로/NNP+에서/JKB
이	이/NP
같은	같/VA+은/ETM
화합	화합/NNG
협정을	협정/NNG+을/JKO
발표하고,	발표/NNG+하/XSV+고/EC+,/SP
내년	내년/NNG
하마스가	하마스/NNP+가/JKS
점령한	점령/NNG+하/XSV+ㄴ/ETM
가자지구와	가자지구/NNP+와/JC
파타가	파타/NNP+가/JKS
통치하는	통치/NNG+하/XSV+는/ETM
서안지구에서	서안지구/NNP+에서/JKB
각각	각각/MAG
총선을	총선/NNG+을/JKO
치른	치르/VV+ㄴ/ETM
뒤	뒤/NNG
이를	이/NP+를/JKO
토대로	토대/NNG+로/JKB
거국	거국/NNG
통합정부를	통합/NNG+정부/NNG+를/JKO
구성하는	구성/NNG+하/XSV+는/ETM
방안에	방안/NNG+에/JKB
합의했다고	합의/NNG+하/XSV+았/EP+다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.52.4.1
하마스는 1987년 이슬람 원리주의를 표방하고 제1차 인티파다(이스라엘 저항운동)를 일으키며 탄생한 뒤 수차례 테러를 통해 이스라엘인 수백 명을 살해했다.

하마스는	하마스/NNP+는/JX
1987년	1987/SN+년/NNB
이슬람	이슬람/NNG
원리주의를	원리주의/NNG+를/JKO
표방하고	표방/NNG+하/XSV+고/EC
제1차	제/XPN+1/SN+차/NNB
인티파다(이스라엘	인티파다/NNG+(/SS+이스라엘/NNP
저항운동)를	저항/NNG+운동/NNG+)/SS+를/JKO
일으키며	일으키/VV+며/EC
탄생한	탄생/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
수차례	수차례/NNG
테러를	테러/NNG+를/JKO
통해	통하/VV+아/EC
이스라엘인	이스라엘인/NNG
수백	수백/NR
명을	명/NNB+을/JKO
살해했다.	살해/NNG+하/XSV+았/EP+다/EF+./SF


