# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.356
metadata : {}


# id : NWRW1800000044.356.1.1
새누리 새 사무총장 윤상현…박 대통령 당 장악력 커질 듯

새누리	새누리/NNP
새	새/MMA
사무총장	사무총장/NNG
윤상현…박	윤상현/NNP+…/SE+박/NNP
대통령	대통령/NNG
당	당/NNG
장악력	장악력/NNG
커질	커지/VV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000044.356.2.1
[한겨레] 새누리당은 15일 신임 사무총장으로 친박근혜계의 핵심인 윤상현 의원을 내정했다.

[한겨레]	[/SS+한겨레/NNP+]/SS
새누리당은	새누리당/NNP+은/JX
15일	15/SN+일/NNB
신임	신임/NNG
사무총장으로	사무총장/NNG+으로/JKB
친박근혜계의	친/XPN+박근혜/NNP+계/XSN+의/JKG
핵심인	핵심/NNG+이/VCP+ㄴ/ETM
윤상현	윤상현/NNP
의원을	의원/NNG+을/JKO
내정했다.	내정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.356.2.2
전임 사무총장인 홍문종 의원에 이어 ‘친박계’가 연이어 새누리당 사무총장을 맡게 돼 박 대통령이 당 장악력을 더 높일 것이라는 관측이 나온다.

전임	전임/NNG
사무총장인	사무총장/NNG+이/VCP+ㄴ/ETM
홍문종	홍문종/NNP
의원에	의원/NNG+에/JKB
이어	잇/VV+어/EC
‘친박계’가	‘/SS+친/XPN+박/NNP+계/XSN+’/SS+가/JKS
연이어	연잇/VV+어/EC
새누리당	새누리당/NNP
사무총장을	사무총장/NNG+을/JKO
맡게	맡/VV+게/EC
돼	되/VV+어/EC
박	박/NNP
대통령이	대통령/NNG+이/JKS
당	당/NNG
장악력을	장악력/NNG+을/JKO
더	더/MAG
높일	높이/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
관측이	관측/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.356.3.1
당 비상대책위원장을 겸임하고 있는 이완구 원내대표는 이날 윤 의원을 새 사무총장에 내정했다.

당	당/NNG
비상대책위원장을	비상/NNG+대책/NNG+위원장/NNG+을/JKO
겸임하고	겸임/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
이완구	이완구/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이날	이날/NNG
윤	윤/NNP
의원을	의원/NNG+을/JKO
새	새/MMA
사무총장에	사무총장/NNG+에/JKB
내정했다.	내정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.356.3.2
윤 의원은 16일 비대위에서 추인을 받은 뒤 정식으로 임명될 것으로 보인다.

윤	윤/NNP
의원은	의원/NNG+은/JX
16일	16/SN+일/NNB
비대위에서	비대위/NNG+에서/JKB
추인을	추인/NNG+을/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
정식으로	정식/NNG+으로/JKB
임명될	임명/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.356.4.1
당 대변인과 원내수석부대표를 지낸 윤 의원은 지난 대선에서 박근혜 캠프 공보단장을 맡는 등 친박계 핵심으로 꼽히는 한편, 새누리당 내 대표적인 강경파로 분류된다.

당	당/NNG
대변인과	대변인/NNG+과/JC
원내수석부대표를	원내/NNG+수석/NNG+부대표/NNG+를/JKO
지낸	지내/VV+ㄴ/ETM
윤	윤/NNP
의원은	의원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
대선에서	대선/NNG+에서/JKB
박근혜	박근혜/NNP
캠프	캠프/NNG
공보단장을	공보단장/NNG+을/JKO
맡는	맡/VV+는/ETM
등	등/NNB
친박계	친/XPN+박/NNP+계/XSN
핵심으로	핵심/NNG+으로/JKB
꼽히는	꼽히/VV+는/ETM
한편,	한편/NNG+,/SP
새누리당	새누리당/NNP
내	내/NNB
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
강경파로	강경파/NNG+로/JKB
분류된다.	분류/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.356.4.2
특히 당직 서열로는 중하위인 원내수석부대표 때는 매주 일요일 오후 정례 간담회를 열어 당 안팎의 현안을 주도해 ‘실세 중의 실세’라는 평가를 받았다.

