# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.295
metadata : {}


# id : NWRW1800000021.295.1.1
부자 개미들 장기투자로 수익 높고 일반 개미는 단타매매로 수익 낮아

부자	부자/NNG
개미들	개미/NNG+들/XSN
장기투자로	장기/NNG+투자/NNG+로/JKB
수익	수익/NNG
높고	높/VA+고/EC
일반	일반/NNG
개미는	개미/NNG+는/JX
단타매매로	단타/NNG+매매/NNG+로/JKB
낮아	낮/VA+아/EF


# id : NWRW1800000021.295.2.1
주식에 직접 투자하는 사람 중 상당수는 글로벌 금융위기 이후 잃어버린 수익률을 회복하기 위해 종전보다 자주 주식을 사고팔았지만 매매가 잦은 지역일수록 평균 수익률은 더 낮았던 것으로 드러났다.

주식에	주식/NNG+에/JKB
직접	직접/MAG
투자하는	투자/NNG+하/XSV+는/ETM
사람	사람/NNG
중	중/NNB
상당수는	상당수/NNG+는/JX
글로벌	글로벌/NNG
금융위기	금융/NNG+위기/NNG
이후	이후/NNG
잃어버린	잃어버리/VV+ㄴ/ETM
수익률을	수익/NNG+률/XSN+을/JKO
회복하기	회복/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
종전보다	종전/NNG+보다/JKB
자주	자주/MAG
주식을	주식/NNG+을/JKO
사고팔았지만	사고팔/VV+았/EP+지만/EC
매매가	매매/NNG+가/JKS
잦은	잦/VA+은/ETM
지역일수록	지역/NNG+이/VCP+ㄹ수록/EC
평균	평균/NNG
수익률은	수익/NNG+률/XSN+은/JX
더	더/MAG
낮았던	낮/VA+았/EP+던/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.295.3.1
동아일보가 15일 금융위기 1주년을 맞아 4개 대형증권사의 서울지역 140여 개 지점에 계좌를 개설한 약 200만 명의 개인투자자들을 구(區)별로 묶어 투자 행태를 분석한 결과 이처럼 나타났다.

동아일보가	동아일보/NNP+가/JKS
15일	15/SN+일/NNB
금융위기	금융/NNG+위기/NNG
1주년을	1/SN+주년/NNB+을/JKO
맞아	맞/VV+아/EC
4개	4/SN+개/NNB
대형증권사의	대형/NNG+증권사/NNG+의/JKG
서울지역	서울지역/NNP
140여	140/SN+여/XSN
개	개/NNB
지점에	지점/NNG+에/JKB
계좌를	계좌/NNG+를/JKO
개설한	개설/NNG+하/XSV+ㄴ/ETM
약	약/MMA
200만	200/SN+만/NR
명의	명/NNB+의/JKG
개인투자자들을	개인/NNG+투자자/NNG+들/XSN+을/JKO
구(區)별로	구/NNG+(/SS+區/SH+)/SS+별/XSN+로/JKB
묶어	묶/VV+어/EC
투자	투자/NNG
행태를	행태/NNG+를/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
이처럼	이/NP+처럼/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.295.3.2
▶B1면에 관련기사

▶B1면에	▶/SW+B/SL+1/SN+면/NNG+에/JKB
관련기사	관련/NNG+기사/NNG


# id : NWRW1800000021.295.4.1
금융위기 이전(2007년 9월∼2008년 7월) 서울지역 주식 직접투자자들의 월평균 회전율은 76.1%였으나 위기 이후(2008년 9월∼2009년 7월)에는 81.0%로 4.9%포인트 높아졌다.

금융위기	금융/NNG+위기/NNG
이전(2007년	이전/NNG+(/SS+2007/SN+년/NNB
9월∼2008년	9/SN+월/NNB+∼/SO+2008/SN+년/NNB
7월)	7/SN+월/NNB+)/SS
서울지역	서울지역/NNP
주식	주식/NNG
직접투자자들의	직접/NNG+투자자/NNG+들/XSN+의/JKG
월평균	월평균/NNG
회전율은	회전/NNG+율/XSN+은/JX
76.1%였으나	76/SN+./SP+1/SN+%/SW+이/VCP+었/EP+으나/EC
위기	위기/NNG
이후(2008년	이후/NNG+(/SS+2008/SN+년/NNB
9월∼2009년	9/SN+월/NNB+∼/SO+2009/SN+년/NNB
7월)에는	7/SN+월/NNB+)/SS+에/JKB+는/JX
81.0%로	81/SN+./SP+0/SN+%/SW+로/JKB
4.9%포인트	4/SN+./SP+9/SN+%포인트/NNG
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.295.4.2
특히 분석대상인 서울 24개구 가운데 5개 구(서대문 금천 은평 도봉 강북구)는 금융위기 이후 월평균 회전율이 99.8%로 가장 높았다.

특히	특히/MAG
분석대상인	분석/NNG+대상/NNG+이/VCP+ㄴ/ETM
서울	서울/NNP
24개구	24/SN+개/NNB+구/NNG
가운데	가운데/NNG
5개	5/SN+개/NNB
구(서대문	구/NNP+(/SS+서대문/NNP
금천	금천/NNP
은평	은평/NNP
도봉	도봉/NNP
강북구)는	강북구/NNP+)/SS+는/JX
금융위기	금융/NNG+위기/NNG
이후	이후/NNG
월평균	월평균/NNG
회전율이	회전/NNG+율/XSN+이/JKS
99.8%로	99/SN+./SP+8/SN+%/SW+로/JKB
가장	가장/MAG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000021.295.4.3
그러나 이들 구의 평균 수익률은 13.7%로 서울지역 평균 수익률(16.4%)보다 낮았고 개인투자자가 주로 거래하는 코스닥지수 상승률(14.8%)에도 못 미쳤다.

그러나	그러나/MAJ
이들	이/NP+들/XSN
구의	구/NNG+의/JKG
평균	평균/NNG
수익률은	수익/NNG+률/XSN+은/JX
13.7%로	13/SN+./SP+7/SN+%/SW+로/JKB
서울지역	서울지역/NNP
수익률(16.4%)보다	수익/NNG+률/XSN+(/SS+16/SN+./SP+4/SN+%/SW+)/SS+보다/JKB
낮았고	낮/VA+았/EP+고/EC
개인투자자가	개인/NNG+투자자/NNG+가/JKS
주로	주로/MAG
거래하는	거래/NNG+하/XSV+는/ETM
코스닥지수	코스닥/NNP+지수/NNG
상승률(14.8%)에도	상승/NNG+률/XSN+(/SS+14/SN+./SP+8/SN+%/SW+)/SS+에/JKB+도/JX
못	못/MAG
미쳤다.	미치/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.295.5.1
반면 강남 서초 송파 종로 영등포 중구 등 6개 구의 금융위기 이후 월평균 회전율은 54.3%로 매매빈도가 상대적으로 낮았지만 평균 수익률은 16.4%로 회전율이 높았던 5개 구의 수익률을 넘어섰다.

반면	반면/NNG
강남	강남/NNP
서초	서초/NNP
송파	송파/NNP
종로	종로/NNP
영등포	영등포/NNP
중구	중구/NNP
등	등/NNB
6개	6/SN+개/NNB
구의	구/NNG+의/JKG
금융위기	금융/NNG+위기/NNG
이후	이후/NNG
월평균	월평균/NNG
회전율은	회전/NNG+율/XSN+은/JX
54.3%로	54/SN+./SP+3/SN+%/SW+로/JKB
매매빈도가	매매/NNG+빈도/NNG+가/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
낮았지만	낮/VA+았/EP+지만/EC
평균	평균/NNG
수익률은	수익/NNG+률/XSN+은/JX
16.4%로	16/SN+./SP+4/SN+%/SW+로/JKB
회전율이	회전/NNG+율/XSN+이/JKS
높았던	높/VA+았/EP+던/ETM
5개	5/SN+개/NNB
수익률을	수익/NNG+률/XSN+을/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.295.6.1
대신증권 송동근 강남지역본부장은 “통상 부유층 투자자들은 주식 시황 변동에 흔들리지 않는 경향을 보이는 반면 일반투자자들은 잦은 매매를 하다 오히려 수익률을 떨어뜨리는 결과를 빚는다”고 말했다.

대신증권	대신증권/NNP
송동근	송동근/NNP
강남지역본부장은	강남지역/NNP+본부장/NNG+은/JX
“통상	“/SS+통상/MAG
부유층	부유/NNG+층/XSN
투자자들은	투자자/NNG+들/XSN+은/JX
주식	주식/NNG
시황	시황/NNG
변동에	변동/NNG+에/JKB
흔들리지	흔들리/VV+지/EC
않는	않/VX+는/ETM
경향을	경향/NNG+을/JKO
보이는	보이/VV+는/ETM
반면	반면/NNG
일반투자자들은	일반/NNG+투자자/NNG+들/XSN+은/JX
잦은	잦/VA+은/ETM
매매를	매매/NNG+를/JKO
하다	하/VV+다/EC
오히려	오히려/MAG
수익률을	수익/NNG+률/XSN+을/JKO
떨어뜨리는	떨어뜨리/VV+는/ETM
결과를	결과/NNG+를/JKO
빚는다”고	빚/VV+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


