# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.234
metadata : {}


# id : NWRW1800000041.234.1.1
[소치]시상대 맨 위에 여성 동성애자

[소치]시상대	[/SS+소치/NNP+]/SS+시상대/NNG
맨	맨/MMA
위에	위/NNG+에/JKB
여성	여성/NNG
동성애자	동성애자/NNG


# id : NWRW1800000041.234.2.1
난소암 이긴 네덜란드 뷔스트, 빙속 3000m 우승 통산 3번째 金

난소암	난소암/NNG
이긴	이기/VV+ㄴ/ETM
네덜란드	네덜란드/NNP
뷔스트,	뷔스트/NNP+,/SP
빙속	빙속/NNG
3000m	3000/SN+m/SW
우승	우승/NNG
통산	통산/NNG
3번째	3/SN+번/NNB+째/XSN
金	金/SH


# id : NWRW1800000041.234.3.1
버락 오바마 미국 대통령이 소치 겨울올림픽 개회식에 불참한 이유 가운데 하나는 러시아의 인권 문제에 대한 항의 표시로 알려졌다.

버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령이	대통령/NNG+이/JKS
소치	소치/NNP
겨울올림픽	겨울/NNG+올림픽/NNG
개회식에	개회식/NNG+에/JKB
불참한	불참/NNG+하/XSV+ㄴ/ETM
이유	이유/NNG
가운데	가운데/NNG
하나는	하나/NR+는/JX
러시아의	러시아/NNP+의/JKG
인권	인권/NNG
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
항의	항의/NNG
표시로	표시/NNG+로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.234.3.2
블라디미르 푸틴 러시아 대통령은 지난해 6월 미성년자에게 동성애 광고를 금지하는 ‘반동성애법’을 제정해 국제적인 비난 여론에 휩싸였다.

블라디미르	블라디미르/NNP
푸틴	푸틴/NNP
러시아	러시아/NNP
대통령은	대통령/NNG+은/JX
지난해	지난해/NNG
6월	6/SN+월/NNB
미성년자에게	미성년자/NNG+에게/JKB
동성애	동성애/NNG
광고를	광고/NNG+를/JKO
금지하는	금지/NNG+하/XSV+는/ETM
‘반동성애법’을	‘/SS+반/XPN+동성애/NNG+법/NNG+’/SS+을/JKO
제정해	제정/NNG+하/XSV+아/EC
국제적인	국제/NNG+적/XSN+이/VCP+ㄴ/ETM
비난	비난/NNG
여론에	여론/NNG+에/JKB
휩싸였다.	휩싸이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.234.3.3
이 법을 위반하면 5만∼100만 루블(약 3000만 원)의 벌금이 부과되고 외국인은 벌금형과 함께 추방된다.

이	이/MMD
법을	법/NNG+을/JKO
위반하면	위반/NNG+하/XSV+면/EC
5만∼100만	5/SN+만/NR+∼/SO+100/SN+만/NR
루블(약	루블/NNB+(/SS+약/MMA
3000만	3000/SN+만/NR
원)의	원/NNB+)/SS+의/JKG
벌금이	벌금/NNG+이/JKS
부과되고	부과/NNG+되/XSV+고/EC
외국인은	외국인/NNG+은/JX
벌금형과	벌금형/NNG+과/JKB
함께	함께/MAG
추방된다.	추방/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.234.4.1
9일 밤 소치 아들레르아레나에서 열린 스피드스케이팅 여자 3000m에서 4분00초34의 기록으로 우승한 네덜란드 여자 빙속 스타 이레인 뷔스트(28·사진)는 남다른 스포트라이트를 받았다.

9일	9/SN+일/NNB
밤	밤/NNG
소치	소치/NNP
아들레르아레나에서	아들레르아레나/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
스피드스케이팅	스피드/NNG+스케이팅/NNG
여자	여자/NNG
3000m에서	3000/SN+m/SW+에서/JKB
4분00초34의	4/SN+분/NNB+00/SN+초/NNB+34/SN+의/JKG
기록으로	기록/NNG+으로/JKB
우승한	우승/NNG+하/XSV+ㄴ/ETM
네덜란드	네덜란드/NNP
빙속	빙속/NNG
스타	스타/NNG
이레인	이레인/NNP
뷔스트(28·사진)는	뷔스트/NNP+(/SS+28/SN+·/SP+사진/NNG+)/SS+는/JX
남다른	남다르/VA+ㄴ/ETM
스포트라이트를	스포트라이트/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.234.4.2
자신의 동성애 사실을 공개한 7명의 올림픽 출전 선수 가운데 처음으로 메달을 따낸 것.

자신의	자신/NNG+의/JKG
동성애	동성애/NNG
사실을	사실/NNG+을/JKO
공개한	공개/NNG+하/XSV+ㄴ/ETM
7명의	7/SN+명/NNB+의/JKG
올림픽	올림픽/NNG
출전	출전/NNG
선수	선수/NNG
가운데	가운데/NNG
처음으로	처음/NNG+으로/JKB
메달을	메달/NNG+을/JKO
따낸	따내/VV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000041.234.4.3
이날 레이스에서 자국기를 상징하는 빨강 파랑 흰색의 매니큐어를 손톱에 칠한 그는 대회 2연패를 노리던 마르티나 사블리코바(4분1초95·체코)를 제치고 2006년 토리노 올림픽 3000m, 2010년 밴쿠버 올림픽 1500m에 이어 3개 대회 연속 금메달의 대기록도 세웠다.

이날	이날/NNG
레이스에서	레이스/NNG+에서/JKB
자국기를	자국기/NNG+를/JKO
상징하는	상징/NNG+하/XSV+는/ETM
빨강	빨강/NNG
파랑	파랑/NNG
흰색의	흰색/NNG+의/JKG
매니큐어를	매니큐어/NNG+를/JKO
손톱에	손톱/NNG+에/JKB
칠한	칠/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
대회	대회/NNG
2연패를	2/SN+연패/NNG+를/JKO
노리던	노리/VV+던/ETM
마르티나	마르티나/NNP
사블리코바(4분1초95·체코)를	사블리코바/NNP+(/SS+4/SN+분/NNB+1/SN+초/NNB+95/SN+·/SP+체코/NNP+)/SS+를/JKO
제치고	제치/VV+고/EC
2006년	2006/SN+년/NNB
토리노	토리노/NNP
올림픽	올림픽/NNG
3000m,	3000/SN+m/SW+,/SP
2010년	2010/SN+년/NNB
밴쿠버	밴쿠버/NNP
1500m에	1500/SN+m/SW+에/JKB
이어	잇/VV+어/EC
3개	3/SN+개/NNB
연속	연속/NNG
금메달의	금메달/NNG+의/JKG
대기록도	대/XPN+기록/NNG+도/JX
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.234.5.1
자신을 향한 경기 외적인 시선이 부담스러운 듯 뷔스트는 동성애자 인권 문제에 대한 언급은 피했다.

자신을	자신/NNG+을/JKO
향한	향하/VV+ㄴ/ETM
경기	경기/NNG
외적인	외/NNB+적/XSN+이/VCP+ㄴ/ETM
시선이	시선/NNG+이/JKS
