# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.329
metadata : {}


# id : NWRW1800000025.329.1.1
이래도 안끊어?

이래도	이러/VV+어도/EC
안끊어?	안/MAG+끊/VV+어/EF+?/SF


# id : NWRW1800000025.329.2.1
“이래도 안 끊을래?”

“이래도	“/SS+이러/VV+어도/EC
안	안/MAG
끊을래?”	끊/VV+을래/EF+?/SF+”/SS


# id : NWRW1800000025.329.3.1
관에 누워 있는 남자 시신, 담배 피우다 목에 구멍이 뚫린 남자, 흡연으로 썩고 있는 치아와 입술….

관에	관/NNG+에/JKB
누워	눕/VV+어/EC
있는	있/VX+는/ETM
남자	남자/NNG
시신,	시신/NNG+,/SP
담배	담배/NNG
피우다	피우/VV+다/EC
목에	목/NNG+에/JKB
구멍이	구멍/NNG+이/JKS
뚫린	뚫리/VV+ㄴ/ETM
남자,	남자/NNG+,/SP
흡연으로	흡연/NNG+으로/JKB
썩고	썩/VV+고/EC
치아와	치아/NNG+와/JC
입술….	입술/NNG+…/SE+./SF


# id : NWRW1800000025.329.3.2
미국식품의약국(FDA)이 흡연율을 낮추기 위한 극약처방으로 담뱃갑 표지에 충격적인 그림과 단도직입적인 경고문구를 삽입한다고 워싱턴포스트 등이 10일 보도했다.

미국식품의약국(FDA)이	미국식품의약국/NNP+(/SS+FDA/SL+)/SS+이/JKS
흡연율을	흡연/NNG+율/XSN+을/JKO
낮추기	낮추/VV+기/ETN
위한	위하/VV+ㄴ/ETM
극약처방으로	극약/NNG+처방/NNG+으로/JKB
담뱃갑	담뱃갑/NNG
표지에	표지/NNG+에/JKB
충격적인	충격/NNG+적/XSN+이/VCP+ㄴ/ETM
그림과	그림/NNG+과/JC
단도직입적인	단도직입/NNG+적/XSN+이/VCP+ㄴ/ETM
경고문구를	경고/NNG+문구/NNG+를/JKO
삽입한다고	삽입/NNG+하/XSV+ㄴ다고/EC
워싱턴포스트	워싱턴포스트/NNP
등이	등/NNB+이/JKS
10일	10/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.329.4.1
FDA는 담뱃갑에 실을 36점의 경고그림 시안을 최근 온라인 홈페이지에 공개했으며 내년 1월 9일까지 의견 수렴을 거쳐 6월 최종 9개 안을 정할 예정이다.

FDA는	FDA/SL+는/JX
담뱃갑에	담뱃갑/NNG+에/JKB
실을	싣/VV+을/ETM
36점의	36/SN+점/NNB+의/JKG
경고그림	경고/NNG+그림/NNG
시안을	시안/NNG+을/JKO
최근	최근/MAG
온라인	온라인/NNG
홈페이지에	홈페이지/NNG+에/JKB
공개했으며	공개/NNG+하/XSV+았/EP+으며/EC
내년	내년/NNG
1월	1/SN+월/NNB
9일까지	9/SN+일/NNB+까지/JX
의견	의견/NNG
수렴을	수렴/NNG+을/JKO
거쳐	거치/VV+어/EC
6월	6/SN+월/NNB
최종	최종/NNG
9개	9/SN+개/NNB
안을	안/NNG+을/JKO
정할	정하/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.329.4.2
FDA에 따르면 경고그림은 담뱃갑의 앞뒷면 절반을 차지하며 지면에 싣는 광고 중 20%에도 경고그림을 삽입해야 한다.

FDA에	FDA/SL+에/JKB
따르면	따르/VV+면/EC
경고그림은	경고/NNG+그림/NNG+은/JX
담뱃갑의	담뱃갑/NNG+의/JKG
앞뒷면	앞뒷면/NNG
절반을	절반/NNG+을/JKO
차지하며	차지/NNG+하/XSV+며/EC
지면에	지면/NNG+에/JKB
싣는	싣/VV+는/ETM
광고	광고/NNG
중	중/NNB
20%에도	20/SN+%/SW+에/JKB+도/JX
경고그림을	경고/NNG+그림/NNG+을/JKO
삽입해야	삽입/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000025.329.4.3
2012년 10월부터 담배제조업자는 이 그림과 문구를 싣지 않으면 아예 담배를 팔 수 없다.

2012년	2012/SN+년/NNB
10월부터	10/SN+월/NNB+부터/JX
담배제조업자는	담배/NNG+제조업자/NNG+는/JX
이	이/MMD
그림과	그림/NNG+과/JC
문구를	문구/NNG+를/JKO
싣지	싣/VV+지/EC
않으면	않/VX+으면/EC
아예	아예/MAG
담배를	담배/NNG+를/JKO
팔	팔/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000025.329.4.4
FDA 대변인은 “경고그림은 모두 컬러로 제작되며 추가비용은 국민의 세금이 아닌 담배회사가 지불할 것”이라고 AFP통신에 전했다.

FDA	FDA/SL
대변인은	대변인/NNG+은/JX
“경고그림은	“/SS+경고/NNG+그림/NNG+은/JX
모두	모두/MAG
컬러로	컬러/NNG+로/JKB
제작되며	제작/NNG+되/XSV+며/EC
추가비용은	추가/NNG+비용/NNG+은/JX
국민의	국민/NNG+의/JKG
세금이	세금/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
담배회사가	담배/NNG+회사/NNG+가/JKS
지불할	지불/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
AFP통신에	AFP통신/NNP+에/JKB
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.329.5.1
이번 조치는 담배에 더 강한 경고 표시를 하도록 지난해 통과한 새 규제법안에 따른 것.

이번	이번/NNG
조치는	조치/NNG+는/JX
담배에	담배/NNG+에/JKB
더	더/MAG
강한	강하/VA+ㄴ/ETM
경고	경고/NNG
표시를	표시/NNG+를/JKO
하도록	하/VV+도록/EC
지난해	지난해/NNG
