# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.6
metadata : {}


# id : NWRW1800000040.6.1.1
미 “다시 금융위기 오면 은행에 정부지원 없다”

미	미/NNP
“다시	“/SS+다시/MAG
금융위기	금융/NNG+위기/NNG
오면	오/VV+면/EC
은행에	은행/NNG+에/JKB
정부지원	정부/NNG+지원/NNG
없다”	없/VA+다/EF+”/SS


# id : NWRW1800000040.6.2.1
금융당국 “국제적 지원도 기대말라”

금융당국	금융/NNG+당국/NNG
“국제적	“/SS+국제/NNG+적/XSN
지원도	지원/NNG+도/JX
기대말라”	기대/NNG+말/VV+라/EF+”/SS


# id : NWRW1800000040.6.3.1
은행에 여름까지 ‘자구책 마련’ 통보

은행에	은행/NNG+에/JKB
여름까지	여름/NNG+까지/JX
‘자구책	‘/SS+자구책/NNG
마련’	마련/NNG+’/SS
통보	통보/NNG


# id : NWRW1800000040.6.4.1
미국 금융당국이 은행들에 2008년 같은 금융위기가 다시 닥쳤을 때 정부의 지원이 없다는 것을 전제로 자구책을 마련하라고 통보했다.

미국	미국/NNP
금융당국이	금융/NNG+당국/NNG+이/JKS
은행들에	은행/NNG+들/XSN+에/JKB
2008년	2008/SN+년/NNB
같은	같/VA+은/ETM
금융위기가	금융/NNG+위기/NNG+가/JKS
다시	다시/MAG
닥쳤을	닥치/VV+었/EP+을/ETM
때	때/NNG
정부의	정부/NNG+의/JKG
지원이	지원/NNG+이/JKS
없다는	없/VA+다는/ETM
것을	것/NNB+을/JKO
전제로	전제/NNG+로/JKB
자구책을	자구책/NNG+을/JKO
마련하라고	마련/NNG+하/XSV+라고/EC
통보했다.	통보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.6.4.2
은행에 대한 지원이 국경을 넘어 국제적인 규모로 진행되는 것 역시 기대하지 말라는 뜻도 밝혔다.

은행에	은행/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지원이	지원/NNG+이/JKS
국경을	국경/NNG+을/JKO
넘어	넘/VV+어/EC
국제적인	국제/NNG+적/XSN+이/VCP+ㄴ/ETM
규모로	규모/NNG+로/JKB
진행되는	진행/NNG+되/XSV+는/ETM
것	것/NNB
역시	역시/MAG
기대하지	기대/NNG+하/XSV+지/EC
말라는	말/VX+라는/ETM
뜻도	뜻/NNG+도/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.6.5.1
<파이낸셜 타임스>는 미국 연방준비제도(FRS)와 연방예금보험공사(FDIC)가 올 여름까지 각 대형은행들이 제출할 ‘자구계획’에 이런 내용을 담으라고 통보했다고 27일 보도했다.

<파이낸셜	</SS+파이낸셜/NNP
타임스>는	타임스/NNP+>/SS+는/JX
미국	미국/NNP
연방준비제도(FRS)와	연방/NNG+준비/NNG+제도/NNG+(/SS+FRS/SL+)/SS+와/JC
연방예금보험공사(FDIC)가	연방예금보험공사/NNP+(/SS+FDIC/SL+)/SS+가/JKS
올	올/NNG
여름까지	여름/NNG+까지/JX
각	각/MMD
대형은행들이	대형/NNG+은행/NNG+들/XSN+이/JKS
제출할	제출/NNG+하/XSV+ㄹ/ETM
‘자구계획’에	‘/SS+자구/NNG+계획/NNG+’/SS+에/JKB
이런	이런/MMD
내용을	내용/NNG+을/JKO
담으라고	담/VV+으라고/EC
통보했다고	통보/NNG+하/XSV+았/EP+다고/EC
27일	27/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.6.5.2
이 자구계획에는 ‘제2의 리만브라더스’ 사태가 터졌을 경우 은행들이 어떻게 자산을 처분해 위기를 넘길 것인지에 대한 기본적인 내용이 담겨야 한다.

이	이/MMD
자구계획에는	자구/NNG+계획/NNG+에/JKB+는/JX
‘제2의	‘/SS+제/XPN+2/SN+의/JKG
리만브라더스’	리만브라더스/NNP+’/SS
사태가	사태/NNG+가/JKS
터졌을	터지/VV+었/EP+을/ETM
경우	경우/NNG
은행들이	은행/NNG+들/XSN+이/JKS
어떻게	어떻/VA+게/EC
자산을	자산/NNG+을/JKO
처분해	처분/NNG+하/XSV+아/EC
위기를	위기/NNG+를/JKO
넘길	넘기/VV+ㄹ/ETM
