# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.241
metadata : {}


# id : NWRW1800000038.241.1.1
앤서니 '100점짜리 활약'에… 닉스, 14년 만의 PO '100점 고지'

앤서니	앤서니/NNP
'100점짜리	'/SS+100/SN+점/NNB+짜리/XSN
활약'에…	활약/NNG+'/SS+에/JKB+…/SE
닉스,	닉스/NNP+,/SP
14년	14/SN+년/NNB
만의	만/NNB+의/JKG
PO	PO/SL
'100점	'/SS+100/SN+점/NNB
고지'	고지/NNG+'/SS


# id : NWRW1800000038.241.2.1
NBA 페이서스 상대로 32득점… 105대79로 2차전 승리 이끌어

NBA	NBA/SL
페이서스	페이서스/NNP
상대로	상대/NNG+로/JKB
32득점…	32/SN+득점/NNG+…/SE
105대79로	105/SN+대/NNB+79/SN+로/JKB
2차전	2/SN+차전/NNB
승리	승리/NNG
이끌어	이끌/VV+어/EF


# id : NWRW1800000038.241.3.1
미 프로농구(NBA) 뉴욕 닉스의 홈구장 매디슨 스퀘어 가든은 맨해튼에 있다.

미	미/NNP
프로농구(NBA)	프로/NNG+농구/NNG+(/SS+NBA/SL+)/SS
뉴욕	뉴욕/NNP
닉스의	닉스/NNP+의/JKG
홈구장	홈구장/NNG
매디슨	매디슨/NNP
스퀘어	스퀘어/NNP
가든은	가든/NNP+은/JX
맨해튼에	맨해튼/NNP+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.241.4.1
매디슨 스퀘어 가든은 밤늦게까지 네온사인으로 번쩍이는 번화가 한복판에 있어 뉴욕 최고 명소 가운데 하나로 꼽힌다.

매디슨	매디슨/NNP
스퀘어	스퀘어/NNP
가든은	가든/NNP+은/JX
밤늦게까지	밤늦/VA+게/EC+까지/JX
네온사인으로	네온사인/NNG+으로/JKB
번쩍이는	번쩍이/VV+는/ETM
번화가	번화가/NNG
한복판에	한/XPN+복판/NNG+에/JKB
있어	있/VA+어/EC
뉴욕	뉴욕/NNP
최고	최고/NNG
명소	명소/NNG
가운데	가운데/NNG
하나로	하나/NR+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.241.4.2
농구 경기가 없을 때는 공연장으로 쓰이는데, 가수들이 앞다퉈 서고 싶어하는 무대로도 유명하다.

농구	농구/NNG
경기가	경기/NNG+가/JKS
없을	없/VA+을/ETM
때는	때/NNG+는/JX
공연장으로	공연장/NNG+으로/JKB
쓰이는데,	쓰이/VV+는데/EC+,/SP
가수들이	가수/NNG+들/XSN+이/JKS
앞다퉈	앞다투/VV+어/EC
서고	서/VV+고/EC
싶어하는	싶/VX+어/EC+하/VX+는/ETM
무대로도	무대/NNG+로/JKB+도/JX
유명하다.	유명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000038.241.5.1
하지만 닉스의 경기는 한동안 화려함과 거리가 멀었다.

하지만	하지만/MAJ
닉스의	닉스/NNP+의/JKG
경기는	경기/NNG+는/JX
한동안	한/XPN+동안/NNG
화려함과	화려하/VA+ㅁ/ETN+과/JKB
거리가	거리/NNG+가/JKS
멀었다.	멀/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.241.5.2
농구팬들의 눈과 귀가 집중되는 플레이오프에서 14년간 한 번도 100점 이상을 넣지 못했다.

농구팬들의	농구/NNG+팬/NNG+들/XSN+의/JKG
눈과	눈/NNG+과/JC
귀가	귀/NNG+가/JKS
집중되는	집중/NNG+되/XSV+는/ETM
플레이오프에서	플레이오프/NNG+에서/JKB
14년간	14/SN+년/NNB+간/XSN
한	한/MMN
번도	번/NNB+도/JX
100점	100/SN+점/NNB
이상을	이상/NNG+을/JKO
넣지	넣/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.241.5.3
1999년 6월 디트로이트 피스톤스를 상대로 101점을 넣은 게 마지막이었다.

1999년	1999/SN+년/NNB
6월	6/SN+월/NNB
디트로이트	디트로이트/NNP
피스톤스를	피스톤스/NNP+를/JKO
상대로	상대/NNG+로/JKB
101점을	101/SN+점/NNB+을/JKO
넣은	넣/VV+은/ETM
게	거/NNB+이/JKS
마지막이었다.	마지막/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.241.6.1
달갑지 않은 기록을 카멜로 앤서니(29)가 앞장서서 깨뜨렸다.

달갑지	달갑/VA+지/EC
않은	않/VX+은/ETM
기록을	기록/NNG+을/JKO
카멜로	카멜로/NNP
앤서니(29)가	앤서니/NNP+(/SS+29/SN+)/SS+가/JKS
앞장서서	앞장서/VV+어서/EC
깨뜨렸다.	깨뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.241.6.2
올 시즌 정규 리그 득점왕인 그는 8일 인디애나 페이서스와 벌인 NBA 동부콘퍼런스 플레이오프 준결승 홈 2차전에서 32점(9리바운드 3도움)을 쏟아부으면서 팀의 105대 79 완승을 이끌었다.

올	올/NNG
시즌	시즌/NNG
정규	정규/NNG
리그	리그/NNG
득점왕인	득점왕/NNG+이/VCP+ㄴ/ETM
그는	그/NP+는/JX
8일	8/SN+일/NNB
인디애나	인디애나/NNP
페이서스와	페이서스/NNP+와/JKB
벌인	벌이/VV+ㄴ/ETM
NBA	NBA/SL
동부콘퍼런스	동부/NNG+콘퍼런스/NNG
플레이오프	플레이오프/NNG
준결승	준/XPN+결승/NNG
홈	홈/NNG
2차전에서	2/SN+차전/NNB+에서/JKB
32점(9리바운드	32/SN+점/NNB+(/SS+9/SN+리바운드/NNG
3도움)을	3/SN+도움/NNG+)/SS+을/JKO
쏟아부으면서	쏟아붓/VV+으면서/EC
팀의	팀/NNG+의/JKG
105대	105/SN+대/NNB
79	79/SN
완승을	완승/NNG+을/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.241.6.3
닉스는 1차전 패배를 설욕하면서 시리즈(7전4선승제) 전적을 동률로 만들었다.

닉스는	닉스/NNP+는/JX
1차전	1/SN+차전/NNB
패배를	패배/NNG+를/JKO
설욕하면서	설욕/NNG+하/XSV+면서/EC
시리즈(7전4선승제)	시리즈/NNG+(/SS+7/SN+전/NNB+4/SN+선승/NNG+제/XSN+)/SS
전적을	전적/NNG+을/JKO
동률로	동률/NNG+로/JKB
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.241.7.1
앤서니는 72―66로 시작한 4쿼터 초반 6분간 11점을 몰아넣었다.

앤서니는	앤서니/NNP+는/JX
72―66로	72/SN+―/SS+66/SN+로/JKB
시작한	시작/NNG+하/XSV+ㄴ/ETM
4쿼터	4/SN+쿼터/NNB
초반	초반/NNG
6분간	6/SN+분/NNB+간/XSN
11점을	11/SN+점/NNB+을/JKO
몰아넣었다.	몰아넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.241.7.2
그의 신들린 득점포를 바탕으로 닉스는 점수 차를 6점에서 24점으로 벌렸다.

그의	그/NP+의/JKG
신들린	신들리/VV+ㄴ/ETM
득점포를	득점포/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
닉스는	닉스/NNP+는/JX
점수	점수/NNG
차를	차/NNG+를/JKO
6점에서	6/SN+점/NNB+에서/JKB
24점으로	24/SN+점/NNB+으로/JKB
벌렸다.	벌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.241.7.3
닉스의 기세에 눌린 페이서스는 4쿼터가 시작한 뒤 7분 동안 점수를 추가하지 못했다.

닉스의	닉스/NNP+의/JKG
기세에	기세/NNG+에/JKB
눌린	눌리/VV+ㄴ/ETM
페이서스는	페이서스/NNP+는/JX
4쿼터가	4/SN+쿼터/NNB+가/JKS
시작한	시작/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
7분	7/SN+분/NNB
동안	동안/NNG
점수를	점수/NNG+를/JKO
추가하지	추가/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.241.7.4
앤서니는 "나는 기회가 오면 언제든 슛을 넣을 수 있다는 자신감을 갖고 있다"고 말했다.

앤서니는	앤서니/NNP+는/JX
"나는	"/SS+나/NP+는/JX
기회가	기회/NNG+가/JKS
오면	오/VV+면/EC
언제든	언제/NP+든/JX
슛을	슛/NNG+을/JKO
넣을	넣/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
자신감을	자신감/NNG+을/JKO
갖고	갖/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.241.8.1
서부콘퍼런스 플레이오프에선 멤피스 그리즐리스가 오클라호마시티 선더와 벌인 2라운드 원정 2차전에서 99대93으로 승리했다.

서부콘퍼런스	서부/NNG+콘퍼런스/NNG
플레이오프에선	플레이오프/NNG+에서/JKB+ㄴ/JX
멤피스	멤피스/NNP
그리즐리스가	그리즐리스/NNP+가/JKS
오클라호마시티	오클라호마시티/NNP
선더와	선더/NNP+와/JKB
벌인	벌이/VV+ㄴ/ETM
2라운드	2/SN+라운드/NNG
원정	원정/NNG
2차전에서	2/SN+차전/NNB+에서/JKB
99대93으로	99/SN+대/NNB+93/SN+으로/JKB
승리했다.	승리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.241.8.2
그리즐리스의 포인트가드 마이크 콘리가 26득점 10리바운드 9도움으로 '트리플더블(득점·리바운드·어시스트·블록·스틸 중 세 부문에서 두 자릿수를 기록하는 것)'에 가까운 활약을 펼쳤다.

그리즐리스의	그리즐리스/NNP+의/JKG
포인트가드	포인트가드/NNG
마이크	마이크/NNP
콘리가	콘리/NNP+가/JKS
26득점	26/SN+득점/NNG
10리바운드	10/SN+리바운드/NNG
9도움으로	9/SN+도움/NNG+으로/JKB
'트리플더블(득점·리바운드·어시스트·블록·스틸	'/SS+트리플더블/NNG+(/SS+득점/NNG+·/SP+리바운드/NNG+·/SP+어시스트/NNG+·/SP+블록/NNG+·/SP+스틸/NNG
중	중/NNB
세	세/MMN
부문에서	부문/NNG+에서/JKB
두	두/MMN
자릿수를	자릿수/NNG+를/JKO
기록하는	기록/NNG+하/XSV+는/ETM
것)'에	것/NNB+)/SS+'/SS+에/JKB
가까운	가깝/VA+ㄴ/ETM
활약을	활약/NNG+을/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.241.8.3
그리즐리스는 1패 뒤 1승을 거뒀다.

그리즐리스는	그리즐리스/NNP+는/JX
1패	1/SN+패/NNB
뒤	뒤/NNG
1승을	1/SN+승/NNB+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


