# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.103
metadata : {}


# id : NWRW1800000046.103.1.1
"北은 악랄한 선전으로 만든 기묘한 세상"

"北은	"/SS+北/SH+은/JX
악랄한	악랄/NNG+하/XSA+ㄴ/ETM
선전으로	선전/NNG+으로/JKB
만든	만들/VV+ㄴ/ETM
기묘한	기묘하/VA+ㄴ/ETM
세상"	세상/NNG+"/SS


# id : NWRW1800000046.103.2.1
'프로파간다 파워' 번역 이종현 PD

'프로파간다	'/SS+프로파간다/NNG
파워'	파워/NNG+'/SS
번역	번역/NNG
이종현	이종현/NNP
PD	PD/SL


# id : NWRW1800000046.103.3.1
"방송 다큐 PD 생활 30년 동안 40개국을 취재했습니다.

"방송	"/SS+방송/NNG
다큐	다큐/NNG
PD	PD/SL
생활	생활/NNG
30년	30/SN+년/NNB
동안	동안/NNG
40개국을	40/SN+개국/NNB+을/JKO
취재했습니다.	취재/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000046.103.3.2
별별 해괴한 장면을 다 봤지만, 1999년에 처음 북한에 가서 본 풍경을 잊을 수가 없습니다.

별별	별별/MMA
해괴한	해괴하/VA+ㄴ/ETM
장면을	장면/NNG+을/JKO
다	다/MAG
봤지만,	보/VV+았/EP+지만/EC+,/SP
1999년에	1999/SN+년/NNB+에/JKB
처음	처음/NNG
북한에	북한/NNP+에/JKB
가서	가/VV+아서/EC
본	보/VV+ㄴ/ETM
풍경을	풍경/NNG+을/JKO
잊을	잊/VV+을/ETM
수가	수/NNB+가/JKS
없습니다.	없/VA+습니다/EF+./SF


# id : NWRW1800000046.103.3.3
인류 역사상 가장 지속적이고, 가장 효율적이며, 가장 악랄한 형태의 선전(宣傳)으로 만들어낸 기묘한 세상이더군요.

인류	인류/NNG
역사상	역사/NNG+상/XSN
가장	가장/MAG
지속적이고,	지속/NNG+적/XSN+이/VCP+고/EC+,/SP
효율적이며,	효율/NNG+적/XSN+이/VCP+며/EC+,/SP
악랄한	악랄/NNG+하/XSA+ㄴ/ETM
형태의	형태/NNG+의/JKG
선전(宣傳)으로	선전/NNG+(/SS+宣傳/SH+)/SS+으로/JKB
만들어낸	만들/VV+어/EC+내/VX+ㄴ/ETM
기묘한	기묘하/VA+ㄴ/ETM
세상이더군요.	세상/NNG+이/VCP+더군/EF+요/JX+./SF


# id : NWRW1800000046.103.3.4
가족과 함께 시작한 탈북자 후원도 그래서였습니다.

가족과	가족/NNG+과/JKB
함께	함께/MAG
시작한	시작/NNG+하/XSV+ㄴ/ETM
탈북자	탈북자/NNG
후원도	후원/NNG+도/JX
그래서였습니다.	그렇/VA+어서/EC+이/VCP+었/EP+습니다/EF+./SF


# id : NWRW1800000046.103.3.5
이 책을 번역한 이유도 마찬가지고요."

이	이/MMD
책을	책/NNG+을/JKO
번역한	번역/NNG+하/XSV+ㄴ/ETM
이유도	이유/NNG+도/JX
마찬가지고요."	마찬가지/NNG+이/VCP+고/EC+요/JX+./SF+"/SS


# id : NWRW1800000046.103.4.1
이종현(57·사진) MBC 심의위원이 영국 켄트대 데이비드 웰치(Welch) 명예교수의 '프로파간다 파워'(공존 출간)를 번역해 펴냈다.

이종현(57·사진)	이종현/NNP+(/SS+57/SN+·/SP+사진/NNG+)/SS
MBC	MBC/SL
심의위원이	심의/NNG+위원/NNG+이/JKS
영국	영국/NNP
켄트대	켄트대/NNP
데이비드	데이비드/NNP
