# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.270
metadata : {}


# id : NWRW1800000032.270.1.1
짜장면 곱빼기 시켜야 1인분?

짜장면	짜장면/NNG
곱빼기	곱빼기/NNG
시켜야	시키/VV+어야/EC
1인분?	1/SN+인분/NNB+?/SF


# id : NWRW1800000032.270.2.1
음식점마다 양 ‘최대 2배차’…열량은 삼계탕이 으뜸

음식점마다	음식점/NNG+마다/JX
양	양/NNG
‘최대	‘/SS+최대/NNG
2배차’…열량은	2/SN+배/NNG+차/NNG+’/SS+…/SE+열량/NNG+은/JX
삼계탕이	삼계탕/NNG+이/JKS
으뜸	으뜸/NNG


# id : NWRW1800000032.270.3.1
짜장면, 짬뽕, 만두국의 1인분 무게가 음식점마다 2~3배 가량 차이가 나는 것으로 조사됐다.

짜장면,	짜장면/NNG+,/SP
짬뽕,	짬뽕/NNG+,/SP
만두국의	만두국/NNG+의/JKG
1인분	1/SN+인분/NNB
무게가	무게/NNG+가/JKS
음식점마다	음식점/NNG+마다/JX
2~3배	2/SN+~/SO+3/SN+배/NNG
가량	가량/XSN
차이가	차이/NNG+가/JKS
나는	나/VV+는/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.270.4.1
식품의약품안전청은 우리나라 사람들이 즐겨 먹는 국내 외식 음식 130여종의 1인분 중량을 비교해 본 결과 짜장면과 짬뽕의 경우 중량이 최소 400g, 최대 840g으로 2배 정도 차이가 났다고 22일 밝혔다.

식품의약품안전청은	식품/NNG+의약품/NNG+안전청/NNG+은/JX
우리나라	우리나라/NNG
사람들이	사람/NNG+들/XSN+이/JKS
즐겨	즐기/VV+어/EC
먹는	먹/VV+는/ETM
국내	국내/NNG
외식	외식/NNG
음식	음식/NNG
130여종의	130/SN+여/XSN+종/NNG+의/JKG
1인분	1/SN+인분/NNB
중량을	중량/NNG+을/JKO
비교해	비교/NNG+하/XSV+아/EC
본	보/VX+ㄴ/ETM
결과	결과/NNG
짜장면과	짜장면/NNG+과/JC
