# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.125
metadata : {}


# id : NWRW1800000049.125.1.1
[책의 향기]거장들이 쓴 흑백영화 같은 범죄 단편들

[책의	[/SS+책/NNG+의/JKG
향기]거장들이	향기/NNG+]/SS+거장/NNG+들/XSN+이/JKS
쓴	쓰/VV+ㄴ/ETM
흑백영화	흑백/NNG+영화/NNG
같은	같/VA+은/ETM
범죄	범죄/NNG
단편들	단편/NNG+들/XSN


# id : NWRW1800000049.125.2.1
◇헤밍웨이 죽이기:엘러리 퀸 앤솔러지/버트런드 러셀 등 지음/엘러리 퀸 엮음·정연주 옮김/408쪽·1만4500원·책읽는섬

◇헤밍웨이	◇/SW+헤밍웨이/NNP
죽이기:엘러리	죽이/VV+기/ETN+:/SP+엘러리/NNP
퀸	퀸/NNP
앤솔러지/버트런드	앤솔러지/NNP+//SP+버트런드/NNP
러셀	러셀/NNP
등	등/NNB
지음/엘러리	짓/VV+ㅁ/ETN+//SP+엘러리/NNP
엮음·정연주	엮음/NNG+·/SP+정연주/NNP
옮김/408쪽·1만4500원·책읽는섬	옮기/VV+ㅁ/ETN+//SP+408/SN+쪽/NNG+·/SP+1/SN+만/NR+4500/SN+원/NNB+·/SP+책읽는섬/NNP


# id : NWRW1800000049.125.3.1
버트런드 러셀, 윌리엄 포크너, 아서 밀러….

버트런드	버트런드/NNP
러셀,	러셀/NNP+,/SP
윌리엄	윌리엄/NNP
포크너,	포크너/NNP+,/SP
아서	아서/NNP
밀러….	밀러/NNP+…/SE+./SF


# id : NWRW1800000049.125.4.1
쟁쟁한 작가 12명을 모아 놓은 것만으로도 일단 눈길을 끈다.

쟁쟁한	쟁쟁하/VA+ㄴ/ETM
작가	작가/NNG
12명을	12/SN+명/NNB+을/JKO
모아	모으/VV+아/EC
놓은	놓/VX+은/ETM
것만으로도	것/NNB+만/JX+으로/JKB+도/JX
일단	일단/MAG
눈길을	눈길/NNG+을/JKO
끈다.	끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.125.4.2
노벨 문학상 혹은 퓰리처상 수상자들이다.

노벨	노벨/NNP
문학상	문학상/NNG
혹은	혹은/MAG
퓰리처상	퓰리처상/NNG
수상자들이다.	수상자/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000049.125.4.3
20세기 미스터리 소설의 거장인 엘러리 퀸(사촌 간인 프레더릭 더네이, 맨프레드 리의 공동 필명)은 이들이 쓴 범죄·미스터리 단편 21개를 엮어 ‘미스터리 걸작(Masterpieces of Mystery)’을 펴냈다.

20세기	20/SN+세기/NNG
미스터리	미스터리/NNG
소설의	소설/NNG+의/JKG
거장인	거장/NNG+이/VCP+ㄴ/ETM
엘러리	엘러리/NNP
퀸(사촌	퀸/NNP+(/SS+사촌/NNG
간인	간/NNB+이/VCP+ㄴ/ETM
프레더릭	프레더릭/NNP
더네이,	더네이/NNP+,/SP
맨프레드	맨프레드/NNP
리의	리/NNP+의/JKG
공동	공동/NNG
필명)은	필명/NNG+)/SS+은/JX
이들이	이/NP+들/XSN+이/JKS
쓴	쓰/VV+ㄴ/ETM
범죄·미스터리	범죄/NNG+·/SP+미스터리/NNG
단편	단편/NNG
21개를	21/SN+개/NNB+를/JKO
엮어	엮/VV+어/EC
‘미스터리	‘/SS+미스터리/NNG
걸작(Masterpieces	걸작/NNG+(/SS+Masterpieces/SL
of	of/SL
Mystery)’을	Mystery/SL+)/SS+’/SS+을/JKO
펴냈다.	펴내/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.125.4.4
이 가운데 12편을 출판사가 추려냈다.

이	이/MMD
가운데	가운데/NNG
12편을	12/SN+편/NNB+을/JKO
출판사가	출판사/NNG+가/JKS
