# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.221
metadata : {}


# id : NWRW1800000025.221.1.1
[휴지통]엄마와 남매된 아들

[휴지통]엄마와	[/SS+휴지통/NNG+]/SS+엄마/NNG+와/JKB
남매된	남매/NNG+되/XSV+ㄴ/ETM
아들	아들/NNG


# id : NWRW1800000025.221.2.1
1998년 최모 씨(57)의 딸(당시 19세)은 사귀던 남자친구 사이에 아들을 낳았다.

1998년	1998/SN+년/NNB
최모	최/NNP+모/NP
씨(57)의	씨/NNB+(/SS+57/SN+)/SS+의/JKG
딸(당시	딸/NNG+(/SS+당시/NNG
19세)은	19/SN+세/NNB+)/SS+은/JX
사귀던	사귀/VV+던/ETM
남자친구	남자/NNG+친구/NNG
사이에	사이/NNG+에/JKB
아들을	아들/NNG+을/JKO
낳았다.	낳/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.221.2.2
남자친구 집안의 반대를 무릅쓰고 둘은 혼인신고를 했지만 몇 년 뒤 이혼했다.

남자친구	남자/NNG+친구/NNG
집안의	집안/NNG+의/JKG
반대를	반대/NNG+를/JKO
무릅쓰고	무릅쓰/VV+고/EC
둘은	둘/NR+은/JX
혼인신고를	혼인/NNG+신고/NNG+를/JKO
했지만	하/VV+았/EP+지만/EC
몇	몇/NR
년	년/NNB
뒤	뒤/NNG
이혼했다.	이혼/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.221.2.3
그동안 친가 쪽은 양육비 부담을 거절했고 아이를 한 번도 만난 적이 없다.

그동안	그동안/NNG
친가	친가/NNG
쪽은	쪽/NNB+은/JX
양육비	양육비/NNG
부담을	부담/NNG+을/JKO
거절했고	거절/NNG+하/XSV+았/EP+고/EC
아이를	아이/NNG+를/JKO
한	한/MMN
번도	번/NNB+도/JX
만난	만나/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000025.221.2.4
최 씨 부부가 외손자를 지금까지 키웠다.

최	최/NNP
씨	씨/NNB
부부가	부부/NNG+가/JKS
외손자를	외손자/NNG+를/JKO
지금까지	지금/NNG+까지/JX
키웠다.	키우/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.221.2.5
외손자는 최 씨의 딸이 친모인 것을 알고 있고 일주일에 한 번 친모를 만나고 있다.

외손자는	외손자/NNG+는/JX
최	최/NNP
씨의	씨/NNB+의/JKG
딸이	딸/NNG+이/JKS
친모인	친모/NNG+이/VCP+ㄴ/ETM
것을	것/NNB+을/JKO
알고	알/VV+고/EC
있고	있/VX+고/EC
일주일에	일주일/NNG+에/JKB
한	한/MMN
번	번/NNB
