# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.28
metadata : {}


# id : NWRW1800000033.28.1.1
“한국 구매력기준 1인 GDP 3만 달러로 英-日에 근접”

“한국	“/SS+한국/NNP
구매력기준	구매력/NNG+기준/NNG
1인	1/SN+인/NNG
GDP	GDP/SL
3만	3/SN+만/NR
달러로	달러/NNB+로/JKB
英-日에	英/SH+-/SO+日/SH+에/JKB
근접”	근접/NNG+”/SS


# id : NWRW1800000033.28.2.1
현대경제硏 “세계 25위 생활수준”

현대경제硏	현대경제硏/NNP
“세계	“/SS+세계/NNG
25위	25/SN+위/NNB
생활수준”	생활/NNG+수준/NNG+”/SS


# id : NWRW1800000033.28.3.1
한국 국민의 1인당 소득이 구매력 기준으로 보면 영국이나 일본에 거의 근접한 수준이라는 분석이 나왔다.

한국	한국/NNP
국민의	국민/NNG+의/JKG
1인당	1/SN+인/NNG+당/XSN
소득이	소득/NNG+이/JKS
구매력	구매력/NNG
기준으로	기준/NNG+으로/JKB
보면	보/VV+면/EC
영국이나	영국/NNP+이나/JC
일본에	일본/NNP+에/JKB
거의	거의/MAG
근접한	근접/NNG+하/XSV+ㄴ/ETM
수준이라는	수준/NNG+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.28.4.1
현대경제연구원은 3일 ‘명목소득은 2만 달러, 생활수준은 3만 달러’라는 제목의 보고서에서 “물가수준을 감안하지 않은 한국의 1인당 국내총생산(GDP)은 지난해 2만2778달러지만 구매력평가 기준 1인당 GDP는 3만1714달러”라며 이같이 주장했다.

현대경제연구원은	현대경제연구원/NNP+은/JX
3일	3/SN+일/NNB
‘명목소득은	‘/SS+명목/NNG+소득/NNG+은/JX
2만	2/SN+만/NR
달러,	달러/NNB+,/SP
생활수준은	생활/NNG+수준/NNG+은/JX
3만	3/SN+만/NR
달러’라는	달러/NNB+’/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
