# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.112
metadata : {}


# id : NWRW1800000033.112.1.1
[공연 리뷰]에너지 넘치는 광대들, 배꼽은 못 잡네

[공연	[/SS+공연/NNG
리뷰]에너지	리뷰/NNG+]/SS+에너지/NNG
넘치는	넘치/VV+는/ETM
광대들,	광대/NNG+들/XSN+,/SP
배꼽은	배꼽/NNG+은/JX
못	못/MAG
잡네	잡/VV+네/EF


# id : NWRW1800000033.112.2.1
◇ 광대극 ‘변두리 극장’ ★★★☆

◇	◇/SW
광대극	광대/NNG+극/NNG
‘변두리	‘/SS+변두리/NNG
극장’	극장/NNG+’/SS
★★★☆	★/SW+★/SW+★/SW+☆/SW


# id : NWRW1800000033.112.3.1
얼굴을 하얗게 분칠한 8명의 광대가 등장해 단막극 7개를 이어 보여주는 연극 ‘변두리 극장’은 형식에서는 ‘개그콘서트’ 같은 코미디 프로그램을 닮았다.

얼굴을	얼굴/NNG+을/JKO
하얗게	하얗/VA+게/EC
분칠한	분칠/NNG+하/XSV+ㄴ/ETM
8명의	8/SN+명/NNB+의/JKG
광대가	광대/NNG+가/JKS
등장해	등장/NNG+하/XSV+아/EC
단막극	단막극/NNG
7개를	7/SN+개/NNB+를/JKO
이어	잇/VV+어/EC
보여주는	보이/VV+어/EC+주/VX+는/ETM
연극	연극/NNG
‘변두리	‘/SS+변두리/NNG
극장’은	극장/NNG+’/SS+은/JX
형식에서는	형식/NNG+에서/JKB+는/JX
‘개그콘서트’	‘/SS+개그/NNG+콘서트/NNG+’/SS
같은	같/VA+은/ETM
코미디	코미디/NNG
프로그램을	프로그램/NNG+을/JKO
닮았다.	닮/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.112.3.2
하지만 요즘 대중의 웃음 코드를 자극하기엔 세련미와 순발력이 떨어진다.

하지만	하지만/MAJ
요즘	요즘/NNG
대중의	대중/NNG+의/JKG
웃음	웃음/NNG
코드를	코드/NNG+를/JKO
자극하기엔	자극/NNG+하/XSV+기/ETN+에/JKB+ㄴ/JX
세련미와	세련미/NNG+와/JC
순발력이	순발력/NNG+이/JKS
떨어진다.	떨어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.112.3.3
그렇다고 풍자와 해학이 풍부한 희극도 아니다.

그렇다고	그렇/VA+다고/EC
풍자와	풍자/NNG+와/JC
해학이	해학/NNG+이/JKS
풍부한	풍부하/VA+ㄴ/ETM
희극도	희극/NNG+도/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000033.112.4.1
이처럼 어중간해 보이는 작품이지만 원작자가 독일의 카를 발렌틴(1882∼1948)임을 알게 되면 다르게 보일지 모르겠다.

이처럼	이/NP+처럼/JKB
어중간해	어중간/NNG+하/XSA+아/EC
보이는	보이/VV+는/ETM
작품이지만	작품/NNG+이/VCP+지만/EC
원작자가	원작자/NNG+가/JKS
독일의	독일/NNP+의/JKG
카를	카를/NNP
발렌틴(1882∼1948)임을	발렌틴/NNP+(/SS+1882/SN+∼/SO+1948/SN+)/SS+이/VCP+ㅁ/ETN+을/JKO
알게	알/VV+게/EC
되면	되/VV+면/EC
다르게	다르/VA+게/EC
보일지	보이/VV+ㄹ지/EF
모르겠다.	모르/VV+겠/EP+다/EF+./SF


# id : NWRW1800000033.112.4.2
그는 대중적인 코미디를 예술의 경지로 끌어올렸다는 평가를 받는 인물이다.

그는	그/NP+는/JX
대중적인	대중/NNG+적/XSN+이/VCP+ㄴ/ETM
코미디를	코미디/NNG+를/JKO
예술의	예술/NNG+의/JKG
경지로	경지/NNG+로/JKB
끌어올렸다는	끌어올리/VV+었/EP+다는/ETM
평가를	평가/NNG+를/JKO
받는	받/VV+는/ETM
인물이다.	인물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.112.4.3
‘변두리 극장’을 보면 한 시대를 풍미했던 대중 예술가가 당시 세태를 어떻게 바라봤는가를 알 수 있다.

‘변두리	‘/SS+변두리/NNG
극장’을	극장/NNG+’/SS+을/JKO
보면	보/VV+면/EC
한	한/MMN
시대를	시대/NNG+를/JKO
풍미했던	풍미/NNG+하/XSV+았/EP+던/ETM
대중	대중/NNG
예술가가	예술가/NNG+가/JKS
당시	당시/NNG
세태를	세태/NNG+를/JKO
어떻게	어떻/VA+게/EC
바라봤는가를	바라보/VV+았/EP+는가/EF+를/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.112.5.1
소시민 출신인 발렌틴은 권력자와 자본가의 문화와 태도를 풍자하고 비판했다.

소시민	소/XPN+시민/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
발렌틴은	발렌틴/NNP+은/JX
권력자와	권력자/NNG+와/JC
자본가의	자본가/NNG+의/JKG
문화와	문화/NNG+와/JC
태도를	태도/NNG+를/JKO
풍자하고	풍자/NNG+하/XSV+고/EC
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.112.5.2
그뿐만 아니라 상류층의 고급문화를 욕망하는, 무식하고 게으른 소시민의 이중적 모습도 함께 웃음의 대상으로 삼았다.

그뿐만	그/NP+뿐/JX+만/JX
아니라	아니/VCN+라/EC
상류층의	상류/NNG+층/XSN+의/JKG
고급문화를	고급문화/NNG+를/JKO
욕망하는,	욕망/NNG+하/XSV+는/ETM+,/SP
무식하고	무식/NNG+하/XSA+고/EC
게으른	게으르/VA+ㄴ/ETM
소시민의	소/XPN+시민/NNG+의/JKG
이중적	이중/NNG+적/XSN
모습도	모습/NNG+도/JX
함께	함께/MAG
웃음의	웃음/NNG+의/JKG
대상으로	대상/NNG+으로/JKB
삼았다.	삼/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.112.5.3
한국외국어대 정민영 교수가 번역한 그의 단막극 22편 가운데 7편을 추려내 각색한 이번 공연에도 발렌틴의 예술관이 잘 녹아 있다.

한국외국어대	한국외국어대/NNP
정민영	정민영/NNP
교수가	교수/NNG+가/JKS
번역한	번역/NNG+하/XSV+ㄴ/ETM
그의	그/NP+의/JKG
단막극	단막극/NNG
22편	22/SN+편/NNB
가운데	가운데/NNG
7편을	7/SN+편/NNB+을/JKO
추려내	추려내/VV+어/EC
각색한	각색/NNG+하/XSV+ㄴ/ETM
이번	이번/NNG
공연에도	공연/NNG+에/JKB+도/JX
발렌틴의	발렌틴/NNP+의/JKG
예술관이	예술관/NNG+이/JKS
잘	잘/MAG
녹아	녹/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.112.6.1
첫 에피소드는 공짜 연극표가 생겨 공연장을 가려는 부부의 이야기.

첫	첫/MMN
에피소드는	에피소드/NNG+는/JX
공짜	공짜/NNG
연극표가	연극/NNG+표/NNG+가/JKS
생겨	생기/VV+어/EC
공연장을	공연장/NNG+을/JKO
가려는	가/VV+려는/ETM
부부의	부부/NNG+의/JKG
이야기.	이야기/NNG+./SF


# id : NWRW1800000033.112.6.2
부부는 아들에게 공연 때문에 집을 비운다는 쪽지를 남기려고 하는데 쉽지 않다.

부부는	부부/NNG+는/JX
아들에게	아들/NNG+에게/JKB
공연	공연/NNG
때문에	때문/NNB+에/JKB
집을	집/NNG+을/JKO
비운다는	비우/VV+ㄴ다는/ETM
쪽지를	쪽지/NNG+를/JKO
남기려고	남기/VV+려고/EC
하는데	하/VX+는데/EC
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000033.112.6.3
